"sbibliotheekURI,""id"",""sbibliotheek"",""omschrijving"""
"http://digitalbuildingdata.tech/nlcs/def/1e02896a-657e-4b98-8558-746485c91f82,""1"",""SAL"",""Algemeen"""
"http://digitalbuildingdata.tech/nlcs/def/c5942952-4ddb-4b05-954a-859ddf93de59,""10"",""SMO"",""Milieu en Onderzoek"""
"http://digitalbuildingdata.tech/nlcs/def/971459e0-bead-43d5-881b-ec725ab8a0e3,""11"",""SOG"",""OnderGrond"""
"http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558,""12"",""SRI"",""RIolering"""
"http://digitalbuildingdata.tech/nlcs/def/7ff261e2-5755-4912-9195-11fbfcea6093,""13"",""SVH"",""VerHardingen"""
"http://digitalbuildingdata.tech/nlcs/def/24b8c49e-3586-44cb-9d3a-6a243a1e40d7,""14"",""SVW"",""Verkeerskunde Wegen"""
"http://digitalbuildingdata.tech/nlcs/def/3543855c-7623-4ecd-aadf-5ec5b6d0cf9a,""16"",""SBV"",""BermbeveiligingsVoorzieningen"""
"http://digitalbuildingdata.tech/nlcs/def/7ad19ecf-d660-409d-91fa-65bdbb729d0a,""17"",""SGW"",""Grondwerk"""
"http://digitalbuildingdata.tech/nlcs/def/075221b4-87a6-41f7-9e7e-757a73d40f27,""18"",""SZZ"",""voor alle hoofdgroepen"""
"http://digitalbuildingdata.tech/nlcs/def/413f6f8e-a722-4265-acf5-74dd82948022,""19"",""SOV"",""Openbare Verlichting"""
"http://digitalbuildingdata.tech/nlcs/def/ab0dc8f6-5e6b-40bd-85cf-9b32fd684f10,""2"",""SAM"",""Assen en Metrering"""
"http://digitalbuildingdata.tech/nlcs/def/ea29580c-9068-417a-8b2a-8bdecfdbd51a,""20"",""SIW"",""Installaties Weg"""
"http://digitalbuildingdata.tech/nlcs/def/627e16fc-a56b-4a49-8436-db61824911dd,""21"",""SVV"",""Verkeerskunde Vaarwegen"""
"http://digitalbuildingdata.tech/nlcs/def/c108fe5a-82a9-4220-8664-f98fae074124,""3"",""SBC"",""BetonConstructies"""
"http://digitalbuildingdata.tech/nlcs/def/9bb40219-7a34-4ac5-a3fa-cabc37fc6faa,""4"",""SFC"",""FunderingsConstructies"""
"http://digitalbuildingdata.tech/nlcs/def/80b3e885-4b3c-4a66-9134-e2d506fe735a,""5"",""SGC"",""GrondkerendeConstructies"""
"http://digitalbuildingdata.tech/nlcs/def/5e1a4fd3-ed90-42b7-b26b-690189aa9f55,""6"",""SGR"",""Groen"""
"http://digitalbuildingdata.tech/nlcs/def/8a998fbf-3ef5-49ec-81c4-c2ec5d0be04e,""7"",""SIE"",""InrichtingsElementen"""
"http://digitalbuildingdata.tech/nlcs/def/77fcc13d-b4bc-44ee-990f-62b1e604b8c0,""8"",""SKG"",""Kadastrale informatie en Grenzen"""
"http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163,""9"",""SKL"",""Kabel en Leidingen"""
