lijntypeURI,id,hoofdgroep,omschrijving,finalCleanName,fase,optie,autocaddef
http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,1,,CONTINUOUS,CONTINUOUS,,,"Doorgetrokken lijn. Deze lijnstijl heeft de naam CONTINUOUS in AutoCAD, in Microstation is dit lijntype 0."
http://digitalbuildingdata.tech/nlcs/def/aac8b44e-f3a0-459c-9d99-3e13f2e0ab93,10,AM,AM-AS-SO,AS,,SO,"A,10,-2,2,-2"
http://digitalbuildingdata.tech/nlcs/def/b2f3636c-ad99-4fae-8406-7d5251e5f156,106,KG,KG-LAND-SO,LAND,,SO,"A,0,[KRUISJE,NLCS.SHX,s=1],-3.5"
http://digitalbuildingdata.tech/nlcs/def/ddbb4e7c-904f-4a3e-af48-c365ed4e0d1f,107,KG,KG-PROVINCIE-SO,PROVINCIE,,SO,"A,2.5,-2.75,[KRUISJE,NLCS.SHX,s=1],-2.75"
http://digitalbuildingdata.tech/nlcs/def/ed05e10c-0001-4fc2-89dd-5c3eba2f97d7,108,KG,KG-GEMEENTE-SO,GEMEENTE,,SO,"A,1,-2.25,[KRUISJE,NLCS.SHX,s=1],-2.25"
http://digitalbuildingdata.tech/nlcs/def/863bbb9d-61e0-4925-a364-38d4e478eece,109,KG,KG-WATERSCHAP-SO,WATERSCHAP,,SO,"A,5.5,-2,[KRUISJE,NLCS.SHX,s=0.75],-3,[KRUISJE,NLCS.SHX,s=0.75],-2"
http://digitalbuildingdata.tech/nlcs/def/b820bb90-1d83-4888-a875-8987d2f26af7,11,AM,V-AM-AS-SO,AS,V,SO,"A,10,[VERWIJDEREN2,NLCS.SHX,x=-5,s=1],-2,2,-2"
http://digitalbuildingdata.tech/nlcs/def/7c29007e-ee3b-455b-a442-5a6ab9bcad99,110,KG,KG-BESTEMMINGSPLAN-SO,BESTEMMINGSPLAN,,SO,"A,3.4,-1,[BBG,nlcs.shx,s=1],-1"
http://digitalbuildingdata.tech/nlcs/def/740e2b8a-4142-4309-80b1-672740317b8b,111,KG,KG-GWBG-SO,GWBG,,SO,"A,5.5,-2,[WATERSCHAPSGOLF,NLCS.SHX,s=1],-2,5.5,-2,[KRUISJE,NLCS.SHX,s=0.75],-2"
http://digitalbuildingdata.tech/nlcs/def/28e7a4bb-e941-44c3-8dad-f5a92a19fccc,112,KG,V-KG-GWBG-SO,GWBG,V,SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[WATERSCHAPSGOLF,NLCS.SHX,s=1],-2,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[KRUISJE,NLCS.SHX,s=0.75],-2"
http://digitalbuildingdata.tech/nlcs/def/78faf5ac-8e02-4f02-82d6-d549261a2353,113,KG,KG-PACHT-SO,PACHT,,SO,"A,5.5,-2,[CIRKEL_HALF,NLCS.SHX,s=1],-2,5.5,-2,[KRUISJE,NLCS.SHX,s=0.75],-2"
http://digitalbuildingdata.tech/nlcs/def/cd4c77e7-3885-4cdc-883b-46e062b81ee8,114,KG,V-KG-PACHT-SO,PACHT,V,SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[CIRKEL_HALF,NLCS.SHX,s=1],-2,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[KRUISJE,NLCS.SHX,s=0.75],-2"
http://digitalbuildingdata.tech/nlcs/def/86b6a7f9-a161-40d9-90a4-de161f8768b3,117,KG,KG-KADASTRALEPERCEELGRENS-SO,KADASTRALEPERCEELGRENS,,SO,"A,5.5,-2,[\""P\"",standard,U=0.0,x=-0.5,y=-.9,s=1.8],-2,5.5,-2,[KRUISJE,NLCS.SHX,s=0.75],-2"
http://digitalbuildingdata.tech/nlcs/def/84aadd0a-9d27-4db2-a5b0-3d32b901d226,118,KG,V-KG-KADASTRALEPERCEELGRENS-SO,KADASTRALEPERCEELGRENS,V,SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[\""P\"",standard,U=0.0,x=-0.5,y=-.9,s=1.8],-2,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[KRUISJE,NLCS.SHX,s=0.75],-2"
http://digitalbuildingdata.tech/nlcs/def/8875d3cf-2c22-4a3a-b0bd-f2ee9e5adfa8,119,KG,KG-SECTIE-SO,SECTIE,,SO,"A,5.5,-2,[\""S\"",standard,U=0.0,x=-0.5,y=-.9,s=1.8],-2,5.5,-2,[KRUISJE,NLCS.SHX,s=0.75],-2"
http://digitalbuildingdata.tech/nlcs/def/270c7274-5fc6-4b2c-804f-0eeafcef2cd8,12,,V-CONTINUOUS-SO,CONTINUOUS,V,SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5"
http://digitalbuildingdata.tech/nlcs/def/1147ae18-27b9-4779-b33b-ace98668917b,120,KG,V-KG-SECTIE-SO,SECTIE,V,SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[\""S\"",standard,U=0.0,x=-0.5,y=-.9,s=1.8],-2,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[KRUISJE,NLCS.SHX,s=0.75],-2"
http://digitalbuildingdata.tech/nlcs/def/c688848f-7ae9-4e40-bd5e-8a467f74446e,121,KG,KG-RIJKSEIGENDOM-SO,RIJKSEIGENDOM,,SO,"A,5.5,-2,[STERRETJE,NLCS.SHX,s=0.75],-2,5.5,-2,[KRUISJE,NLCS.SHX,s=0.75],-2"
