"searchterm","arceringURI","id","abibliotheekURI","abibliotheek","fase","arcering","finalCleanName","optie","schaal","vrkl_kort","vrkl_lang","fileURL"
"BALLAST","http://digitalbuildingdata.tech/nlcs/def/56665ec5-9e58-4357-b282-a88dac73ab23","1","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-BALLAST_01-SODMM","BALLAST_01","SODMM","1","ballast01","","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BALLAST_01-SODMM.pat"
"BETON","http://digitalbuildingdata.tech/nlcs/def/b3cb56a3-95f5-403c-b516-a1d681509bb1","10","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-BETON_PREFAB-SODMM","BETON_PREFAB","SODMM","1","prefabbeton","45,0,0,0,2.8 0,0,0,0,0.75,0,-0.75","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BETON_PREFAB-SODMM.pat"
"BETON","http://digitalbuildingdata.tech/nlcs/def/485735de-e66b-4777-81af-5b78631f82d6","11","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-BETON_VOORGESPANNEN-SODMM","BETON_VOORGESPANNEN","SODMM","1","voorgespannenbeton","45,0,0,0,2.5 -45,0,0,0,2.5","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BETON_VOORGESPANNEN-SODMM.pat"
"BETON","http://digitalbuildingdata.tech/nlcs/def/b75cd3b2-6c73-4d71-93f2-0a6c2131e5fe","12","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-BETON_VOORGESP_PREFAB-SODMM","BETON_VOORGESP_PREFAB","SODMM","1","prefabbeton","45,0,0,0,2.5 -45,0,0,0,2.5 0,0,0,0,.75,0,-0.75","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BETON_VOORGESP_PREFAB-SODMM.pat"
"BETON","http://digitalbuildingdata.tech/nlcs/def/418bade4-cc62-46f4-b510-277ef5bf3f75","13","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-BETON_WERKVLOER-SODMM","BETON_WERKVLOER","SODMM","1","werkvloerbeton","90,0,0,0,1.6","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BETON_WERKVLOER-SODMM.pat"
"BRANDWERING","http://digitalbuildingdata.tech/nlcs/def/6d0e2783-0306-41b6-b13e-ade3d1f0ca86","14","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-BRANDWERING-SODMM","BRANDWERING","SODMM","1","brandwerendebekleding","","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BRANDWERING-SODMM.pat"
"BREUKSTEEN","http://digitalbuildingdata.tech/nlcs/def/75f62ab5-defd-4bf7-b73e-8930288796b4","15","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-BREUKSTEEN_01-SODMM","BREUKSTEEN_01","SODMM","1","breuksteen01","","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BREUKSTEEN_01-SODMM.pat"
"BREUKSTEEN","http://digitalbuildingdata.tech/nlcs/def/514ff0c9-9333-47ad-ad51-01c7d026c403","16","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-BREUKSTEEN_02-SODMM","BREUKSTEEN_02","SODMM","1","breuksteen02","","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BREUKSTEEN_02-SODMM.pat"
"GLAS","http://digitalbuildingdata.tech/nlcs/def/2b0165ea-b696-43bb-86ac-ed350f1e9715","17","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-GLAS-SODMM","GLAS","SODMM","","glas","","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-GLAS-SODMM.pat"
"HOUT","http://digitalbuildingdata.tech/nlcs/def/012fa336-a5c0-4d7c-a994-2ece46605e6d","18","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-HOUT_01-SODMM","HOUT_01","SODMM","1","hout01","45,0,0,0,1.875 135,0,0,3.75,1.875,4.6875,-2.8125","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-HOUT_01-SODMM.pat"
