"searchterm","arceringURI","id","abibliotheekURI","abibliotheek","fase","arcering","finalCleanName","optie","schaal","vrkl_kort","vrkl_lang","fileURL"
"SPORTVELD","http://digitalbuildingdata.tech/nlcs/def/082aa671-a10b-4ffe-909b-953e2e10f105","269","http://digitalbuildingdata.tech/nlcs/def/ee72e0be-d966-4549-8ca0-03f6a8b7d6d1","AGR","","AGR-SPORTVELD_GRAS_NATUUR-SO","SPORTVELD_GRAS_NATUUR","SO","1","natuurgrassportveld","90,0,0,.707106781,.707106781,.1875,-1.226713563 45,0,0,0,1,.1875,-.8125 135,0,0,0,1,.1875,-.8125","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGR-SPORTVELD_GRAS_NATUUR-SO.pat"
"SPORTVELD","http://digitalbuildingdata.tech/nlcs/def/63d9b636-84c2-4f30-9206-57c7c1400da5","270","http://digitalbuildingdata.tech/nlcs/def/ee72e0be-d966-4549-8ca0-03f6a8b7d6d1","AGR","","AGR-SPORTVELD_GRAS_KUNST-SO","SPORTVELD_GRAS_KUNST","SO","1","kunstgrassportveld","90,0,0,.707106781,.707106781,.1875,-1.226713563 45,0,0,0,1,.1875,-.8125 135,0,0,0,1,.1875,-.8125 0,-0.3535533905,0,0.707106781,.707106781,.707106781,-0.707106781","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGR-SPORTVELD_GRAS_KUNST-SO.pat"
"BOLLEN","http://digitalbuildingdata.tech/nlcs/def/ac6fd318-fe63-4375-8b77-460c10de79eb","35","http://digitalbuildingdata.tech/nlcs/def/ee72e0be-d966-4549-8ca0-03f6a8b7d6d1","AGR","","AGR-BOLLEN-SO","BOLLEN","SO","1","bollen","45,0,0,0,2.47485,.6,-1.87485 135,0,0,0,2.47485,.6,-1.87485","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGR-BOLLEN-SO.pat"
"MAAIVELD","http://digitalbuildingdata.tech/nlcs/def/0adedce5-90d5-4214-b486-238cbf6b5648","377","http://digitalbuildingdata.tech/nlcs/def/ee72e0be-d966-4549-8ca0-03f6a8b7d6d1","AGR","","AGR-MAAIVELD-SOD","MAAIVELD","SOD","1","maaiveld","045,0.00000,0.00000,0.00000,7.07107 045,-0.71429,0.71429,7.07107,7.07107,7.07107,-7.07107 045,-1.42857,1.42857,7.07107,7.07107,7.07107,-7.07107 045,-2.15286,2.15286,7.07107,7.07107,7.07107,-7.07107 045,-2.85714,2.85714,7.07107,7.07107,7.07107,-7.07107 045,-3.57143,3.57143,7.07107,7.07107,7.07107,-7.07107 045,-4.28571,4.28571,7.07107,7.07107,7.07107,-7.07107 315,0.00000,0.00000,0.00000,7.07107 315,0.71429,0.71429,7.07107,7.07107,7.07107,-7.07107 315,1.42857,1.42857,7.07107,7.07107,7.07107,-7.07107 315,2.15286,2.15286,7.07107,7.07107,7.07107,-7.07107 315,2.85714,2.85714,7.07107,7.07107,7.07107,-7.07107 315,3.57143,3.57143,7.07107,7.07107,7.07107,-7.07107 315,4.28571,4.28571,7.07107,7.07107,7.07107,-7.07107","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGR-MAAIVELD-SOD.pat"
"VERWIJDEREN","http://digitalbuildingdata.tech/nlcs/def/28c395de-84ed-4632-891d-c6007eb88064","379","http://digitalbuildingdata.tech/nlcs/def/ee72e0be-d966-4549-8ca0-03f6a8b7d6d1","AGR","","AGR-VERWIJDEREN-SOD","VERWIJDEREN","SOD","1","beplantingverwijderen","135,0,0,0,.75","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGR-VERWIJDEREN-SOD.pat"
"BOS","http://digitalbuildingdata.tech/nlcs/def/045ba4d6-fd70-4c4e-8568-7249657e009d","38","http://digitalbuildingdata.tech/nlcs/def/ee72e0be-d966-4549-8ca0-03f6a8b7d6d1","AGR","","AGR-BOS-SO","BOS","SO","1","bos","000,-0.57735,-1.00000,2.88675,5.00000,1.15470,-4.61880 240,0.00000,0.00000,2.88675,5.00000,1.15470,-4.61880 300,0.00000,0.00000,2.88675,5.00000,1.15470,-4.61880 270,0.00000,-1.00000,5.00000,2.88675,0.50000,-9.50000","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGR-BOS-SO.pat"
"BOS","http://digitalbuildingdata.tech/nlcs/def/4cc52fe0-3d50-4e09-985e-0601342e7b26","39","http://digitalbuildingdata.tech/nlcs/def/ee72e0be-d966-4549-8ca0-03f6a8b7d6d1","AGR","","AGR-BOSPLANTSOEN-SO","BOSPLANTSOEN","SO","1","bosplantsoen","0,0.0000,0.0000,1.0,1.,1.2,-0.8 90,0.6000,-0.4000,0.0,4.,0.8,-1.2 90,1.6000,0.6000,0.0,4.,0.8,-1.2 90,2.6000,-0.2000,0.0,4.,0.4,-1.6 90,3.6000,0.8000,0.0,4.,0.4,-1.6","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGR-BOSPLANTSOEN-SO.pat"
"BEPLANTING","http://digitalbuildingdata.tech/nlcs/def/d7d40c3f-ef9b-41ab-a772-686364b853f9","40","http://digitalbuildingdata.tech/nlcs/def/ee72e0be-d966-4549-8ca0-03f6a8b7d6d1","AGR","","AGR-BEPLANTING_SOORT_01-SO","BEPLANTING_SOORT_01","SO","1","beplantingsoort01","060,0.00000,0.00000,0.57735,1.00000,0.288676,-0.866026 120,0.00000,0.00000,0.57735,1.00000,0.288676,-0.866026 270,0.00000,0.00000,1.00000,0.57735,0.25000,-1.75000","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGR-BEPLANTING_SOORT_01-SO.pat"
"BEPLANTING","http://digitalbuildingdata.tech/nlcs/def/f961b1fc-3793-4c9f-9fe4-c67b534e15c4","41","http://digitalbuildingdata.tech/nlcs/def/ee72e0be-d966-4549-8ca0-03f6a8b7d6d1","AGR","","AGR-BEPLANTING_SOORT_02-SO","BEPLANTING_SOORT_02","SO","1","beplantingsoort02","060,0.00000,0.00000,0.433012,0.75000,0.288676,-0.57735 060,0.00000,0.50000,0.433012,0.75000,0.288676,-0.57735 300,0.00000,0.50000,0.433012,0.75000,0.288676,-0.57735","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGR-BEPLANTING_SOORT_02-SO.pat"
"GRAS","http://digitalbuildingdata.tech/nlcs/def/98a41bc5-3555-468b-9d99-8daf98bb16e4","42","http://digitalbuildingdata.tech/nlcs/def/ee72e0be-d966-4549-8ca0-03f6a8b7d6d1","AGR","","AGR-GRAS_01-SO","GRAS_01","SO","1","gras01","0,0,0,25,25,3,-20 45,10,5,31,35,3,-20 30,2,3,21,25,3,-20 15,8,12,14,15,3,-20 135,4,50,-11,12,3,-20 150,30,10,-12,10,3,-20 165,6,1,-8,16,3,-20 85,10,10,24,24,3,-20 100,0,0,24,24,3,-20","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGR-GRAS_01-SO.pat"
