"lijntypeURI","id","hoofdgroep","omschrijving","finalCleanName","fase","optie","autocaddef"
"http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437","","","CONTINUOUS","CONTINUOUS","","",""
"http://digitalbuildingdata.tech/nlcs/def/270c7274-5fc6-4b2c-804f-0eeafcef2cd8","","","V-CONTINUOUS-SO","V-CONTINUOUS-SO","","",""
"http://digitalbuildingdata.tech/nlcs/def/ebbb9a14-d798-4afc-9bf7-8ef245003404","13","BV","BV-GELEIDEBARRIER-SO","GELEIDEBARRIER","","SO","A,10,-3,[GELEIDEBARRIER,NLCS.SHX,s=1],-3"
"http://digitalbuildingdata.tech/nlcs/def/809536fe-cbce-4bb8-9427-404dd4213c32","14","BV","V-BV-GELEIDEBARRIER-SO","BGELEIDEBARRIER","V","SO","A,5,[VERWIJDEREN2,NLCS.SHX,x=0.5,s=0.5],5,-3,[GELEIDEBARRIER,NLCS.SHX,s=1],-3"
"http://digitalbuildingdata.tech/nlcs/def/90b76048-5f67-467c-8d7e-826a433cd184","15","BV","BV-STEPBARRIER-SO","STEPBARRIER","","SO","A,1,-1,[STEPBARRIER,NLCS.SHX,x=-1,s=1],1"
"http://digitalbuildingdata.tech/nlcs/def/d812d4ec-8ec7-4938-91c1-060ef3f251da","16","BV","V-BV-STEPBARRIER-SO","BSTEPBARRIER","V","SO","A,1,-1,[STEPBARRIER,NLCS.SHX,x=-1,s=1],1,-1,[VERWIJDEREN2,NLCS.SHX,s=0.5],-1"
"http://digitalbuildingdata.tech/nlcs/def/441e7d2a-b834-4893-9c0d-cc4c3e5a8790","17","BV","BV-STEPBARRIER_S-SO","STEPBARRIER_S","","SO","A,1,-1,[STEPBARRIER-S,NLCS.SHX,x=-.5,s=1],1"
"http://digitalbuildingdata.tech/nlcs/def/a77ff0ab-e561-4880-b536-273da99dd67a","18","BV","V-BV-STEPBARRIER_S-SO","BSTEPBARRIER_S","V","SO","A,1,-1,[STEPBARRIER-S,NLCS.SHX,x=-.5,s=1],1,-1,[VERWIJDEREN2,NLCS.SHX,s=0.6],-1"
"http://digitalbuildingdata.tech/nlcs/def/57c38aef-4950-4b19-8ce0-421a705616ec","19","BV","BV-STEPBARRIER_B-SO","STEPBARRIER_B","","SO","A,1,-1,[STEPBARRIER-B,NLCS.SHX,x=-1,s=1],1"
"http://digitalbuildingdata.tech/nlcs/def/699a8991-7ea3-41ce-aacb-92ae6376a92e","20","BV","V-BV-STEPBARRIER_B-SO","BSTEPBARRIER_B","V","SO","A,1,-1,[STEPBARRIER-B,NLCS.SHX,x=-1,s=1],1,-1,[VERWIJDEREN2,NLCS.SHX,s=0.6],-1"
