"lijntypeURI","id","hoofdgroep","omschrijving","finalCleanName","fase","optie","autocaddef"
"http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437","","","CONTINUOUS","CONTINUOUS","","",""
"http://digitalbuildingdata.tech/nlcs/def/270c7274-5fc6-4b2c-804f-0eeafcef2cd8","","","V-CONTINUOUS-SO","V-CONTINUOUS-SO","","",""
"http://digitalbuildingdata.tech/nlcs/def/e3639e9f-cff5-4109-9709-ee2ab0fb4418","609","BC","BC-STORTNAAD-SO","STORTNAAD","","SO","A,15,-1,[ZZ,NLCS.SHX,S=1],-1"
"http://digitalbuildingdata.tech/nlcs/def/b2e5fac3-bef1-4429-b91a-5742dc525a9a","610","BC","BC-SLOOPLIJN-SO","SLOOPLIJN","","SO","A,0,-0.01,[SLOOP,NLCS.SHX,S=2],-8"
"http://digitalbuildingdata.tech/nlcs/def/7e9d0972-1448-48b0-9cae-deaa2221bf72","611","BC","BC-KABEL-SO","KABEL","","SO","A,10,-1,3,-1"
"http://digitalbuildingdata.tech/nlcs/def/733d4e62-edeb-4bba-bdfe-5980c2922d2d","612","BC","V-BC-KABEL-SO","KABEL","V","SO","A,10,-1,1.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.5,-1"
"http://digitalbuildingdata.tech/nlcs/def/02aa089d-2d4d-4849-aabd-0798870fb3d6","758","BC","V-BC-STORTNAAD-SO","STORTNAAD","V","SO","A,7,[VERWIJDEREN2,NLCS.SHX,s=0.5],7-1,[ZZ,NLCS.SHX,S=1],-1"
"http://digitalbuildingdata.tech/nlcs/def/d4a389c3-18c9-4a3a-a4a3-ae5781dc0474","845","MC","MC-HYDRAULIEKVORM_SCHEMA_BEHUIZING-SO","HYDRAULIEKVORM_SCHEMA_BEHUIZING","","SO","A,3,-2,0,-2"
"http://digitalbuildingdata.tech/nlcs/def/80991b79-f349-42b8-9289-fb359a809da1","846","MC","MC-HYDRAULIEKVORM_SCHEMA_LEIDING_STUUR-SO","HYDRAULIEKVORM_SCHEMA_LEIDING_STUUR","","SO","A,3,-2,0,-2"
"http://digitalbuildingdata.tech/nlcs/def/ab86f51e-e903-4bba-a1b0-1d51daaee3f0","847","MC","MC-PNEUMATIEKVORM_SCHEMA_BEHUIZING-SO","PNEUMATIEKVORM_SCHEMA_BEHUIZING","","SO","A,3,-2,0,-2"
"http://digitalbuildingdata.tech/nlcs/def/b6abbda4-3772-43e1-a65b-17dad44c7197","848","MC","V-MC-HYDRAULIEKVORM_SCHEMA_BEHUIZING-SO","HYDRAULIEKVORM_SCHEMA_BEHUIZING","V","SO","A,1.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.5,-2,0,-2"
"http://digitalbuildingdata.tech/nlcs/def/1a87dd58-a7e4-42e6-a51f-274a342809c2","849","MC","V-MC-HYDRAULIEKVORM_SCHEMA_LEIDING_STUUR-SO","HYDRAULIEKVORM_SCHEMA_LEIDING_STUUR","V","SO","A,1.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.5,-2,0,-2"
"http://digitalbuildingdata.tech/nlcs/def/5336c66f-5a03-49c0-b1d7-1f5d24ef52ff","850","MC","V-MC-PNEUMATIEKVORM_SCHEMA_BEHUIZING-SO","PNEUMATIEKVORM_SCHEMA_BEHUIZING","V","SO","A,1.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.5,-2,0,-2"
