"lijntypeURI","id","hoofdgroep","omschrijving","finalCleanName","fase","optie","autocaddef"
"http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437","","","CONTINUOUS","CONTINUOUS","","",""
"http://digitalbuildingdata.tech/nlcs/def/270c7274-5fc6-4b2c-804f-0eeafcef2cd8","","","V-CONTINUOUS-SO","V-CONTINUOUS-SO","","",""
"http://digitalbuildingdata.tech/nlcs/def/46ef4f37-9624-4c74-a3bc-754ac98cc256","759","ES","ES-AFSPANNING-SO","AFSPANNING","","SO","A,3,-2,0,-2,3"
"http://digitalbuildingdata.tech/nlcs/def/c2f32f00-126f-4ebd-b4a1-33108bfe4460","760","ES","ES-BEVESTIGINGSCONSTRUCTIE_PORTAAL-SO","BEVESTIGINGSCONSTRUCTIE_PORTAAL","","SO","A,2,-2"
"http://digitalbuildingdata.tech/nlcs/def/cbcc40cb-a089-4151-9736-cf4283bca48f","761","ES","ES-BEVESTIGINGSCONSTRUCTIE_SCHOOR-SO","BEVESTIGINGSCONSTRUCTIE_SCHOOR","","SO","A,3,-2,0,-2,3"
"http://digitalbuildingdata.tech/nlcs/def/4854021e-f31b-4f26-b536-37615119df85","762","ES","ES-BEVESTIGINGSCONSTRUCTIE_TUI-SO","BEVESTIGINGSCONSTRUCTIE_TUI","","SO","A,2,-2"
"http://digitalbuildingdata.tech/nlcs/def/8a50c48f-2d60-48d8-a290-abc5c418c6ee","763","ES","ES-DRAAGKABEL-SO","DRAAGKABEL","","SO","A,3,-2,0,-2,3"
"http://digitalbuildingdata.tech/nlcs/def/17e48bfd-33ae-4b46-a086-8a05fa9f2aba","764","ES","ES-DRAAGKABEL_150MM2-SO","DRAAGKABEL_150MM2","","SO","A,2.5,-1.25"
"http://digitalbuildingdata.tech/nlcs/def/3a502652-d673-4678-b1d1-160308f53ee4","765","ES","ES-DRAAGKABEL_70MM2-SO","DRAAGKABEL_70MM2","","SO","A,2.5,-1.25"
"http://digitalbuildingdata.tech/nlcs/def/3d44a4f5-c18a-4c9d-9520-74c59774b2e2","766","ES","ES-DRAAGKABEL_DUBBEL-SO","DRAAGKABEL_DUBBEL","","SO","A,3,-2,0,-2,3"
"http://digitalbuildingdata.tech/nlcs/def/54a18217-f582-43ea-a096-b3a56f5874a2","767","ES","ES-MAST-SO","MAST","","SO","A,2,-2"
"http://digitalbuildingdata.tech/nlcs/def/9258ed2e-d899-44ed-bc8c-e67691f5e760","768","ES","ES-OPHANGCONSTRUCTIE_HALVE TREK-SO","OPHANGCONSTRUCTIE_HALVE TREK","","SO","A,2,-2"
"http://digitalbuildingdata.tech/nlcs/def/ada31326-1d1c-413a-8ae6-9316392877ad","769","ES","ES-OPHANGCONSTRUCTIE_JUK-SO","OPHANGCONSTRUCTIE_JUK","","SO","A,2,-2"
"http://digitalbuildingdata.tech/nlcs/def/a519ca6a-13f9-47b7-8846-3aa8e8b207ea","770","ES","ES-OPHANGCONSTRUCTIE_PARAFIL-SO","OPHANGCONSTRUCTIE_PARAFIL","","SO","A,5,-1,1,-1"
"http://digitalbuildingdata.tech/nlcs/def/0481cf4b-f3bb-4779-8617-8128a96f7a94","771","ES","ES-OPHANGCONSTRUCTIE_SPANDRAAD-SO","OPHANGCONSTRUCTIE_SPANDRAAD","","SO","A,2,-2"
"http://digitalbuildingdata.tech/nlcs/def/fb038808-79f0-42ff-93ec-d9d3661753c2","772","ES","ES-SCHAKELAAR-SO","SCHAKELAAR","","SO","A,2,-2"
"http://digitalbuildingdata.tech/nlcs/def/0582c64f-bdc1-4f90-863c-f61928983b7f","773","ES","ES-STROOMRAIL-SO","STROOMRAIL","","SO","A,5,-1,1,-1"
