"lijntypeURI","id","hoofdgroep","omschrijving","finalCleanName","fase","optie","autocaddef"
"http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437","","","CONTINUOUS","CONTINUOUS","","",""
"http://digitalbuildingdata.tech/nlcs/def/270c7274-5fc6-4b2c-804f-0eeafcef2cd8","","","V-CONTINUOUS-SO","V-CONTINUOUS-SO","","",""
"http://digitalbuildingdata.tech/nlcs/def/95fdfc02-f5eb-4694-9f6d-4ccd4b6c5671","613","GR","V-GR-PLANTSOEN-SO","PLANTSOEN","V","SO","A,0,-0.0001,[VERWIJDEREN2,NLCS.SHX,s=0.5,y=1],-0.0001,[PLANTSOEN,NLCS.shx,s=1.5],-4"
"http://digitalbuildingdata.tech/nlcs/def/aa4b4739-e5e6-421e-8487-650c3465a1e5","786","GR","V-GR-HAAG2-SO","HAAG2","V","SO","A,3,[VERWIJDEREN2,NLCS.shx,s=0.5],3,[HAAG2,NLCS.shx,s=0.5],-2"
"http://digitalbuildingdata.tech/nlcs/def/8fc5cf7b-d912-4152-858a-a8e139b5d3cd","787","GR","V-GR-HAAG3-SO","HAAG3","V","SO","A,3,[VERWIJDEREN2,NLCS.shx,s=0.5],3,[HAAG3,NLCS.shx,s=0.1815],-2"
"http://digitalbuildingdata.tech/nlcs/def/f15f67cc-0f09-46c7-af4b-73dacc4a9b1a","788","GR","V-GR-HAAG_RASTER-SO","HAAG_RASTER","V","SO","A,2,[VERWIJDEREN2,NLCS.SHX,x=-1,s=0.6],2,[MARK,NLCS.SHX,r=45,s=0.75],2,[VERWIJDEREN2,NLCS.SHX,x=1,s=0.6],2,-2"
"http://digitalbuildingdata.tech/nlcs/def/9cea87d7-7826-4cf9-8aa4-5efebc4b16eb","789","GR","GR-HAAG_RASTER-SO","HAAG_RASTER","","SO","A,4,[MARK,NLCS.SHX,r=45,s=0.75],4,-1.5"
"http://digitalbuildingdata.tech/nlcs/def/c3c4fb1e-34f2-4dd8-be76-f8070bb624aa","79","GR","GR-PLANTSOEN-SO","PLANTSOEN","","SO","A,0,[PLANTSOEN,NLCS.shx,s=1.5],-4"
"http://digitalbuildingdata.tech/nlcs/def/a65aa8de-22d4-46eb-b958-984654b957ec","80","GR","GR-HAAG1-SO","HAAG1","","SO","A,6,[HAAG1,NLCS.shx,s=0.125],-2"
"http://digitalbuildingdata.tech/nlcs/def/44b20ad2-48c4-4be0-9701-2ca6ccd8adfd","81","GR","GR-HAAG2-SO","HAAG2","","SO","A,6,[HAAG2,NLCS.shx,s=0.5],-2"
"http://digitalbuildingdata.tech/nlcs/def/80fe2ea7-eab7-447c-b56e-27d2df12eb77","82","GR","GR-HAAG3-SO","HAAG3","","SO","A,6,[HAAG3,NLCS.shx,s=0.1815],-2"
"http://digitalbuildingdata.tech/nlcs/def/afe89afa-aaef-4339-af3a-c75cdb6bb10c","875","GR","V-GR-HAAG1-SO","HAAG1","V","SO","A,3,[VERWIJDEREN2,NLCS.shx,s=0.5],3,[HAAG1,NLCS.shx,s=0.125],-2"
"http://digitalbuildingdata.tech/nlcs/def/e48a42a7-ac54-4b41-8367-2e45fde4c81d","877","GR","GR-HAAG_DRAAD-SO","HAAG_DRAAD","","SO","A,4,[MARK,NLCS.SHX,r=45,s=0.75],4,-1.5"
"http://digitalbuildingdata.tech/nlcs/def/e398f121-e57f-488c-a6fd-9b12690a7af4","878","GR","V-GR-HAAG_DRAAD-SO","HAAG_DRAAD","V","SO","A,2,[VERWIJDEREN2,NLCS.SHX,x=-1,s=0.6],2,[MARK,NLCS.SHX,r=45,s=0.75],2,[VERWIJDEREN2,NLCS.SHX,x=1,s=0.6],2,-2"
