"lijntypeURI","id","hoofdgroep","omschrijving","finalCleanName","fase","optie","autocaddef"
"http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437","","","CONTINUOUS","CONTINUOUS","","",""
"http://digitalbuildingdata.tech/nlcs/def/270c7274-5fc6-4b2c-804f-0eeafcef2cd8","","","V-CONTINUOUS-SO","V-CONTINUOUS-SO","","",""
"http://digitalbuildingdata.tech/nlcs/def/952cef8a-6590-44b9-83d8-ddfb8fdf3301","794","IW","IW-DATA_GLASVEZEL","DATA_GLASVEZEL","","","A,1.75,-.5,[""GV"",NLCS-ISO,S=0.25,U=0.0,X=-0.20,Y=-0.15],-.55"
"http://digitalbuildingdata.tech/nlcs/def/fcf297df-07e6-404f-a8ba-61af760fc32f","795","IW","IW-DATA_KOPER","DATA_KOPER","","","A,1.75,-.55,[""K"",NLCS-ISO,S=0.25,U=0.0,X=-0.20,Y=-0.15],-.3"
"http://digitalbuildingdata.tech/nlcs/def/d351d665-7371-428d-8519-9884db3505a9","796","IW","IW-DETECTIE","DETECTIE","","","A,2.3,-.55,[""DET"",NLCS-ISO,S=0.25,U=0.0,X=-0.20,Y=-0.15],-.8"
"http://digitalbuildingdata.tech/nlcs/def/2c857e56-612c-40ae-b394-cfbbb6a77387","797","IW","IW-KABELTRACE","KABELTRACE","","","A,2,-.5,[""VRI"",NLCS-ISO,S=0.35,U=0.0,X=-0.20,Y=-0.2],-.8"
"http://digitalbuildingdata.tech/nlcs/def/920c1aef-1a31-4806-ab71-c30891ab6821","798","IW","IW-KOPPELKABEL","KOPPELKABEL","","","A,2,-.5,[""<*>"",NLCS-ISO,S=0.7,U=0.0,X=-0.20,Y=-0.23],-1.7"
"http://digitalbuildingdata.tech/nlcs/def/1540675c-33c7-473a-87d3-89d436257ca5","799","IW","IW-SIGNAAL_230V","SIGNAAL_230V","","","A,2,-.5,[""230V"",NLCS-ISO,S=0.25,U=0.0,X=-0.20,Y=-0.15],-.8"
"http://digitalbuildingdata.tech/nlcs/def/37f41877-1344-413a-8942-52e3cf5bdb1b","800","IW","IW-SIGNAAL_42V","SIGNAAL_42V","","","A,1.75,-.55,[""42V"",NLCS-ISO,S=0.25,U=0.0,X=-0.20,Y=-0.15],-.8"
"http://digitalbuildingdata.tech/nlcs/def/ceaf40c9-5cc6-4064-ad1e-da2c172af4e0","801","IW","IW-SIGNAALKABEL","SIGNAALKABEL","","","A,2.5,-.2,.8,-.2"
