"lijntypeURI","id","hoofdgroep","omschrijving","finalCleanName","fase","optie","autocaddef"
"http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437","","","CONTINUOUS","CONTINUOUS","","",""
"http://digitalbuildingdata.tech/nlcs/def/270c7274-5fc6-4b2c-804f-0eeafcef2cd8","","","V-CONTINUOUS-SO","V-CONTINUOUS-SO","","",""
"http://digitalbuildingdata.tech/nlcs/def/7added4f-0f3f-4fdf-b508-d931e2a00054","180","KL","KL-BRANDSTOF-SO","BRANDSTOF","","SO","A,4,-0.5,[VERT,NLCS.SHX,s=0.5,r=0.0,x=0.75,y=0],-2,4,-1,[\""B\"",standard,U=0.0,x=-0.15,y=-.5,s=1],-1.5"
"http://digitalbuildingdata.tech/nlcs/def/4d26b681-d1e1-4236-b5c4-d2552f0ba207","181","KL","V-KL-BRANDSTOF-SO","BRANDSTOF","V","SO","A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-0.5,[VERT,NLCS.SHX,s=0.5,r=0.0,x=0.75,y=0],-2,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[\""B\"",standard,U=0.0,x=-0.15,y=-.5,s=1],-1.5"
"http://digitalbuildingdata.tech/nlcs/def/ed4c48af-43f5-4bfc-b886-97fcd396c625","182","KL","KL-CHEMIE-SO","CHEMIE","","SO","A,7,-0.5,[VERT,NLCS.SHX,s=0.5,r=0.0,x=0.75,y=0],-2"
"http://digitalbuildingdata.tech/nlcs/def/00e2cf73-6bae-4326-8ea8-7e6fd344c5b1","183","KL","V-KL-CHEMIE-SO","CHEMIE","V","SO","A,3.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],3.5,-0.5,[VERT,NLCS.SHX,s=0.5,r=0.0,x=0.75,y=0],-2"
"http://digitalbuildingdata.tech/nlcs/def/65c27fe9-ac06-41ec-9597-b7fc60530f31","184","KL","KL-CV-SO","CV","","SO","A,7,-1.5,[\""CV\"",standard,U=0.0,s=1,r=0.0,x=-0.5,y=-.5],-3"
"http://digitalbuildingdata.tech/nlcs/def/bb096680-6ce0-4c36-98ca-d35b060d4188","185","KL","V-KL-CV-SO","CSO","V","SO","A,3.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],3.5,-1.5,[\""CV\"",standard,U=0.0,s=1,r=0.0,x=-0.5,y=-.5],-3"
"http://digitalbuildingdata.tech/nlcs/def/306650c5-6eac-4bad-b185-71482aa6fb1f","186","KL","KL-DATA-SO","DATA","","SO","A,4,-1,[v,NLCS.SHX,s=.5],-1,4,-1,[\""D\"",standard,U=0.0,s=1,r=0.0,x=-.25,y=-.5],-1.5"
"http://digitalbuildingdata.tech/nlcs/def/33044e60-f603-4e8f-a0f3-6e80c25cec6c","187","KL","V-KL-DATA-SO","DATA","V","SO","A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[v,NLCS.SHX,s=.5],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[\""D\"",standard,U=0.0,s=1,r=0.0,x=-.25,y=-.5],-1.5"
