"lijntypeURI","id","hoofdgroep","omschrijving","finalCleanName","fase","optie","autocaddef"
"http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437","","","CONTINUOUS","CONTINUOUS","","",""
"http://digitalbuildingdata.tech/nlcs/def/270c7274-5fc6-4b2c-804f-0eeafcef2cd8","","","V-CONTINUOUS-SO","V-CONTINUOUS-SO","","",""
"http://digitalbuildingdata.tech/nlcs/def/77c02502-b107-499a-a3c0-f29debbba84f","260","MO","MO-BORDER-SO","BORDER","","SO","A,12.5,-2.5,1,-2.5"
"http://digitalbuildingdata.tech/nlcs/def/609cbc3b-e1d6-4063-9cad-9c43d7f4d508","261","MO","V-MO-BORDER-SO","BORDER","V","SO","A,12.5,-2.5,1,-2.5,12.5,-2.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],-2.5"
"http://digitalbuildingdata.tech/nlcs/def/e7b21879-5741-4034-8640-4feaaec26bd6","262","MO","MO-BODEMACHTERGRONDWAARDE-SO","BODEMACHTERGRONDWAARDE","","SO","A,3,-3.5,6,-7,[MAAIVELD,NLCS.SHX,s=1.8],-7,6,-3.5,6,-3.5,3"
"http://digitalbuildingdata.tech/nlcs/def/ac17a306-bfbe-4b7e-8942-d4aa366db0b7","263","MO","V-MO-BODEMACHTERGRONDWAARDE-SO","BODEMACHTERGRONDWAARDE","V","SO","A,3,-3.5,6,-7,[MAAIVELD,NLCS.SHX,s=1.8],-7,6,-3.5,6,-3.5,[VERWIJDEREN2,NLCS.SHX,x=-1.75,s=0.5],3"
"http://digitalbuildingdata.tech/nlcs/def/47f89c65-9748-465f-b2ab-4c494c00705c","264","MO","MO-BODEMTUSSENWAARDE-SO","BODEMTUSSENWAARDE","","SO","A,5,-7.25,0,-7.25,10,-7,[MAAIVELD,NLCS.SHX,s=1.8],-7,5"
"http://digitalbuildingdata.tech/nlcs/def/34b556dd-4468-4848-9580-445abbc995f3","265","MO","V-MO-BODEMTUSSENWAARDE-SO","BODEMTUSSENWAARDE","V","SO","A,5,-7.25,0,[VERWIJDEREN2,NLCS.SHX,s=0.5],-7.25,10,-7,[MAAIVELD,NLCS.SHX,s=1.8],-7,5"
"http://digitalbuildingdata.tech/nlcs/def/e429a6c1-b10e-42a9-8412-90112a275e19","266","MO","MO-BODEM_CONTOUR_INTERVENTIEWAARDE-SO","BODEM_CONTOUR_INTERVENTIEWAARDE","","SO","A,17.25,-7,[MAAIVELD,NLCS.SHX,s=1.8],-7,17.25"
"http://digitalbuildingdata.tech/nlcs/def/8df89336-a492-4df2-83e1-967f67b45d51","267","MO","V-MO-BODEM_CONTOUR_INTERVENTIEWAARDE-SO","BODEM_CONTOUR_INTERVENTIEWAARDE","V","SO","A,8.625,-7,[MAAIVELD,NLCS.SHX,s=1.8],-7,17.25,[VERWIJDEREN2,NLCS.SHX,s=0.5],8.625"
