"lijntypeURI","id","hoofdgroep","omschrijving","finalCleanName","fase","optie","autocaddef"
"http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437","","","CONTINUOUS","CONTINUOUS","","",""
"http://digitalbuildingdata.tech/nlcs/def/270c7274-5fc6-4b2c-804f-0eeafcef2cd8","","","V-CONTINUOUS-SO","V-CONTINUOUS-SO","","",""
"http://digitalbuildingdata.tech/nlcs/def/bd9fedbf-ce99-4ebf-8399-baa5b982a967","314","OB","OB-PEILVLAK-SO","PEILVLAK","","SO","A,6,-1.5"
"http://digitalbuildingdata.tech/nlcs/def/a29bff8d-79ae-4636-9acc-2cc6ad690c86","315","OB","V-OB-PEILVLAK-SO","PEILVLAK","V","SO","A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.5"
"http://digitalbuildingdata.tech/nlcs/def/0a07466a-3905-4407-8410-eff70585d089","316","OB","OB-WATERLIJN-SO","WATERLIJN","","SO","A,10,[WATERLIJN,NLCS.SHX,s=2],-12"
"http://digitalbuildingdata.tech/nlcs/def/52bc210a-99a3-4bcf-b7c7-6aba990d4bf4","317","OB","OB-BESCHOEIING-SO","BESCHOEIING","","SO","A,20,-3.5,[BESCHOEIING,NLCS.SHX,s=0.5],-3.5"
"http://digitalbuildingdata.tech/nlcs/def/684ca7f2-59bc-462f-a3e2-1903efb6fb2d","318","OB","V-OB-BESCHOEIING-SO","BESCHOEIING","V","SO","A,10,[VERWIJDEREN2,NLCS.SHX,s=0.5],10,-3.5,[BESCHOEIING,NLCS.SHX,s=0.5],-3.5"
"http://digitalbuildingdata.tech/nlcs/def/02734549-58ce-4154-969e-d6c15fdff0a1","319","OB","OB-PERKOEN-SO","PERKOEN","","SO","A,0,-1,[CIRKEL,NLCS.SHX,s=1],-1"
"http://digitalbuildingdata.tech/nlcs/def/c8213b7c-5f02-4bb4-bd8b-3dc869a789af","320","OB","V-OB-PERKOEN-SO","PERKOEN","V","SO","A,0,-1,[CIRKEL,NLCS.SHX,s=1],-2,[CIRKEL,NLCS.SHX,s=1],-2,[CIRKEL,NLCS.SHX,s=1],-6,[VERWIJDEREN2,NLCS.SHX,s=0.5],-6"
"http://digitalbuildingdata.tech/nlcs/def/389870d6-b419-4033-8dfe-240642556098","321","OB","OB-SCHANSKORF-SO","SCHANSKORF","","SO","A,5,-1,[BLOK5-V,NLCS.SHX,s=2,x=-0.5],-1"
"http://digitalbuildingdata.tech/nlcs/def/f1a47a6f-9f05-44db-ad04-3af852ecfb67","322","OB","V-OB-SCHANSKORF-SO","SCHANSKORF","V","SO","A,2.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],2.5,-1,[BLOK5-V,NLCS.SHX,s=2,x=-0.5],-1"
