"lijntypeURI","id","hoofdgroep","omschrijving","finalCleanName","fase","optie","autocaddef"
"http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437","","","CONTINUOUS","CONTINUOUS","","",""
"http://digitalbuildingdata.tech/nlcs/def/270c7274-5fc6-4b2c-804f-0eeafcef2cd8","","","V-CONTINUOUS-SO","V-CONTINUOUS-SO","","",""
"http://digitalbuildingdata.tech/nlcs/def/beb1a4db-ac86-4022-8319-29768db8560d","214","OV","OV-KABEL-SO","KABEL","","SO","A,4,-1,[flash,NLCS.SHX,s=.75],-1,4,-1.5,[\""0V\"",standard,U=0.0,s=1,r=0.0,x=0,y=-.5],-3"
"http://digitalbuildingdata.tech/nlcs/def/c0a2fc1f-1aa9-42b0-924d-70f9c0dad560","215","OV","V-OV-KABEL-SO","OKABEL","V","SO","A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[flash,NLCS.SHX,s=.75],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1.5,[\""0V\"",standard,U=0.0,s=1,r=0.0,x=0,y=-.5],-3"
"http://digitalbuildingdata.tech/nlcs/def/2b17a618-ed1b-4af5-a1ed-32fc07a3a0f5","690","OV","OV-KABEL_AARDING-SO","KABEL_AARDING","","SO","A,14,-1,[\""OV\"",standard,U=0.0,x=0.5,y=-.9,s=1.8],-5,14,-.5,[\""A\"",standard,U=0.0,x=-0.15,y=-.9,s=1.8],-1.5"
"http://digitalbuildingdata.tech/nlcs/def/55ee6217-a826-4829-83a2-ed76b8915063","692","OV","OV-KABEL_SIGNAAL-SO","KABEL_SIGNAAL","","SO","A,14,-1,[\""OV\"",standard,U=0.0,x=0.5,y=-.9,s=1.8],-5,14,-.5,[\""S\"",standard,U=0.0,x=-0.15,y=-.9,s=1.8],-1.5"
"http://digitalbuildingdata.tech/nlcs/def/dd66be46-a00e-4d5e-8e50-3c6172745bc2","693","OV","OV-KABEL_VOEDING-SO","KABEL_VOEDING","","SO","A,14,-1,[\""OV\"",standard,U=0.0,x=0.5,y=-.9,s=1.8],-5,14,-.5,[\""V\"",standard,U=0.0,x=-0.15,y=-.9,s=1.8],-1.5"
"http://digitalbuildingdata.tech/nlcs/def/868f8e2c-f060-431e-b81c-fd1c2bc5568a","694","OV","V-OV-KABEL_AARDING-SO","OKABEL_AARDING","V","SO","A,7,[VERWIJDEREN2,NLCS.SHX,s=0.5],7,-1,[\""OV\"",standard,U=0.0,x=0.5,y=-.9,s=1.8],-5,7,[VERWIJDEREN2,NLCS.SHX,s=0.5],7,-.5,[\""A\"",standard,U=0.0,x=-0.15,y=-.9,s=1.8],-1.5"
"http://digitalbuildingdata.tech/nlcs/def/dd55292e-c4b6-46dd-bd50-156b917c40ba","695","OV","V-OV-KABEL_BUNDEL-SO","OKABEL_BUNDEL","V","SO","A,7,[VERWIJDEREN2,NLCS.SHX,s=0.5],7,-1,[\""OV\"",standard,U=0.0,x=0.5,y=-.9,s=1.8],-5,7,[VERWIJDEREN2,NLCS.SHX,s=0.5],7,-.5,[\""B\"",standard,U=0.0,x=-0.15,y=-.9,s=1.8],-1.5"
"http://digitalbuildingdata.tech/nlcs/def/47a8b97d-116c-41a5-8844-7e55cb3e32e2","696","OV","V-OV-KABEL_SIGNAAL-SO","OKABEL_SIGNAAL","V","SO","A,7,[VERWIJDEREN2,NLCS.SHX,s=0.5],7,-1,[\""OV\"",standard,U=0.0,x=0.5,y=-.9,s=1.8],-5,7,[VERWIJDEREN2,NLCS.SHX,s=0.5],7,-.5,[\""S\"",standard,U=0.0,x=-0.15,y=-.9,s=1.8],-1.5"
