"lijntypeURI","id","hoofdgroep","omschrijving","finalCleanName","fase","optie","autocaddef"
"http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437","","","CONTINUOUS","CONTINUOUS","","",""
"http://digitalbuildingdata.tech/nlcs/def/270c7274-5fc6-4b2c-804f-0eeafcef2cd8","","","V-CONTINUOUS-SO","V-CONTINUOUS-SO","","",""
"http://digitalbuildingdata.tech/nlcs/def/7355ed03-65f6-4e12-9569-41b9c86f4ed9","424","VH","VH-AMSTELBAND-SO","AMSTELBAND","","SO","A,16,-4,0,-2,2,-2,0,-4"
"http://digitalbuildingdata.tech/nlcs/def/85b25d87-d65c-4bc6-b788-e708a8b6e422","425","VH","V-VH-AMSTELBAND-SO","AMSTELBAND","V","SO","A,8,[VERWIJDEREN2,NLCS.SHX,s=0.5],8,-4,0,-2,2,-2,0,-4"
"http://digitalbuildingdata.tech/nlcs/def/c38d0fea-acda-4897-8659-56996accc01a","427","VH","VH-BUSHALTEBAND-SO","BUSHALTEBAND","","SO","A,2,-2"
"http://digitalbuildingdata.tech/nlcs/def/ee26a81d-8f82-473d-8e13-1a88b2192ea6","428","VH","V-VH-BUSHALTEBAND-SO","BUSHALTEBAND","V","SO","A,2,-2,1,[VERWIJDEREN2,NLCS.SHX,s=0.5],1,-2"
"http://digitalbuildingdata.tech/nlcs/def/baa5603a-5b96-4c3b-ab45-4f873bc1596b","429","VH","VH-BUSHALTEBAND_STELLEN-SO","BUSHALTEBAND_STELLEN","","SO","A,2,-2,1,[\""S\"",standard,U=0.0,x=-0.5,y=-.9,s=1.8],1,-2"
"http://digitalbuildingdata.tech/nlcs/def/911a6958-6d30-479e-905c-66e5871b53ea","430","VH","VH-GAZONBAND-SO","GAZONBAND","","SO","A,5,-2"
"http://digitalbuildingdata.tech/nlcs/def/67ebb8ef-e84a-45cf-92c6-69e87948384a","431","VH","V-VH-GAZONBAND-SO","GAZONBAND","V","SO","A,2.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],2.5,-2"
"http://digitalbuildingdata.tech/nlcs/def/7ab574da-532e-4b48-85bf-350c62f0315e","442","VH","VH-GAZONBAND_STELLEN-SO","GAZONBAND_STELLEN","","SO","A,2.5,[\""S\"",standard,U=0.0,x=-0.5,y=-.9,s=1.8],2.5,-2"
