"lijntypeURI","id","hoofdgroep","omschrijving","finalCleanName","fase","optie","autocaddef"
"http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437","","","CONTINUOUS","CONTINUOUS","","",""
"http://digitalbuildingdata.tech/nlcs/def/270c7274-5fc6-4b2c-804f-0eeafcef2cd8","","","V-CONTINUOUS-SO","V-CONTINUOUS-SO","","",""
"http://digitalbuildingdata.tech/nlcs/def/211aec51-517e-4bd0-b64c-632a2024d774","595","WH","WH-OVERLOOPGEBIED-SO","OVERLOOPGEBIED","","SO","A,12,-1.5,3,-1.5"
"http://digitalbuildingdata.tech/nlcs/def/a40240c3-b62e-4f8c-a817-953b155f42cf","596","WH","V-WH-OVERLOOPGEBIED-SO","OVERLOOPGEBIED","V","SO","A,6,[VERWIJDEREN2,NLCS.SHX,s=0.5],6,-1.5,3,-1.5"
"http://digitalbuildingdata.tech/nlcs/def/e06cbd8b-690a-4309-a2d6-e7fa17b1b3bc","600","WH","WH-WINTERBED-SO","WINTERBED","","SO","A,3,-1.75,[\""WB\"",standard,U=0.0,x=1.5,y=.9,s=1.8],-1.75,3,-1.75,3,-1.75,3,-1.75,3,-1.75"
"http://digitalbuildingdata.tech/nlcs/def/1d3b88de-b089-42de-85cc-c80fa9f434a6","601","WH","V-WH-WINTERBED-SO","WINTERBED","V","SO","A,3,-1.75,[""WB"",standard,U=0.0,x=1.5,y=.9,s=1.8],-1.75,3,-1.75,3,-1.75,1.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.5,-1.75,3,-1.75"
"http://digitalbuildingdata.tech/nlcs/def/cd0f6a7b-ccdf-44b1-8ff9-c0499c2c96e0","602","WH","WH-WINTERBERGING-SO","WINTERBERGING","","SO","A,3,-6.5"
"http://digitalbuildingdata.tech/nlcs/def/e7f728da-dc04-42e2-898a-425ec5226daa","603","WH","V-WH-WINTERBERGING-SO","WINTERBERGING","V","SO","A,1.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.5,-6.5"
"http://digitalbuildingdata.tech/nlcs/def/68c9f556-7710-4eec-b461-ddded12d9fc2","604","WH","WH-ZOMERBED-SO","ZOMERBED","","SO","A,3,-1.75,[\""ZB\"",standard,U=0.0,x=1.5,y=.9,s=1.8],-1.75,3,-1.75,3,-1.75,3,-1.75,3,-1.75"
"http://digitalbuildingdata.tech/nlcs/def/54c76313-80ce-4d68-b93d-bd7485194058","605","WH","V-WH-ZOMERBED-SO","ZOMERBED","V","SO","A,3,-1.75,[""ZB"",standard,U=0.0,x=1.5,y=.9,s=1.8],-1.75,3,-1.75,3,-1.75,1.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.5,-1.75,3,-1.75"
"http://digitalbuildingdata.tech/nlcs/def/d3832dff-2002-4f65-b7fe-4cb9abab4096","620","WH","WH-OVERSTORT-SO","OVERSTORT","","SO","A,10,-1.5,2.5,-1.5"
"http://digitalbuildingdata.tech/nlcs/def/c7ef16ef-e165-4a8b-870d-4727f43871bb","621","WH","V-WH-OVERSTORT-SO","OVERSTORT","V","SO","A,5,[VERWIJDEREN2,NLCS.SHX,s=0.5],5,-1.5,2.5,-1.5"
"http://digitalbuildingdata.tech/nlcs/def/c116b307-ce6b-415d-a6db-7789a42f3f7c","7611","WH","WH-GRONDWATERLIJN-SO","GRONDWATERLIJN","","SO","A,3,[VERWIJDEREN1,NLCS.SHX,s=0.5],3,[WATERLIJN,NLCS.SHX,s=1],6"
"http://digitalbuildingdata.tech/nlcs/def/62a02bbf-737f-4a3d-8948-fab9b1319d82","7612","WH","V-WH-WATERBODEM-SO","V-WATERBODEM","","SO","A,4,[VERWIJDEREN1,NLCS.SHX,s=0.5],12,[MAAIVELD,NLCS.SHX,y=-0.50,s=1],12"
"http://digitalbuildingdata.tech/nlcs/def/7afae42e-ae8c-44af-93b3-8aa664e25810","7613","WH","V-WH-GRONDWATERLIJN-SO","V-GRONDWATERLIJN","","SO","A,3,[VERWIJDEREN1,NLCS.SHX,s=0.5],3,[WATERLIJN,NLCS.SHX,s=1],6"
