hoofdgroep;id_nummer;omschrijving;kind_van;status;discipline;lw_b;kl_b;kl_b_a;kl_b_gd;kl_b_gn;kl_b_v;lt_b;lw_n;kl_n;kl_n_a;kl_n_gd;kl_n_gn;kl_n_v;lt_n;lw_t;kl_t;kl_t_a;kl_t_gd;kl_t_gn;kl_t_v;lt_t;lw_v;kl_v;kl_v_a;kl_v_gd;kl_v_gn;kl_v_v;lt_v;element;vrkl_kort
WH;2686;WVP_2e;2684;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;2687;WVP_3e;2684;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;2685;WVP_1e;2684;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;3036;DUIKER_BETON;3035;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;3038;DUIKER_PVC;3035;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;3039;DUIKER_STAAL;3035;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;3037;DUIKER_PE;3035;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;3025;WATERPEIL_STUWPEIL;2681;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;3027;WATERPEIL_WINTERPEIL;2681;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;V-CONTINUOUS-SO;G;
WH;3033;WATERPEIL_KNOOPPUNT;2681;*;**;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;V-CONTINUOUS-SO;G;
