"omschrijving","status","underscore","discipline","underscore2","hoofdgroep","underscore3","object","underscore4","subobject01","underscore5","subobject02","underscore6","subobject03","underscore7","subobject04","underscore8","subobject05","streepje","bewerking","streepje3","element","streepje2","aobject","sobject","laagnaam","lw_b","kl_b","kl_b_a","kl_b_gd","kl_b_gn","kl_b_v","lt_b","lw_n","kl_n","kl_n_a","kl_n_gd","kl_n_gn","kl_n_v","lt_n","lw_v","kl_v","kl_v_a","kl_v_gd","kl_v_gn","kl_v_v","lt_v","lw_t","kl_t","kl_t_a","kl_t_gd","kl_t_gn","kl_t_v","lt_t","vrkl_kort","vrkl_lang","id_nummer","kind_van","objectURI","kind_vanURI"
"BESCHOEIING_DAMWAND_BETON","*","_","**","_","GK","_","BESCHOEIING","_","DAMWAND","_","BETON","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_BESCHOEIING_DAMWAND_BETON","0.18","130","132","130","130","253","GK-BESCHOEIING-SO","0.35","130","132","130","130","253","GK-BESCHOEIING-SO","0.35","130","132","130","130","253","V-GK-BESCHOEIING-SO","0.35","130","132","130","130","253","GK-BESCHOEIING-SO","","","343","340","http://digitalbuildingdata.tech/nlcs/def/4cacee11-e35d-41fa-bf50-242615dcd00a","http://digitalbuildingdata.tech/nlcs/def/16751b43-167f-47e0-a535-2aaf635740a9"
"KADEMUUR_OVERBOUWD TALUD_DEK OVER GLOOIINGSCONSTRUCTIE","*","_","**","_","GK","_","KADEMUUR","_","OVERBOUWD TALUD","_","DEK OVER GLOOIINGSCONSTRUCTIE","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KADEMUUR_OVERBOUWD TALUD_DEK OVER GLOOIINGSCONSTRUCTIE","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","V-CONTINUOUS-SO","0.35","150","152","150","150","253","CONTINUOUS","","","305","304","http://digitalbuildingdata.tech/nlcs/def/2f72694d-15be-41e9-8dbb-c7c8f325b4ab","http://digitalbuildingdata.tech/nlcs/def/1d5d0a74-7a80-4dec-a5ab-e5f4119a1947"
"KADEMUUR_ONTLASTVLOER_HOOGGELEGEN","*","_","**","_","GK","_","KADEMUUR","_","ONTLASTVLOER","_","HOOGGELEGEN","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KADEMUUR_ONTLASTVLOER_HOOGGELEGEN","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","V-CONTINUOUS-SO","0.35","150","152","150","150","253","CONTINUOUS","","","302","301","http://digitalbuildingdata.tech/nlcs/def/53130b93-b016-4aed-9c16-5e01d70ed638","http://digitalbuildingdata.tech/nlcs/def/ea9c93f6-4798-4b7b-98f4-723c38cafa23"
"KEERWAND_DAMWAND_BETON","*","_","**","_","GK","_","KEERWAND","_","DAMWAND","_","BETON","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KEERWAND_DAMWAND_BETON","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","319","316","http://digitalbuildingdata.tech/nlcs/def/232eee62-41af-4299-8fb3-8c00b62d78c0","http://digitalbuildingdata.tech/nlcs/def/c4265bc5-16c7-4201-9da7-811919a367c9"
"KISTDAM_DAMWAND_BETON","*","_","**","_","GK","_","KISTDAM","_","DAMWAND","_","BETON","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KISTDAM_DAMWAND_BETON","0.18","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","333","330","http://digitalbuildingdata.tech/nlcs/def/219d0415-3844-4c4e-a3f4-1a6a8acba6e9","http://digitalbuildingdata.tech/nlcs/def/132eedd6-787b-453e-bc32-a6577a47c9ba"
"KADEMUUR_ONTLASTVLOER_DIEPGELEGEN","*","_","**","_","GK","_","KADEMUUR","_","ONTLASTVLOER","_","DIEPGELEGEN","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KADEMUUR_ONTLASTVLOER_DIEPGELEGEN","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","V-CONTINUOUS-SO","0.35","150","152","150","150","253","CONTINUOUS","","","303","301","http://digitalbuildingdata.tech/nlcs/def/d576faea-bb94-401a-a68c-c22e9741dfd8","http://digitalbuildingdata.tech/nlcs/def/ea9c93f6-4798-4b7b-98f4-723c38cafa23"
"KADEMUUR_GEWICHTSCONSTRUCTIE_CELLENWAND","*","_","**","_","GK","_","KADEMUUR","_","GEWICHTSCONSTRUCTIE","_","CELLENWAND","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KADEMUUR_GEWICHTSCONSTRUCTIE_CELLENWAND","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","V-CONTINUOUS-SO","0.35","150","152","150","150","253","CONTINUOUS","","","296","292","http://digitalbuildingdata.tech/nlcs/def/cad7100d-fa4c-409d-a0b1-d8575dcf34ed","http://digitalbuildingdata.tech/nlcs/def/52cd86dd-e23b-4447-892b-dce2bd5cf343"
"BOUWKUIP_DAMWAND_KUNSTSTOF","*","_","**","_","GK","_","BOUWKUIP","_","DAMWAND","_","KUNSTSTOF","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_BOUWKUIP_DAMWAND_KUNSTSTOF","0.18","210","212","210","210","253","CONTINUOUS","0.35","210","212","210","210","253","CONTINUOUS","0.35","210","212","210","210","253","V-CONTINUOUS-SO","0.35","210","212","210","210","253","CONTINUOUS","","","312","308","http://digitalbuildingdata.tech/nlcs/def/bc41eb10-87c7-472d-9998-05f4fae165f9","http://digitalbuildingdata.tech/nlcs/def/a24cbba6-bee5-4681-b388-e33c493062f1"
"BESCHOEIING_DAMWAND_KUNSTSTOF","*","_","**","_","GK","_","BESCHOEIING","_","DAMWAND","_","KUNSTSTOF","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_BESCHOEIING_DAMWAND_KUNSTSTOF","0.18","130","132","130","130","253","GK-BESCHOEIING-SO","0.35","130","132","130","130","253","GK-BESCHOEIING-SO","0.35","130","132","130","130","253","V-GK-BESCHOEIING-SO","0.35","130","132","130","130","253","GK-BESCHOEIING-SO","","","344","340","http://digitalbuildingdata.tech/nlcs/def/09532a95-c458-439a-a0ef-6340061c99e5","http://digitalbuildingdata.tech/nlcs/def/16751b43-167f-47e0-a535-2aaf635740a9"
"KISTDAM_DAMWAND_STAAL","*","_","**","_","GK","_","KISTDAM","_","DAMWAND","_","STAAL","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KISTDAM_DAMWAND_STAAL","0.18","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","331","330","http://digitalbuildingdata.tech/nlcs/def/5edb7090-a626-4f21-84b0-d03a37c6351d","http://digitalbuildingdata.tech/nlcs/def/132eedd6-787b-453e-bc32-a6577a47c9ba"
"KADEMUUR_GEWICHTSCONSTRUCTIE_BLOKKENMUUR","*","_","**","_","GK","_","KADEMUUR","_","GEWICHTSCONSTRUCTIE","_","BLOKKENMUUR","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KADEMUUR_GEWICHTSCONSTRUCTIE_BLOKKENMUUR","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","V-CONTINUOUS-SO","0.35","150","152","150","150","253","CONTINUOUS","","","293","292","http://digitalbuildingdata.tech/nlcs/def/1a087924-1de2-44bc-ae67-05b4eaf0327b","http://digitalbuildingdata.tech/nlcs/def/52cd86dd-e23b-4447-892b-dce2bd5cf343"
"KADEMUUR_GEWICHTSCONSTRUCTIE_L MUUR","*","_","**","_","GK","_","KADEMUUR","_","GEWICHTSCONSTRUCTIE","_","L MUUR","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KADEMUUR_GEWICHTSCONSTRUCTIE_L MUUR","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","V-CONTINUOUS-SO","0.35","150","152","150","150","253","CONTINUOUS","","","294","292","http://digitalbuildingdata.tech/nlcs/def/3afe5acc-0cd2-438a-9633-2a4a0281d98f","http://digitalbuildingdata.tech/nlcs/def/52cd86dd-e23b-4447-892b-dce2bd5cf343"
"KISTDAM_DAMWAND_HOUT","*","_","**","_","GK","_","KISTDAM","_","DAMWAND","_","HOUT","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KISTDAM_DAMWAND_HOUT","0.18","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","332","330","http://digitalbuildingdata.tech/nlcs/def/8306f1a4-7c31-422b-bbdd-8f9cfe768fa9","http://digitalbuildingdata.tech/nlcs/def/132eedd6-787b-453e-bc32-a6577a47c9ba"
"KADEMUUR_WANDCONSTRUCTIE_VERANKERD","*","_","**","_","GK","_","KADEMUUR","_","WANDCONSTRUCTIE","_","VERANKERD","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KADEMUUR_WANDCONSTRUCTIE_VERANKERD","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","V-CONTINUOUS-SO","0.35","150","152","150","150","253","CONTINUOUS","","","300","298","http://digitalbuildingdata.tech/nlcs/def/c1713626-f4cc-4b86-ae34-13211b9d6fc5","http://digitalbuildingdata.tech/nlcs/def/8fa25175-abbb-421b-a952-cc5398081925"
"KADEMUUR_GEWICHTSCONSTRUCTIE_CAISSONWAND","*","_","**","_","GK","_","KADEMUUR","_","GEWICHTSCONSTRUCTIE","_","CAISSONWAND","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KADEMUUR_GEWICHTSCONSTRUCTIE_CAISSONWAND","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","V-CONTINUOUS-SO","0.35","150","152","150","150","253","CONTINUOUS","","","295","292","http://digitalbuildingdata.tech/nlcs/def/03aee9d6-6b27-4fc0-b58c-79e1dc8062a4","http://digitalbuildingdata.tech/nlcs/def/52cd86dd-e23b-4447-892b-dce2bd5cf343"
"BESCHOEIING_HOUT_PERKOENPALENRIJ","*","_","**","_","GK","_","BESCHOEIING","_","HOUT","_","PERKOENPALENRIJ","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_BESCHOEIING_HOUT_PERKOENPALENRIJ","0.18","130","132","130","130","253","GK-PERKOEN-SO","0.35","130","132","130","130","253","GK-PERKOEN-SO","0.35","130","132","130","130","253","V-GK-PERKOEN-SO","0.35","130","132","130","130","253","GK-PERKOEN-SO","","","347","345","http://digitalbuildingdata.tech/nlcs/def/dcd78fb2-67d3-4937-a77f-200d4ac867de","http://digitalbuildingdata.tech/nlcs/def/52de9032-3af3-48f3-a7e6-fbcb7ba12125"
"BOUWKUIP_DAMWAND_HOUT","*","_","**","_","GK","_","BOUWKUIP","_","DAMWAND","_","HOUT","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_BOUWKUIP_DAMWAND_HOUT","0.18","210","212","210","210","253","CONTINUOUS","0.35","210","212","210","210","253","CONTINUOUS","0.35","210","212","210","210","253","V-CONTINUOUS-SO","0.35","210","212","210","210","253","CONTINUOUS","","","310","308","http://digitalbuildingdata.tech/nlcs/def/a643d3c7-c63d-45a0-8fa3-7556772890da","http://digitalbuildingdata.tech/nlcs/def/a24cbba6-bee5-4681-b388-e33c493062f1"
"BESCHOEIING_DAMWAND_STAAL","*","_","**","_","GK","_","BESCHOEIING","_","DAMWAND","_","STAAL","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_BESCHOEIING_DAMWAND_STAAL","0.18","130","132","130","130","253","GK-BESCHOEIING-SO","0.35","130","132","130","130","253","GK-BESCHOEIING-SO","0.35","130","132","130","130","253","V-GK-BESCHOEIING-SO","0.35","130","132","130","130","253","GK-BESCHOEIING-SO","","","341","340","http://digitalbuildingdata.tech/nlcs/def/11e0bd81-eb3c-49df-a2f9-f0adb57ac28a","http://digitalbuildingdata.tech/nlcs/def/16751b43-167f-47e0-a535-2aaf635740a9"
"KISTDAM_DAMWAND_KUNSTSTOF","*","_","**","_","GK","_","KISTDAM","_","DAMWAND","_","KUNSTSTOF","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KISTDAM_DAMWAND_KUNSTSTOF","0.18","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","334","330","http://digitalbuildingdata.tech/nlcs/def/335265d3-8cf8-4709-b8d6-c0748619083b","http://digitalbuildingdata.tech/nlcs/def/132eedd6-787b-453e-bc32-a6577a47c9ba"
"BESCHOEIING_HOUT_SCHOT","*","_","**","_","GK","_","BESCHOEIING","_","HOUT","_","SCHOT","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_BESCHOEIING_HOUT_SCHOT","0.18","130","132","130","130","253","GK-BESCHOEIING-SO","0.35","130","132","130","130","253","GK-BESCHOEIING-SO","0.35","130","132","130","130","253","V-GK-BESCHOEIING-SO","0.35","130","132","130","130","253","GK-BESCHOEIING-SO","","","346","345","http://digitalbuildingdata.tech/nlcs/def/5b88f50f-6164-4e0d-9936-68cd3e6c7b29","http://digitalbuildingdata.tech/nlcs/def/52de9032-3af3-48f3-a7e6-fbcb7ba12125"
"KADEMUUR_WANDCONSTRUCTIE_ONVERANKERD","*","_","**","_","GK","_","KADEMUUR","_","WANDCONSTRUCTIE","_","ONVERANKERD","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KADEMUUR_WANDCONSTRUCTIE_ONVERANKERD","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","V-CONTINUOUS-SO","0.35","150","152","150","150","253","CONTINUOUS","","","299","298","http://digitalbuildingdata.tech/nlcs/def/d2a24508-f28b-42b7-813e-ea383e3e8715","http://digitalbuildingdata.tech/nlcs/def/8fa25175-abbb-421b-a952-cc5398081925"
"KADEMUUR_OVERBOUWD TALUD_MET KERENDE WAND","*","_","**","_","GK","_","KADEMUUR","_","OVERBOUWD TALUD","_","MET KERENDE WAND","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KADEMUUR_OVERBOUWD TALUD_MET KERENDE WAND","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","V-CONTINUOUS-SO","0.35","150","152","150","150","253","CONTINUOUS","","","306","304","http://digitalbuildingdata.tech/nlcs/def/971ef62d-a3a1-42ec-815f-cba6655db63e","http://digitalbuildingdata.tech/nlcs/def/1d5d0a74-7a80-4dec-a5ab-e5f4119a1947"
"BESCHOEIING_DAMWAND_HOUT","*","_","**","_","GK","_","BESCHOEIING","_","DAMWAND","_","HOUT","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_BESCHOEIING_DAMWAND_HOUT","0.18","130","132","130","130","253","GK-BESCHOEIING-SO","0.35","130","132","130","130","253","GK-BESCHOEIING-SO","0.35","130","132","130","130","253","V-GK-BESCHOEIING-SO","0.35","130","132","130","130","253","GK-BESCHOEIING-SO","","","342","340","http://digitalbuildingdata.tech/nlcs/def/7c069d68-40d1-45b7-aafd-33703358f166","http://digitalbuildingdata.tech/nlcs/def/16751b43-167f-47e0-a535-2aaf635740a9"
"BOUWKUIP_DAMWAND_STAAL","*","_","**","_","GK","_","BOUWKUIP","_","DAMWAND","_","STAAL","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_BOUWKUIP_DAMWAND_STAAL","0.18","210","212","210","210","253","CONTINUOUS","0.35","210","212","210","210","253","CONTINUOUS","0.35","210","212","210","210","253","V-CONTINUOUS-SO","0.35","210","212","210","210","253","CONTINUOUS","","","309","308","http://digitalbuildingdata.tech/nlcs/def/6eb39d73-d1e3-4407-81da-17eff2f36280","http://digitalbuildingdata.tech/nlcs/def/a24cbba6-bee5-4681-b388-e33c493062f1"
"KEERWAND_DAMWAND_KUNSTSTOF","*","_","**","_","GK","_","KEERWAND","_","DAMWAND","_","KUNSTSTOF","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KEERWAND_DAMWAND_KUNSTSTOF","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","320","316","http://digitalbuildingdata.tech/nlcs/def/89b47056-c394-4c6b-b649-b5e5ea2287bc","http://digitalbuildingdata.tech/nlcs/def/c4265bc5-16c7-4201-9da7-811919a367c9"
"KEERWAND_DAMWAND_HOUT","*","_","**","_","GK","_","KEERWAND","_","DAMWAND","_","HOUT","_","","_","","_","","'-","","'-","G","'-","","","*_**_GK_KEERWAND_DAMWAND_HOUT","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","318","316","http://digitalbuildingdata.tech/nlcs/def/1c2d96e3-523e-4adc-a5df-961b2a93c267","http://digitalbuildingdata.tech/nlcs/def/c4265bc5-16c7-4201-9da7-811919a367c9"
