"omschrijving","status","underscore","discipline","underscore2","hoofdgroep","underscore3","object","underscore4","subobject01","underscore5","subobject02","underscore6","subobject03","underscore7","subobject04","underscore8","subobject05","streepje","bewerking","streepje3","element","streepje2","aobject","sobject","laagnaam","lw_b","kl_b","kl_b_a","kl_b_gd","kl_b_gn","kl_b_v","lt_b","lw_n","kl_n","kl_n_a","kl_n_gd","kl_n_gn","kl_n_v","lt_n","lw_v","kl_v","kl_v_a","kl_v_gd","kl_v_gn","kl_v_v","lt_v","lw_t","kl_t","kl_t_a","kl_t_gd","kl_t_gn","kl_t_v","lt_t","vrkl_kort","vrkl_lang","id_nummer","kind_van","objectURI","kind_vanURI"
"BEPLANTING_CULTUUR_WATERPLANT","*","_","**","_","GR","_","BEPLANTING","_","CULTUUR","_","WATERPLANT","_","","_","","_","","'-","","'-","G/A/S","'-","AGR-WATERPLANTEN","SGR-WATERPLANTEN","*_**_GR_BEPLANTING_CULTUUR_WATERPLANT","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","2892","2886","http://digitalbuildingdata.tech/nlcs/def/ca227598-9351-4a3c-8af4-45e29521881c","http://digitalbuildingdata.tech/nlcs/def/c835d8ea-decb-46bc-9997-2e7babfd861c"
"BEPLANTING_CULTUUR_WISSELPERK","*","_","**","_","GR","_","BEPLANTING","_","CULTUUR","_","WISSELPERK","_","","_","","_","","'-","","'-","G/A/S","'-","AGR-WISSELBEPLANTING","SGR-WISSELBEPLANTING","*_**_GR_BEPLANTING_CULTUUR_WISSELPERK","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","2894","2886","http://digitalbuildingdata.tech/nlcs/def/b193d114-3ee6-4567-a0f5-26627ffb43c9","http://digitalbuildingdata.tech/nlcs/def/c835d8ea-decb-46bc-9997-2e7babfd861c"
"BEPLANTING_CULTUUR_VASTE PLANTENVAK","*","_","**","_","GR","_","BEPLANTING","_","CULTUUR","_","VASTE PLANTENVAK","_","","_","","_","","'-","","'-","G/S/A","'-","AGR-VASTEPLANTEN","SGR-VASTEPLANTEN","*_**_GR_BEPLANTING_CULTUUR_VASTE PLANTENVAK","0.18","90","92","90","90","file:///140,168,0","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","2893","2886","http://digitalbuildingdata.tech/nlcs/def/62701e5e-a6da-457e-9437-22b5c29fcec3","http://digitalbuildingdata.tech/nlcs/def/c835d8ea-decb-46bc-9997-2e7babfd861c"
"BEPLANTING_CULTUUR","*","_","**","_","GR","_","BEPLANTING","_","CULTUUR","_","","_","","_","","_","","'-","","'-","G/A/S","'-","AGR-BEPLANTING","SGR-BEPLANTING","*_**_GR_BEPLANTING_CULTUUR","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","2886","2885","http://digitalbuildingdata.tech/nlcs/def/c835d8ea-decb-46bc-9997-2e7babfd861c","http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a"
"BEPLANTING_NATUUR","*","_","**","_","GR","_","BEPLANTING","_","NATUUR","_","","_","","_","","_","","'-","","'-","G/A/S","'-","AGR-BEPLANTING","SGR-BEPLANTING","*_**_GR_BEPLANTING_NATUUR","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","2896","2885","http://digitalbuildingdata.tech/nlcs/def/d2277e4e-0bc3-4636-b443-4a742dcdcc31","http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a"
"FRUITTEELT_BOOMGAARD_WIJN","*","_","**","_","GR","_","FRUITTEELT","_","BOOMGAARD","_","WIJN","_","","_","","_","","'-","","'-","G","'-","","","*_**_GR_FRUITTEELT_BOOMGAARD_WIJN","0.13","210","212","210","210","253","CONTINUOUS","0.35","210","212","210","210","253","CONTINUOUS","0.35","210","212","210","210","253","V-CONTINUOUS-SO","0.35","210","212","210","210","253","CONTINUOUS","","","3374","3371","http://digitalbuildingdata.tech/nlcs/def/29107171-68c6-4362-8555-aaa910232274","http://digitalbuildingdata.tech/nlcs/def/524d3d32-f00d-4414-ba52-42cba88b3f94"
"FRUITTEELT_BOOMGAARD_LAAGSTAM","*","_","**","_","GR","_","FRUITTEELT","_","BOOMGAARD","_","LAAGSTAM","_","","_","","_","","'-","","'-","G","'-","","","*_**_GR_FRUITTEELT_BOOMGAARD_LAAGSTAM","0.13","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","3372","3371","http://digitalbuildingdata.tech/nlcs/def/f556facd-21ad-4d18-9ccb-7d4fd48030b2","http://digitalbuildingdata.tech/nlcs/def/524d3d32-f00d-4414-ba52-42cba88b3f94"
"BEPLANTING_NATUUR_BOS","*","_","**","_","GR","_","BEPLANTING","_","NATUUR","_","BOS","_","","_","","_","","'-","","'-","G","'-","","","*_**_GR_BEPLANTING_NATUUR_BOS","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","2898","2896","http://digitalbuildingdata.tech/nlcs/def/6101ce5d-16a9-4b71-8550-20b6e6643561","http://digitalbuildingdata.tech/nlcs/def/d2277e4e-0bc3-4636-b443-4a742dcdcc31"
"BEPLANTING_CULTUUR_BOTANISCHE ROOS","*","_","**","_","GR","_","BEPLANTING","_","CULTUUR","_","BOTANISCHE ROOS","_","","_","","_","","'-","","'-","G","'-","","","*_**_GR_BEPLANTING_CULTUUR_BOTANISCHE ROOS","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","2895","2886","http://digitalbuildingdata.tech/nlcs/def/484bdb71-60f1-462a-b0ea-3096118abb8a","http://digitalbuildingdata.tech/nlcs/def/c835d8ea-decb-46bc-9997-2e7babfd861c"
"BEPLANTING_CULTUUR_EENJARIGEPLANT","*","_","**","_","GR","_","BEPLANTING","_","CULTUUR","_","EENJARIGEPLANT","_","","_","","_","","'-","","'-","G","'-","","","*_**_GR_BEPLANTING_CULTUUR_EENJARIGEPLANT","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","2891","2886","http://digitalbuildingdata.tech/nlcs/def/a59d6ef4-555c-45ac-ba03-c0d9fb6bf9b9","http://digitalbuildingdata.tech/nlcs/def/c835d8ea-decb-46bc-9997-2e7babfd861c"
