"omschrijving","status","underscore","discipline","underscore2","hoofdgroep","underscore3","object","underscore4","subobject01","underscore5","subobject02","underscore6","subobject03","underscore7","subobject04","underscore8","subobject05","streepje","bewerking","streepje3","element","streepje2","aobject","sobject","laagnaam","lw_b","kl_b","kl_b_a","kl_b_gd","kl_b_gn","kl_b_v","lt_b","lw_n","kl_n","kl_n_a","kl_n_gd","kl_n_gn","kl_n_v","lt_n","lw_v","kl_v","kl_v_a","kl_v_gd","kl_v_gn","kl_v_v","lt_v","lw_t","kl_t","kl_t_a","kl_t_gd","kl_t_gn","kl_t_v","lt_t","vrkl_kort","vrkl_lang","id_nummer","kind_van","objectURI","kind_vanURI"
"GAS_LD_HOOFDLEIDING_100 MBAR_PE_315","*","_","**","_","KL","_","GAS","_","LD","_","HOOFDLEIDING","_","100 MBAR","_","PE","_","315","'-","","'-","G","'-","","","*_**_KL_GAS_LD_HOOFDLEIDING_100 MBAR_PE_315","0.18","50","52","50","50","252","KL-GAS_LD-SO","0.35","50","52","50","50","252","KL-GAS_LD-SO","0.35","50","52","50","50","252","V-KL-GAS_LD-SO","0.35","50","52","50","50","252","KL-GAS_LD-SO","","","1149","1145","http://digitalbuildingdata.tech/nlcs/def/772b8c88-18c3-40f0-ab25-7439795d86d8","http://digitalbuildingdata.tech/nlcs/def/bff4b5a9-a6c2-4d1e-bf8e-d9ead98ad5b7"
"GAS_LD_AANSLUITLEIDING_30 MBAR_PE_25","*","_","**","_","KL","_","GAS","_","LD","_","AANSLUITLEIDING","_","30 MBAR","_","PE","_","25","'-","","'-","G","'-","","","*_**_KL_GAS_LD_AANSLUITLEIDING_30 MBAR_PE_25","0.18","50","52","50","50","252","KL-GAS_LD-SO","0.35","50","52","50","50","252","KL-GAS_LD-SO","0.35","50","52","50","50","252","V-KL-GAS_LD-SO","0.35","50","52","50","50","252","KL-GAS_LD-SO","","","1131","1130","http://digitalbuildingdata.tech/nlcs/def/294fbff1-734e-4cc3-8902-b6d1c0b80d4b","http://digitalbuildingdata.tech/nlcs/def/0e28a3fc-fe67-4b4c-a92b-480608e1b38e"
"GAS_HD_HOOFDLEIDING_4 BAR_PE_160","*","_","**","_","KL","_","GAS","_","HD","_","HOOFDLEIDING","_","4 BAR","_","PE","_","160","'-","","'-","G","'-","","","*_**_KL_GAS_HD_HOOFDLEIDING_4 BAR_PE_160","0.18","30","32","30","30","252","KL-GAS_HD-SO","0.35","30","32","30","30","252","KL-GAS_HD-SO","0.35","30","32","30","30","252","V-KL-GAS_HD-SO","0.35","30","32","30","30","252","KL-GAS_HD-SO","","","1073","1071","http://digitalbuildingdata.tech/nlcs/def/2c801cf3-9b7c-446c-9f68-b9866a94a897","http://digitalbuildingdata.tech/nlcs/def/bc271d8f-62bb-4c3f-b0dd-d5d94c11890a"
"GAS_HD_AANSLUITLEIDING_8 BAR_PE_50","*","_","**","_","KL","_","GAS","_","HD","_","AANSLUITLEIDING","_","8 BAR","_","PE","_","50","'-","","'-","G","'-","","","*_**_KL_GAS_HD_AANSLUITLEIDING_8 BAR_PE_50","0.18","30","32","30","30","252","KL-GAS_HD-SO","0.35","30","32","30","30","252","KL-GAS_HD-SO","0.35","30","32","30","30","252","V-KL-GAS_HD-SO","0.35","30","32","30","30","252","KL-GAS_HD-SO","","","1042","1038","http://digitalbuildingdata.tech/nlcs/def/4f9a7a72-df43-4322-94ec-8386f0706d0a","http://digitalbuildingdata.tech/nlcs/def/69f9c6ee-abd8-4069-878f-fca88a2f67c7"
"GAS_HD_HOOFDLEIDING_8 BAR_PVC_110","*","_","**","_","KL","_","GAS","_","HD","_","HOOFDLEIDING","_","8 BAR","_","PVC","_","110","'-","","'-","G","'-","","","*_**_KL_GAS_HD_HOOFDLEIDING_8 BAR_PVC_110","0.18","30","32","30","30","252","KL-GAS_HD-SO","0.35","30","32","30","30","252","KL-GAS_HD-SO","0.35","30","32","30","30","252","V-KL-GAS_HD-SO","0.35","30","32","30","30","252","KL-GAS_HD-SO","","","1096","1095","http://digitalbuildingdata.tech/nlcs/def/9f870240-effe-4d64-861d-2298bdf8d0db","http://digitalbuildingdata.tech/nlcs/def/4b71ec60-6426-447c-b42f-c5402547ada2"
"GAS_HD_AANSLUITLEIDING_1 BAR_PE_32","*","_","**","_","KL","_","GAS","_","HD","_","AANSLUITLEIDING","_","1 BAR","_","PE","_","32","'-","","'-","G","'-","","","*_**_KL_GAS_HD_AANSLUITLEIDING_1 BAR_PE_32","0.18","30","32","30","30","252","KL-GAS_HD-SO","0.35","30","32","30","30","252","KL-GAS_HD-SO","0.35","30","32","30","30","252","V-KL-GAS_HD-SO","0.35","30","32","30","30","252","KL-GAS_HD-SO","","","1004","1002","http://digitalbuildingdata.tech/nlcs/def/a7dbc993-f257-4263-96ad-f797029f2f7a","http://digitalbuildingdata.tech/nlcs/def/af3e73c6-b9b9-4857-8605-ae2a38190b17"
"GAS_LD_HOOFDLEIDING_30 MBAR_PVC_315","*","_","**","_","KL","_","GAS","_","LD","_","HOOFDLEIDING","_","30 MBAR","_","PVC","_","315","'-","","'-","G","'-","","","*_**_KL_GAS_LD_HOOFDLEIDING_30 MBAR_PVC_315","0.18","50","52","50","50","252","KL-GAS_LD-SO","0.35","50","52","50","50","252","KL-GAS_LD-SO","0.35","50","52","50","50","252","V-KL-GAS_LD-SO","0.35","50","52","50","50","252","KL-GAS_LD-SO","","","1171","1167","http://digitalbuildingdata.tech/nlcs/def/a01722bd-e7ed-4920-a2d2-984769b2d9c0","http://digitalbuildingdata.tech/nlcs/def/f382e6b3-6f0c-41d9-b095-78ad09475c03"
"ET_LS_SR_ARMATUUR_NADERINGSLICHT_OPBOUW","*","_","**","_","KL","_","ET","_","LS","_","SR","_","ARMATUUR","_","NADERINGSLICHT","_","OPBOUW","'-","","'-","G","'-","","","*_**_KL_ET_LS_SR_ARMATUUR_NADERINGSLICHT_OPBOUW","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","190","CONTINUOUS","0.35","190","192","190","190","190","V-CONTINUOUS-SO","0.35","190","192","190","190","190","CONTINUOUS","","","932","930","http://digitalbuildingdata.tech/nlcs/def/cd7a98a4-8bad-4a63-9ec1-b9e91acbc4fb","http://digitalbuildingdata.tech/nlcs/def/6bfefd9c-3f9e-4a59-81b3-8f9b173bd6e0"
"GAS_HD_AANSLUITLEIDING_8 BAR_PVC_32","*","_","**","_","KL","_","GAS","_","HD","_","AANSLUITLEIDING","_","8 BAR","_","PVC","_","32","'-","","'-","G","'-","","","*_**_KL_GAS_HD_AANSLUITLEIDING_8 BAR_PVC_32","0.18","30","32","30","30","252","KL-GAS_HD-SO","0.35","30","32","30","30","252","KL-GAS_HD-SO","0.35","30","32","30","30","252","V-KL-GAS_HD-SO","0.35","30","32","30","30","252","KL-GAS_HD-SO","","","1048","1046","http://digitalbuildingdata.tech/nlcs/def/32b31653-8a79-42b6-84f7-ebc59ba5239e","http://digitalbuildingdata.tech/nlcs/def/919a6f20-7e07-4638-849f-e12f56d263e5"
"GAS_HD_AANSLUITLEIDING_1 BAR_PE_90","*","_","**","_","KL","_","GAS","_","HD","_","AANSLUITLEIDING","_","1 BAR","_","PE","_","90","'-","","'-","G","'-","","","*_**_KL_GAS_HD_AANSLUITLEIDING_1 BAR_PE_90","0.18","30","32","30","30","252","KL-GAS_HD-SO","0.35","30","32","30","30","252","KL-GAS_HD-SO","0.35","30","32","30","30","252","V-KL-GAS_HD-SO","0.35","30","32","30","30","252","KL-GAS_HD-SO","","","1009","1002","http://digitalbuildingdata.tech/nlcs/def/bf454183-24d9-4cf5-aaf3-f151cafb1808","http://digitalbuildingdata.tech/nlcs/def/af3e73c6-b9b9-4857-8605-ae2a38190b17"
"GAS_HD_AANSLUITLEIDING_8 BAR_PE_90","*","_","**","_","KL","_","GAS","_","HD","_","AANSLUITLEIDING","_","8 BAR","_","PE","_","90","'-","","'-","G","'-","","","*_**_KL_GAS_HD_AANSLUITLEIDING_8 BAR_PE_90","0.18","30","32","30","30","252","KL-GAS_HD-SO","0.35","30","32","30","30","252","KL-GAS_HD-SO","0.35","30","32","30","30","252","V-KL-GAS_HD-SO","0.35","30","32","30","30","252","KL-GAS_HD-SO","","","1045","1038","http://digitalbuildingdata.tech/nlcs/def/9dfdc6e1-ec79-4ca8-a6ce-10d631b7c438","http://digitalbuildingdata.tech/nlcs/def/69f9c6ee-abd8-4069-878f-fca88a2f67c7"
"GAS_LD_HOOFDLEIDING_100 MBAR_PE_110","*","_","**","_","KL","_","GAS","_","LD","_","HOOFDLEIDING","_","100 MBAR","_","PE","_","110","'-","","'-","G","'-","","","*_**_KL_GAS_LD_HOOFDLEIDING_100 MBAR_PE_110","0.18","50","52","50","50","252","KL-GAS_LD-SO","0.35","50","52","50","50","252","KL-GAS_LD-SO","0.35","50","52","50","50","252","V-KL-GAS_LD-SO","0.35","50","52","50","50","252","KL-GAS_LD-SO","","","1146","1145","http://digitalbuildingdata.tech/nlcs/def/64eb8bc5-15d3-419c-a898-b1e41b0e3dd6","http://digitalbuildingdata.tech/nlcs/def/bff4b5a9-a6c2-4d1e-bf8e-d9ead98ad5b7"
"GAS_HD_AANSLUITLEIDING_1 BAR_PVC_90","*","_","**","_","KL","_","GAS","_","HD","_","AANSLUITLEIDING","_","1 BAR","_","PVC","_","90","'-","","'-","G","'-","","","*_**_KL_GAS_HD_AANSLUITLEIDING_1 BAR_PVC_90","0.18","30","32","30","30","252","KL-GAS_HD-SO","0.35","30","32","30","30","252","KL-GAS_HD-SO","0.35","30","32","30","30","252","V-KL-GAS_HD-SO","0.35","30","32","30","30","252","KL-GAS_HD-SO","","","1017","1010","http://digitalbuildingdata.tech/nlcs/def/74f02b20-090f-425a-b02d-30b5df2d8968","http://digitalbuildingdata.tech/nlcs/def/6db63e5b-9507-4468-8688-248250ed01f7"
"GAS_LD_HOOFDLEIDING_100 MBAR_PE_160","*","_","**","_","KL","_","GAS","_","LD","_","HOOFDLEIDING","_","100 MBAR","_","PE","_","160","'-","","'-","G","'-","","","*_**_KL_GAS_LD_HOOFDLEIDING_100 MBAR_PE_160","0.18","50","52","50","50","252","KL-GAS_LD-SO","0.35","50","52","50","50","252","KL-GAS_LD-SO","0.35","50","52","50","50","252","V-KL-GAS_LD-SO","0.35","50","52","50","50","252","KL-GAS_LD-SO","","","1147","1145","http://digitalbuildingdata.tech/nlcs/def/4da19ca6-cdd4-4582-85cd-e37274f10f10","http://digitalbuildingdata.tech/nlcs/def/bff4b5a9-a6c2-4d1e-bf8e-d9ead98ad5b7"
