"omschrijving","status","underscore","discipline","underscore2","hoofdgroep","underscore3","object","underscore4","subobject01","underscore5","subobject02","underscore6","subobject03","underscore7","subobject04","underscore8","subobject05","streepje","bewerking","streepje3","element","streepje2","aobject","sobject","laagnaam","lw_b","kl_b","kl_b_a","kl_b_gd","kl_b_gn","kl_b_v","lt_b","lw_n","kl_n","kl_n_a","kl_n_gd","kl_n_gn","kl_n_v","lt_n","lw_v","kl_v","kl_v_a","kl_v_gd","kl_v_gn","kl_v_v","lt_v","lw_t","kl_t","kl_t_a","kl_t_gd","kl_t_gn","kl_t_v","lt_t","vrkl_kort","vrkl_lang","id_nummer","kind_van","objectURI","kind_vanURI"
"GWA_TRANSPORTLEIDING_BETON_EI_300X450","*","_","**","_","RI","_","GWA","_","TRANSPORTLEIDING","_","BETON","_","EI","_","300X450","_","","'-","","'-","G","'-","","","*_**_RI_GWA_TRANSPORTLEIDING_BETON_EI_300X450","0.18","30","32","30","30","253","RI-GWA-SO","0.35","30","32","30","30","253","RI-GWA-SO","0.35","30","32","30","30","253","V-RI-GWA-SO","0.35","30","32","30","30","253","RI-GWA-SO","","","1749","1745","http://digitalbuildingdata.tech/nlcs/def/400e39b8-62b4-458a-8f8d-26f4b56006ed","http://digitalbuildingdata.tech/nlcs/def/b0c91813-8f81-4802-be54-bba38b76ea63"
"GWA_TRANSPORTLEIDING_BETON_EI_1000X1500","*","_","**","_","RI","_","GWA","_","TRANSPORTLEIDING","_","BETON","_","EI","_","1000X1500","_","","'-","","'-","G","'-","","","*_**_RI_GWA_TRANSPORTLEIDING_BETON_EI_1000X1500","0.18","30","32","30","30","253","RI-GWA-SO","0.35","30","32","30","30","253","RI-GWA-SO","0.35","30","32","30","30","253","V-RI-GWA-SO","0.35","30","32","30","30","253","RI-GWA-SO","","","1746","1745","http://digitalbuildingdata.tech/nlcs/def/8688ed3d-c711-4346-9055-71cf24e2b3a2","http://digitalbuildingdata.tech/nlcs/def/b0c91813-8f81-4802-be54-bba38b76ea63"
"DWA_RIOOLLEIDING_BETON_EI_250X375","*","_","**","_","RI","_","DWA","_","RIOOLLEIDING","_","BETON","_","EI","_","250X375","_","","'-","","'-","G","'-","","","*_**_RI_DWA_RIOOLLEIDING_BETON_EI_250X375","0.18","20","22","20","20","253","RI-DWA-SO","0.35","20","22","20","20","253","RI-DWA-SO","0.35","20","22","20","20","253","V-RI-DWA-SO","0.35","20","22","20","20","253","RI-DWA-SO","","","3961","3958","http://digitalbuildingdata.tech/nlcs/def/8f04a54c-48cb-4577-bc0f-80b4f4166138","http://digitalbuildingdata.tech/nlcs/def/419180bb-c6d9-48c7-8957-9ba7383f85d1"
"HWA_RIOOLLEIDING_BETON_EI_400X600","*","_","**","_","RI","_","HWA","_","RIOOLLEIDING","_","BETON","_","EI","_","400X600","_","","'-","","'-","G","'-","","","*_**_RI_HWA_RIOOLLEIDING_BETON_EI_400X600","0.18","150","152","150","150","253","RI-HWA-SO","0.35","150","152","150","150","253","RI-HWA-SO","0.35","150","152","150","150","253","V-RI-HWA-SO","0.35","150","152","150","150","253","RI-HWA-SO","","","3729","3724","http://digitalbuildingdata.tech/nlcs/def/52922477-c40e-495d-b1ad-676dc80c2dbf","http://digitalbuildingdata.tech/nlcs/def/aed8034d-f921-4c79-8687-3b4b24d2fae9"
"HWA_RIOOLLEIDING_BETON_EI_800X1200","*","_","**","_","RI","_","HWA","_","RIOOLLEIDING","_","BETON","_","EI","_","800X1200","_","","'-","","'-","G","'-","","","*_**_RI_HWA_RIOOLLEIDING_BETON_EI_800X1200","0.18","150","152","150","150","253","RI-HWA-SO","0.35","150","152","150","150","253","RI-HWA-SO","0.35","150","152","150","150","253","V-RI-HWA-SO","0.35","150","152","150","150","253","RI-HWA-SO","","","3733","3724","http://digitalbuildingdata.tech/nlcs/def/7f4a03e0-f791-4821-810b-d3be459003c4","http://digitalbuildingdata.tech/nlcs/def/aed8034d-f921-4c79-8687-3b4b24d2fae9"
"HWA_TRANSPORTLEIDING_BETON_EI_900X1350","*","_","**","_","RI","_","HWA","_","TRANSPORTLEIDING","_","BETON","_","EI","_","900X1350","_","","'-","","'-","G","'-","","","*_**_RI_HWA_TRANSPORTLEIDING_BETON_EI_900X1350","0.18","150","152","150","150","253","RI-HWA-SO","0.35","150","152","150","150","253","RI-HWA-SO","0.35","150","152","150","150","253","V-RI-HWA-SO","0.35","150","152","150","150","253","RI-HWA-SO","","","1884","1874","http://digitalbuildingdata.tech/nlcs/def/9a6e024f-1069-48ab-be12-c789428f5abc","http://digitalbuildingdata.tech/nlcs/def/85095ba0-d09c-4a03-b21e-438b36683523"
"DWA_RIOOLLEIDING_BETON_EI_1000X1500","*","_","**","_","RI","_","DWA","_","RIOOLLEIDING","_","BETON","_","EI","_","1000X1500","_","","'-","","'-","G","'-","","","*_**_RI_DWA_RIOOLLEIDING_BETON_EI_1000X1500","0.18","20","22","20","20","253","RI-DWA-SO","0.35","20","22","20","20","253","RI-DWA-SO","0.35","20","22","20","20","253","V-RI-DWA-SO","0.35","20","22","20","20","253","RI-DWA-SO","","","3959","3958","http://digitalbuildingdata.tech/nlcs/def/41cca3ca-b8d3-4abf-acd6-35935149be85","http://digitalbuildingdata.tech/nlcs/def/419180bb-c6d9-48c7-8957-9ba7383f85d1"
"HWA_RIOOLLEIDING_BETON_EI_500X750","*","_","**","_","RI","_","HWA","_","RIOOLLEIDING","_","BETON","_","EI","_","500X750","_","","'-","","'-","G","'-","","","*_**_RI_HWA_RIOOLLEIDING_BETON_EI_500X750","0.18","150","152","150","150","253","RI-HWA-SO","0.35","150","152","150","150","253","RI-HWA-SO","0.35","150","152","150","150","253","V-RI-HWA-SO","0.35","150","152","150","150","253","RI-HWA-SO","","","3730","3724","http://digitalbuildingdata.tech/nlcs/def/8e2468a7-0f5f-427c-b096-2e59f6f9a660","http://digitalbuildingdata.tech/nlcs/def/aed8034d-f921-4c79-8687-3b4b24d2fae9"
"DWA_RIOOLLEIDING_BETON_EI_800X1200","*","_","**","_","RI","_","DWA","_","RIOOLLEIDING","_","BETON","_","EI","_","800X1200","_","","'-","","'-","G","'-","","","*_**_RI_DWA_RIOOLLEIDING_BETON_EI_800X1200","0.18","20","22","20","20","253","RI-DWA-SO","0.35","20","22","20","20","253","RI-DWA-SO","0.35","20","22","20","20","253","V-RI-DWA-SO","0.35","20","22","20","20","253","RI-DWA-SO","","","3967","3958","http://digitalbuildingdata.tech/nlcs/def/9db57592-4f19-40d1-a519-6a6c6be20297","http://digitalbuildingdata.tech/nlcs/def/419180bb-c6d9-48c7-8957-9ba7383f85d1"
"DWA_TRANSPORTLEIDING_BETON_EI_900X1350","*","_","**","_","RI","_","DWA","_","TRANSPORTLEIDING","_","BETON","_","EI","_","900X1350","_","","'-","","'-","G","'-","","","*_**_RI_DWA_TRANSPORTLEIDING_BETON_EI_900X1350","0.18","20","22","20","20","253","RI-DWA-SO","0.35","20","22","20","20","253","RI-DWA-SO","0.35","20","22","20","20","253","V-RI-DWA-SO","0.35","20","22","20","20","253","RI-DWA-SO","","","2310","2300","http://digitalbuildingdata.tech/nlcs/def/f30b909c-301d-4571-9a8d-bf5e479b28df","http://digitalbuildingdata.tech/nlcs/def/191b2536-d2f2-4468-9696-459076108e2e"
