"omschrijving","status","underscore","discipline","underscore2","hoofdgroep","underscore3","object","underscore4","subobject01","underscore5","subobject02","underscore6","subobject03","underscore7","subobject04","underscore8","subobject05","streepje","bewerking","streepje3","element","streepje2","aobject","sobject","laagnaam","lw_b","kl_b","kl_b_a","kl_b_gd","kl_b_gn","kl_b_v","lt_b","lw_n","kl_n","kl_n_a","kl_n_gd","kl_n_gn","kl_n_v","lt_n","lw_v","kl_v","kl_v_a","kl_v_gd","kl_v_gn","kl_v_v","lt_v","lw_t","kl_t","kl_t_a","kl_t_gd","kl_t_gn","kl_t_v","lt_t","vrkl_kort","vrkl_lang","id_nummer","kind_van","objectURI","kind_vanURI"
"MARKERING_BETONNING","*","_","**","_","VV","_","MARKERING","_","BETONNING","_","","_","","_","","_","","'-","","'-","G/S","'-","","SVV-BETONNING","*_**_VV_MARKERING_BETONNING","0.18","170","172","170","170","253","CONTINUOUS","0.35","170","172","170","170","253","CONTINUOUS","0.35","170","172","170","170","253","V-CONTINUOUS-SO","0.35","170","172","170","170","253","CONTINUOUS","","","4085","2540","http://digitalbuildingdata.tech/nlcs/def/6d7cace9-79a8-472d-b888-9e0f60894d21","http://digitalbuildingdata.tech/nlcs/def/f49d54d3-957c-4b06-b8df-0005d2cceeb8"
"VAARGEBIED_SNEL","*","_","**","_","VV","_","VAARGEBIED","_","SNEL","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_VV_VAARGEBIED_SNEL","0.18","10","12","10","10","253","CONTINUOUS","0.35","10","12","10","10","253","CONTINUOUS","0.35","10","12","10","10","253","V-CONTINUOUS-SO","0.35","10","12","10","10","253","CONTINUOUS","","","2552","2551","http://digitalbuildingdata.tech/nlcs/def/164c3f81-801b-4772-8155-338802026769","http://digitalbuildingdata.tech/nlcs/def/bb2c3b45-91e7-44d9-9107-1e83efe98311"
"DOORVAART_HOOGTE","*","_","**","_","VV","_","DOORVAART","_","HOOGTE","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_VV_DOORVAART_HOOGTE","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","2550","2548","http://digitalbuildingdata.tech/nlcs/def/b82b329a-2eef-4027-ae7f-7eb5fd6b3cf2","http://digitalbuildingdata.tech/nlcs/def/e504d2cf-8aa2-4dfe-afef-a045f8d456c3"
"LIGPLAATS_GEVAARLIJKE LADING","*","_","**","_","VV","_","LIGPLAATS","_","GEVAARLIJKE LADING","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_VV_LIGPLAATS_GEVAARLIJKE LADING","0.18","10","12","10","10","253","CONTINUOUS","0.35","10","12","10","10","253","CONTINUOUS","0.35","10","12","10","10","253","V-CONTINUOUS-SO","0.35","10","12","10","10","253","CONTINUOUS","","","2546","2545","http://digitalbuildingdata.tech/nlcs/def/568aa861-9af1-4036-8c17-6f6ab343890d","http://digitalbuildingdata.tech/nlcs/def/c394a6f2-4649-4a3f-820a-3880999cf154"
"DOORVAART_BREEDTE","*","_","**","_","VV","_","DOORVAART","_","BREEDTE","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_VV_DOORVAART_BREEDTE","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","2549","2548","http://digitalbuildingdata.tech/nlcs/def/e44b5714-be44-454e-a905-e0ce70462706","http://digitalbuildingdata.tech/nlcs/def/e504d2cf-8aa2-4dfe-afef-a045f8d456c3"
"VERKEERSTEKEN_DRAAGCONSTRUCTIE","*","_","**","_","VV","_","VERKEERSTEKEN","_","DRAAGCONSTRUCTIE","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_VV_VERKEERSTEKEN_DRAAGCONSTRUCTIE","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","2543","2542","http://digitalbuildingdata.tech/nlcs/def/0497673b-37d8-4c9d-be51-e6c70c55c63f","http://digitalbuildingdata.tech/nlcs/def/bf0c5f8d-509e-43e9-99cf-39881d60a51f"
"MARKERING_BALLENLIJN","*","_","**","_","VV","_","MARKERING","_","BALLENLIJN","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_VV_MARKERING_BALLENLIJN","0.18","170","172","170","170","253","CONTINUOUS","0.35","170","172","170","170","253","CONTINUOUS","0.35","170","172","170","170","253","V-CONTINUOUS-SO","0.35","170","172","170","170","253","CONTINUOUS","","","2541","2540","http://digitalbuildingdata.tech/nlcs/def/1d6e4f92-d21d-4160-acc0-3c77389135fe","http://digitalbuildingdata.tech/nlcs/def/f49d54d3-957c-4b06-b8df-0005d2cceeb8"
"VAARGEBIED","*","_","**","_","VV","_","VAARGEBIED","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_VV_VAARGEBIED","0.18","210","212","210","210","253","CONTINUOUS","0.35","210","212","210","210","253","CONTINUOUS","0.35","210","212","210","210","253","V-CONTINUOUS-SO","0.35","210","212","210","210","253","CONTINUOUS","","","2551","","http://digitalbuildingdata.tech/nlcs/def/bb2c3b45-91e7-44d9-9107-1e83efe98311",""
"SCHEPENTELLER","*","_","**","_","VV","_","SCHEPENTELLER","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_VV_SCHEPENTELLER","0.18","170","170","170","170","254","CONTINUOUS","0.35","170","170","170","170","254","CONTINUOUS","0.35","170","170","170","170","254","V-CONTINUOUS-SO","0.35","170","170","170","170","254","CONTINUOUS","","","2945","","http://digitalbuildingdata.tech/nlcs/def/19b467bd-ada4-45cb-b12e-d8e25fd273fe",""
"AFMEERLOKATIE","*","_","**","_","VV","_","AFMEERLOKATIE","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_VV_AFMEERLOKATIE","0.18","140","142","140","140","253","CONTINUOUS","0.35","140","142","140","140","253","CONTINUOUS","0.35","140","142","140","140","253","V-CONTINUOUS-SO","0.35","140","142","140","140","253","CONTINUOUS","","","2547","","http://digitalbuildingdata.tech/nlcs/def/4f9d8d13-f3f9-459b-9a1d-6badbda86241",""
