"omschrijving","status","underscore","discipline","underscore2","hoofdgroep","underscore3","object","underscore4","subobject01","underscore5","subobject02","underscore6","subobject03","underscore7","subobject04","underscore8","subobject05","streepje","bewerking","streepje3","element","streepje2","aobject","sobject","laagnaam","lw_b","kl_b","kl_b_a","kl_b_gd","kl_b_gn","kl_b_v","lt_b","lw_n","kl_n","kl_n_a","kl_n_gd","kl_n_gn","kl_n_v","lt_n","lw_v","kl_v","kl_v_a","kl_v_gd","kl_v_gn","kl_v_v","lt_v","lw_t","kl_t","kl_t_a","kl_t_gd","kl_t_gn","kl_t_v","lt_t","vrkl_kort","vrkl_lang","id_nummer","kind_van","objectURI","kind_vanURI"
"MARKERING_LANGS_STREEP_30270_010","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","30270","_","010","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_030270_010; V-SVW-MARKERING_STREEP_030270_010","*_**_VW_MARKERING_LANGS_STREEP_30270_010","0.13","7","7","7","7","7","VW-30270_STREEP","0.13","7","7","7","7","7","VW-30270_STREEP","0.13","7","7","7","7","7","V-VW-30270_STREEP","0.13","7","7","7","7","7","VW-30270_STREEP","","","2613","2612","http://digitalbuildingdata.tech/nlcs/def/72fa74a0-ae2f-4911-8dab-9a38ef605197","http://digitalbuildingdata.tech/nlcs/def/753e829a-96f3-46b4-a235-6f5c891b186b"
"MARKERING_LANGS_STREEP_050050_010","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","050050","_","010","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_050050_010; V-SVW-MARKERING_STREEP_050050_010","*_**_VW_MARKERING_LANGS_STREEP_050050_010","0.13","7","7","7","7","7","VW-5050_STREEP","0.13","7","7","7","7","7","VW-5050_STREEP","0.13","7","7","7","7","7","V-VW-5050_STREEP","0.13","7","7","7","7","7","VW-5050_STREEP","","","3552","3551","http://digitalbuildingdata.tech/nlcs/def/6c7139d9-4160-4b88-acd9-d84196af22de","http://digitalbuildingdata.tech/nlcs/def/d2608f2c-4fac-4ebf-8e5d-6c9132fb9c56"
"MARKERING_DWARS_OVERSTEEK_KANALISATIESTREEP50_010","*","_","**","_","VW","_","MARKERING","_","DWARS","_","OVERSTEEK","_","KANALISATIESTREEP50","_","010","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_050050_010; V-SVW-MARKERING_STREEP_050050_010","*_**_VW_MARKERING_DWARS_OVERSTEEK_KANALISATIESTREEP50_010","0.13","7","7","7","7","7","VW-5050_STREEP","0.13","7","7","7","7","7","VW-5050_STREEP","0.13","7","7","7","7","7","V-VW-5050_STREEP","0.13","7","7","7","7","7","VW-5050_STREEP","","","2632","2631","http://digitalbuildingdata.tech/nlcs/def/0af03dc5-24fc-45f9-bf17-80734195d272","http://digitalbuildingdata.tech/nlcs/def/b4c6776d-d37c-4043-8f9c-9d9368942129"
"MARKERING_LANGS_STREEP_13_030","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","13","_","030","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_13_030; V-SVW-MARKERING_STREEP_13_030","*_**_VW_MARKERING_LANGS_STREEP_13_030","0.25","7","7","7","7","7","VW-13_STREEP","0.25","7","7","7","7","7","VW-13_STREEP","0.25","7","7","7","7","7","V-VW-13_STREEP","0.25","7","7","7","7","7","VW-13_STREEP","","","2595","2592","http://digitalbuildingdata.tech/nlcs/def/7e3f9f34-2325-4369-8092-bbe8cf2dfcea","http://digitalbuildingdata.tech/nlcs/def/ce41855e-d93b-46d0-a51e-c0992cf59b82"
"MARKERING_LANGS_STREEP_33_015","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","33","_","015","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_33_015; V-SVW-MARKERING_STREEP_33_015","*_**_VW_MARKERING_LANGS_STREEP_33_015","0.13","7","7","7","7","7","VW-33_STREEP","0.13","7","7","7","7","7","VW-33_STREEP","0.13","7","7","7","7","7","V-VW-33_STREEP","0.13","7","7","7","7","7","VW-33_STREEP","","","2600","2599","http://digitalbuildingdata.tech/nlcs/def/3f2a1e58-eee3-42b4-be88-516ff23b924a","http://digitalbuildingdata.tech/nlcs/def/08519881-4d66-41f4-a0d8-079f3e400b4d"
"MARKERING_LANGS_STREEP_27030_010","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","27030","_","010","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_270030_010; V-SVW-MARKERING_STREEP_270030_010","*_**_VW_MARKERING_LANGS_STREEP_27030_010","0.13","7","7","7","7","7","VW-27030_STREEP","0.13","7","7","7","7","7","VW-27030_STREEP","0.13","7","7","7","7","7","V-VW-27030_STREEP","0.13","7","7","7","7","7","VW-27030_STREEP","","","2611","2610","http://digitalbuildingdata.tech/nlcs/def/01015965-fbb1-4cff-a56c-5765f92c31ec","http://digitalbuildingdata.tech/nlcs/def/15d889d9-a422-4df0-984b-afda91f74583"
"MARKERING_LANGS_STREEP_13_020","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","13","_","020","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_13_020; V-SVW-MARKERING_STREEP_13_020","*_**_VW_MARKERING_LANGS_STREEP_13_020","0.18","7","7","7","7","7","VW-13_STREEP","0.18","7","7","7","7","7","VW-13_STREEP","0.18","7","7","7","7","7","V-VW-13_STREEP","0.18","7","7","7","7","7","VW-13_STREEP","","","2594","2592","http://digitalbuildingdata.tech/nlcs/def/523a2d22-4652-4ca4-a0f6-cef4cbb6d92a","http://digitalbuildingdata.tech/nlcs/def/ce41855e-d93b-46d0-a51e-c0992cf59b82"
"MARKERING_LANGS_STREEP_93_030","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","93","_","030","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_93_030; V-SVW-MARKERING_STREEP_93_030","*_**_VW_MARKERING_LANGS_STREEP_93_030","0.25","7","7","7","7","7","VW-93_STREEP","0.25","7","7","7","7","7","VW-93_STREEP","0.25","7","7","7","7","7","V-VW-93_STREEP","0.25","7","7","7","7","7","VW-93_STREEP","","","3549","2607","http://digitalbuildingdata.tech/nlcs/def/7585d08e-b299-4c6b-8836-bf5f62814bbc","http://digitalbuildingdata.tech/nlcs/def/008b20b6-5d91-473f-a6e8-7cfe6fedafe0"
"MARKERING_LANGS_STREEP_30270_015","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","30270","_","015","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_030270_015; V-SVW-MARKERING_STREEP_030270_015","*_**_VW_MARKERING_LANGS_STREEP_30270_015","0.13","7","7","7","7","7","VW-30270_STREEP","0.13","7","7","7","7","7","VW-30270_STREEP","0.13","7","7","7","7","7","V-VW-30270_STREEP","0.13","7","7","7","7","7","VW-30270_STREEP","","","3020","2612","http://digitalbuildingdata.tech/nlcs/def/182a9b17-1a12-4a55-b403-26a6f54c9c3a","http://digitalbuildingdata.tech/nlcs/def/753e829a-96f3-46b4-a235-6f5c891b186b"
"MARKERING_LANGS_STREEP_13_010","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","13","_","010","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_13_010; V-SVW-MARKERING_STREEP_13_010","*_**_VW_MARKERING_LANGS_STREEP_13_010","0.13","7","7","7","7","7","VW-13_STREEP","0.13","7","7","7","7","7","VW-13_STREEP","0.13","7","7","7","7","7","V-VW-13_STREEP","0.13","7","7","7","7","7","VW-13_STREEP","","","2593","2592","http://digitalbuildingdata.tech/nlcs/def/ef22cebf-e6f0-4e54-8468-8dfdd6af986d","http://digitalbuildingdata.tech/nlcs/def/ce41855e-d93b-46d0-a51e-c0992cf59b82"
