"omschrijving","status","underscore","discipline","underscore2","hoofdgroep","underscore3","object","underscore4","subobject01","underscore5","subobject02","underscore6","subobject03","underscore7","subobject04","underscore8","subobject05","streepje","bewerking","streepje3","element","streepje2","aobject","sobject","laagnaam","lw_b","kl_b","kl_b_a","kl_b_gd","kl_b_gn","kl_b_v","lt_b","lw_n","kl_n","kl_n_a","kl_n_gd","kl_n_gn","kl_n_v","lt_n","lw_v","kl_v","kl_v_a","kl_v_gd","kl_v_gn","kl_v_v","lt_v","lw_t","kl_t","kl_t_a","kl_t_gd","kl_t_gn","kl_t_v","lt_t","vrkl_kort","vrkl_lang","id_nummer","kind_van","objectURI","kind_vanURI"
"DIJK_BERM_BUITEN","*","_","**","_","GW","_","DIJK","_","BERM","_","BUITEN","_","","_","","_","","'-","","'-","G","'-","","","*_**_GW_DIJK_BERM_BUITEN","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","441","439","http://digitalbuildingdata.tech/nlcs/def/6e1084a1-1806-4037-8f75-25c81f600823","http://digitalbuildingdata.tech/nlcs/def/6f78d761-064f-450a-91a2-30b8db1324c4"
"WATERGANG_GREPPEL_BODEM","*","_","**","_","GW","_","WATERGANG","_","GREPPEL","_","BODEM","_","","_","","_","","'-","","'-","G","'-","","","*_**_GW_WATERGANG_GREPPEL_BODEM","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","466","463","http://digitalbuildingdata.tech/nlcs/def/28a65e04-1d7c-45e0-9571-5ef71c745972","http://digitalbuildingdata.tech/nlcs/def/507a2101-aa5a-4549-b16d-0721ce354ff9"
"DIJK_KRUIN_BINNEN","*","_","**","_","GW","_","DIJK","_","KRUIN","_","BINNEN","_","","_","","_","","'-","","'-","G","'-","","","*_**_GW_DIJK_KRUIN_BINNEN","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","434","433","http://digitalbuildingdata.tech/nlcs/def/3972a6de-ba93-4883-b975-119653802055","http://digitalbuildingdata.tech/nlcs/def/ce694fab-a751-418f-a685-0c978090ef84"
"WATERGANG_SLOOT_BODEM","*","_","**","_","GW","_","WATERGANG","_","SLOOT","_","BODEM","_","","_","","_","","'-","","'-","G","'-","","","*_**_GW_WATERGANG_SLOOT_BODEM","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","471","468","http://digitalbuildingdata.tech/nlcs/def/7ea0a400-ad41-41a1-a5b2-ce3fe1286900","http://digitalbuildingdata.tech/nlcs/def/5b62f4f1-89f6-439a-b308-4804d27f0156"
"WATERGANG_GREPPEL_INSTEEK","*","_","**","_","GW","_","WATERGANG","_","GREPPEL","_","INSTEEK","_","","_","","_","","'-","","'-","G","'-","","","*_**_GW_WATERGANG_GREPPEL_INSTEEK","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","465","463","http://digitalbuildingdata.tech/nlcs/def/39327078-58fa-40e4-a456-87386d7b457c","http://digitalbuildingdata.tech/nlcs/def/507a2101-aa5a-4549-b16d-0721ce354ff9"
"DIJK_BERM_BINNEN","*","_","**","_","GW","_","DIJK","_","BERM","_","BINNEN","_","","_","","_","","'-","","'-","G","'-","","","*_**_GW_DIJK_BERM_BINNEN","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","440","439","http://digitalbuildingdata.tech/nlcs/def/de9856e8-128f-4814-ba9f-bc12dc9ee70d","http://digitalbuildingdata.tech/nlcs/def/6f78d761-064f-450a-91a2-30b8db1324c4"
"WATERGANG_GREPPEL_WATERLIJN","*","_","**","_","GW","_","WATERGANG","_","GREPPEL","_","WATERLIJN","_","","_","","_","","'-","","'-","G","'-","","","*_**_GW_WATERGANG_GREPPEL_WATERLIJN","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","V-CONTINUOUS-SO","0.35","150","152","150","150","253","CONTINUOUS","","","464","463","http://digitalbuildingdata.tech/nlcs/def/dd4df754-2628-4652-ad4b-e52a7dda6ed6","http://digitalbuildingdata.tech/nlcs/def/507a2101-aa5a-4549-b16d-0721ce354ff9"
"DIJK_KRUIN_BUITEN","*","_","**","_","GW","_","DIJK","_","KRUIN","_","BUITEN","_","","_","","_","","'-","","'-","G","'-","","","*_**_GW_DIJK_KRUIN_BUITEN","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","435","433","http://digitalbuildingdata.tech/nlcs/def/2b14b380-9a47-4ea5-93d6-3a274b9b8b95","http://digitalbuildingdata.tech/nlcs/def/ce694fab-a751-418f-a685-0c978090ef84"
"DIJK_TEEN_BINNEN","*","_","**","_","GW","_","DIJK","_","TEEN","_","BINNEN","_","","_","","_","","'-","","'-","G","'-","","","*_**_GW_DIJK_TEEN_BINNEN","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","437","436","http://digitalbuildingdata.tech/nlcs/def/78ea421a-fdf2-4c94-8848-f83a5215afdf","http://digitalbuildingdata.tech/nlcs/def/ed9a89f4-b142-45c8-8e11-a0b6545b3985"
"WATERGANG_SLOOT_INSTEEK","*","_","**","_","GW","_","WATERGANG","_","SLOOT","_","INSTEEK","_","","_","","_","","'-","","'-","G","'-","","","*_**_GW_WATERGANG_SLOOT_INSTEEK","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","470","468","http://digitalbuildingdata.tech/nlcs/def/1cbd866f-4879-4878-9ea7-0f3a9b26c3ef","http://digitalbuildingdata.tech/nlcs/def/5b62f4f1-89f6-439a-b308-4804d27f0156"
