omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje3,element,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
BESCHOEIING,*,-,**,-,GK,-,BESCHOEIING,,,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,339,0,,
BESCHOEIING_BETON,*,-,**,-,GK,-,BESCHOEIING,_,BETON,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_BETON-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,348,339,,
BESCHOEIING_DAMWAND,*,-,**,-,GK,-,BESCHOEIING,_,DAMWAND,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_DAMWAND-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,340,339,,
BESCHOEIING_DAMWAND_BETON,*,-,**,-,GK,-,BESCHOEIING,_,DAMWAND,_,BETON,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_DAMWAND_BETON-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,343,340,,
BESCHOEIING_DAMWAND_HOUT,*,-,**,-,GK,-,BESCHOEIING,_,DAMWAND,_,HOUT,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_DAMWAND_HOUT-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,342,340,,
BESCHOEIING_DAMWAND_KUNSTSTOF,*,-,**,-,GK,-,BESCHOEIING,_,DAMWAND,_,KUNSTSTOF,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_DAMWAND_KUNSTSTOF-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,344,340,,
BESCHOEIING_DAMWAND_STAAL,*,-,**,-,GK,-,BESCHOEIING,_,DAMWAND,_,STAAL,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_DAMWAND_STAAL-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,341,340,,
BESCHOEIING_HOUT,*,-,**,-,GK,-,BESCHOEIING,_,HOUT,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_HOUT-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,345,339,,
BESCHOEIING_HOUT_PERKOENPALENRIJ,*,-,**,-,GK,-,BESCHOEIING,_,HOUT,_,PERKOENPALENRIJ,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_HOUT_PERKOENPALENRIJ-G,0.18,130,132,130,130,253,GK-PERKOEN-SO,0.35,130,132,130,130,253,GK-PERKOEN-SO,0.35,130,132,130,130,253,V-GK-PERKOEN-SO,0.35,130,132,130,130,253,GK-PERKOEN-SO,,,347,345,,
BESCHOEIING_HOUT_SCHOT,*,-,**,-,GK,-,BESCHOEIING,_,HOUT,_,SCHOT,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_HOUT_SCHOT-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,346,345,,
