omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje3,element,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
BEPLANTING,*,-,**,-,GR,-,BEPLANTING,,,,,,,,,,,,,-,G/A/S,,,AGR-BEPLANTING,SGR-BEPLANTING,*-**-GR-BEPLANTING-G/A/S,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,2885,0,,
BEPLANTING_CULTUUR,*,-,**,-,GR,-,BEPLANTING,_,CULTUUR,,,,,,,,,,,-,G/A/S,,,AGR-BEPLANTING,SGR-BEPLANTING,*-**-GR-BEPLANTING_CULTUUR-G/A/S,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,2886,2885,,
BEPLANTING_CULTUUR_BODEMBEDEKKER,*,-,**,-,GR,-,BEPLANTING,_,CULTUUR,_,BODEMBEDEKKER,,,,,,,,,-,G/S,,,,SGR-BODEMBEDEKKER,*-**-GR-BEPLANTING_CULTUUR_BODEMBEDEKKER-G/S,0.18,90,92,90,90,"""140,168,0""",CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,2889,2886,,
BEPLANTING_CULTUUR_BOSPLANTSOEN,*,-,**,-,GR,-,BEPLANTING,_,CULTUUR,_,BOSPLANTSOEN,,,,,,,,,-,G/S/A,,,AGR-BOSPLANTSOEN,SGR-BOSPLANTSOEN,*-**-GR-BEPLANTING_CULTUUR_BOSPLANTSOEN-G/S/A,0.18,90,92,90,90,"""140,168,0""",GR-PLANTSOEN-SO,0.35,90,92,90,90,253,GR-PLANTSOEN-SO,0.35,90,92,90,90,253,V-GR-PLANTSOEN-SO,0.35,90,92,90,90,253,GR-PLANTSOEN-SO,,,2887,2886,,
BEPLANTING_CULTUUR_BOTANISCHE ROOS,*,-,**,-,GR,-,BEPLANTING,_,CULTUUR,_,BOTANISCHE ROOS,,,,,,,,,-,G,,,,,*-**-GR-BEPLANTING_CULTUUR_BOTANISCHE ROOS-G,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,2895,2886,,
BEPLANTING_CULTUUR_EENJARIGEPLANT,*,-,**,-,GR,-,BEPLANTING,_,CULTUUR,_,EENJARIGEPLANT,,,,,,,,,-,G,,,,,*-**-GR-BEPLANTING_CULTUUR_EENJARIGEPLANT-G,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,2891,2886,,
BEPLANTING_CULTUUR_HEESTERS,*,-,**,-,GR,-,BEPLANTING,_,CULTUUR,_,HEESTERS,,,,,,,,,-,G,,,,,*-**-GR-BEPLANTING_CULTUUR_HEESTERS-G,0.18,90,92,90,90,"""140,168,0""",CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,2888,2886,,
BEPLANTING_CULTUUR_ROOS,*,-,**,-,GR,-,BEPLANTING,_,CULTUUR,_,ROOS,,,,,,,,,-,G/S,,,,SGR-ROOS,*-**-GR-BEPLANTING_CULTUUR_ROOS-G/S,0.18,90,92,90,90,"""140,168,0""",CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,2890,2886,,
BEPLANTING_CULTUUR_VASTE PLANTENVAK,*,-,**,-,GR,-,BEPLANTING,_,CULTUUR,_,VASTE PLANTENVAK,,,,,,,,,-,G/S/A,,,AGR-VASTEPLANTEN,SGR-VASTEPLANTEN,*-**-GR-BEPLANTING_CULTUUR_VASTE PLANTENVAK-G/S/A,0.18,90,92,90,90,"""140,168,0""",CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,2893,2886,,
BEPLANTING_CULTUUR_WATERPLANT,*,-,**,-,GR,-,BEPLANTING,_,CULTUUR,_,WATERPLANT,,,,,,,,,-,G/A/S,,,AGR-WATERPLANTEN,SGR-WATERPLANTEN,*-**-GR-BEPLANTING_CULTUUR_WATERPLANT-G/A/S,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,2892,2886,,
BEPLANTING_CULTUUR_WISSELPERK,*,-,**,-,GR,-,BEPLANTING,_,CULTUUR,_,WISSELPERK,,,,,,,,,-,G/A/S,,,AGR-WISSELBEPLANTING,SGR-WISSELBEPLANTING,*-**-GR-BEPLANTING_CULTUUR_WISSELPERK-G/A/S,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,2894,2886,,
BEPLANTING_NATUUR,*,-,**,-,GR,-,BEPLANTING,_,NATUUR,,,,,,,,,,,-,G/A/S,,,AGR-BEPLANTING,SGR-BEPLANTING,*-**-GR-BEPLANTING_NATUUR-G/A/S,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,2896,2885,,
