omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje3,element,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
BAGGERVAK,*,-,**,-,GW,-,BAGGERVAK,,,,,,,,,,,,,-,G/A,,,AGW-BAGGERVAK,,*-**-GW-BAGGERVAK-G/A,0.18,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,CONTINUOUS,,,516,0,,
BERM,*,-,**,-,GW,-,BERM,,,,,,,,,,,,,-,G,,,,,*-**-GW-BERM-G,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,431,0,,
CUNET,*,-,**,-,GW,-,CUNET,,,,,,,,,,,,,-,G,,,,,*-**-GW-CUNET-G,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,454,0,,
CUNET-WERK,*,-,**,-,GW,-,CUNET,,,,,,,,,,,-,WERK,-,G/A,,,AGW-WERK,,*-**-GW-CUNET-WERK-G/A,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,457,454,,
CUNET_BODEM,*,-,**,-,GW,-,CUNET,_,BODEM,,,,,,,,,,,-,G,,,,,*-**-GW-CUNET_BODEM-G,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,456,454,,
CUNET_INSTEEK,*,-,**,-,GW,-,CUNET,_,INSTEEK,,,,,,,,,,,-,G,,,,,*-**-GW-CUNET_INSTEEK-G,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,455,454,,
DIJK,*,-,**,-,GW,-,DIJK,,,,,,,,,,,,,-,G,,,,,*-**-GW-DIJK-G,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,432,0,,
DIJK_BERM,*,-,**,-,GW,-,DIJK,_,BERM,,,,,,,,,,,-,G,,,,,*-**-GW-DIJK_BERM-G,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,439,432,,
DIJK_BERM_BINNEN,*,-,**,-,GW,-,DIJK,_,BERM,_,BINNEN,,,,,,,,,-,G,,,,,*-**-GW-DIJK_BERM_BINNEN-G,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,440,439,,
DIJK_BERM_BUITEN,*,-,**,-,GW,-,DIJK,_,BERM,_,BUITEN,,,,,,,,,-,G,,,,,*-**-GW-DIJK_BERM_BUITEN-G,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,441,439,,
