omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje3,element,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
AFVAL APART PLAATS,*,-,**,-,IE,-,AFVAL APART PLAATS,,,,,,,,,,,,,-,G/S,,,,SIE-AFVAL APART PLAATS,*-**-IE-AFVAL APART PLAATS-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3414,0,,
BALUSTRADE,*,-,**,-,IE,-,BALUSTRADE,,,,,,,,,,,,,-,G,,,,,*-**-IE-BALUSTRADE-G,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3419,0,,
BORD,*,-,**,-,IE,-,BORD,,,,,,,,,,,,,-,G/S,,,,SIE-WEG_VERKEERSTEKEN_BORD,*-**-IE-BORD-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3578,0,,
FIETSENKLUIS,*,-,**,-,IE,-,FIETSENKLUIS,,,,,,,,,,,,,-,G/S,,,,SIE-FIETSENKLUIS,*-**-IE-FIETSENKLUIS-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3423,0,,
HERDENKINGSMONUMENT,*,-,**,-,IE,-,HERDENKINGSMONUMENT,,,,,,,,,,,,,-,G/S,,,,SIE-HERDENKINGSMONUMENT,*-**-IE-HERDENKINGSMONUMENT-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3415,0,,
HOOGTEDETECTIEMETER,*,-,**,-,IE,-,HOOGTEDETECTIEMETER,,,,,,,,,,,,,-,G/S,,,,SIE-HOOGTEDETECTIEMETER,*-**-IE-HOOGTEDETECTIEMETER-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3420,0,,
INKLIMBEVEILIGING,*,-,**,-,IE,-,INKLIMBEVEILIGING,,,,,,,,,,,,,-,G/S,,,,SIE-INKLIMBEVEILIGING,*-**-IE-INKLIMBEVEILIGING-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3421,0,,
KUNSTOBJECT,*,-,**,-,IE,-,KUNSTOBJECT,,,,,,,,,,,,,-,G/S,,,,SIE-KUNSTOBJECT,*-**-IE-KUNSTOBJECT-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3416,0,,
LPG VULPUNT,*,-,**,-,IE,-,LPG VULPUNT,,,,,,,,,,,,,-,G/S,,,,SIE-LPG VULPUNT,*-**-IE-LPG VULPUNT-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3422,0,,
MEUBILAIR,*,-,**,-,IE,-,MEUBILAIR,,,,,,,,,,,,,-,G/S,,,,SIE-MEUBILAIR,*-**-IE-MEUBILAIR-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,521,0,,
MEUBILAIR_CAMERA,*,-,**,-,IE,-,MEUBILAIR,_,CAMERA,,,,,,,,,,,-,G/S,,,,SIE-WEG_INGANGSCONTROLE_CAMERA,*-**-IE-MEUBILAIR_CAMERA-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3098,521,,
MEUBILAIR_DIJKPAAL,*,-,**,-,IE,-,MEUBILAIR,_,DIJKPAAL,,,,,,,,,,,-,G/S,,,,SIE-DIJKPAAL,*-**-IE-MEUBILAIR_DIJKPAAL-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3385,521,,
MEUBILAIR_FONTEIN,*,-,**,-,IE,-,MEUBILAIR,_,FONTEIN,,,,,,,,,,,-,G/S,,,,SIE-FONTEIN,*-**-IE-MEUBILAIR_FONTEIN-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3387,521,,
MEUBILAIR_LUCHTHAVENMEUBILAIR,*,-,**,-,IE,-,MEUBILAIR,_,LUCHTHAVENMEUBILAIR,,,,,,,,,,,-,G,,,,,*-**-IE-MEUBILAIR_LUCHTHAVENMEUBILAIR-G,0.18,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,V-CONTINUOUS-SO,0.35,130,132,130,130,253,CONTINUOUS,,,544,521,,
MEUBILAIR_OPENBAARTOILET,*,-,**,-,IE,-,MEUBILAIR,_,OPENBAARTOILET,,,,,,,,,,,-,G/S,,,,SIE-OPENBAARTOILET,*-**-IE-MEUBILAIR_OPENBAARTOILET-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3386,521,,
MEUBILAIR_PEUKENPAAL,*,-,**,-,IE,-,MEUBILAIR,_,PEUKENPAAL,,,,,,,,,,,-,G/S,,,,SIE-WEG_PEUKENPAAL,*-**-IE-MEUBILAIR_PEUKENPAAL-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3569,521,,
MEUBILAIR_PICKNICKSET,*,-,**,-,IE,-,MEUBILAIR,_,PICKNICKSET,,,,,,,,,,,-,G/S,,,,SIE-WEG_PICKNICKSET,*-**-IE-MEUBILAIR_PICKNICKSET-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3570,521,,
MEUBILAIR_SCHIJNWERPER,*,-,**,-,IE,-,MEUBILAIR,_,SCHIJNWERPER,,,,,,,,,,,-,G/S,,,,SIE-WEG_SCHIJNWERPER,*-**-IE-MEUBILAIR_SCHIJNWERPER-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3572,521,,
MEUBILAIR_SNUFFELPAAL,*,-,**,-,IE,-,MEUBILAIR,_,SNUFFELPAAL,,,,,,,,,,,-,G/S,,,,SIE-WEG_SNUFFELPAAL,*-**-IE-MEUBILAIR_SNUFFELPAAL-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3573,521,,
MEUBILAIR_SPEELPLEK,*,-,**,-,IE,-,MEUBILAIR,_,SPEELPLEK,,,,,,,,,,,-,G,,,,,*-**-IE-MEUBILAIR_SPEELPLEK-G,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,"65,200,165",CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3099,521,,
MEUBILAIR_SPOORWEGMEUBILAIR,*,-,**,-,IE,-,MEUBILAIR,_,SPOORWEGMEUBILAIR,,,,,,,,,,,-,G,,,,,*-**-IE-MEUBILAIR_SPOORWEGMEUBILAIR-G,0.18,30,32,30,30,253,CONTINUOUS,0.35,30,32,30,30,253,CONTINUOUS,0.35,30,32,30,30,253,V-CONTINUOUS-SO,0.35,30,32,30,30,253,CONTINUOUS,,,543,521,,
MEUBILAIR_TELEFOONCEL,*,-,**,-,IE,-,MEUBILAIR,_,TELEFOONCEL,,,,,,,,,,,-,G/S,,,,SIE-WEG_TELEFOONCEL,*-**-IE-MEUBILAIR_TELEFOONCEL-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3574,521,,
MEUBILAIR_WATERWEGMEUBILAIR,*,-,**,-,IE,-,MEUBILAIR,_,WATERWEGMEUBILAIR,,,,,,,,,,,-,G/S,,,,SIE-WATER,*-**-IE-MEUBILAIR_WATERWEGMEUBILAIR-G/S,0.18,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,V-CONTINUOUS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,537,521,,
MEUBILAIR_WATERWEGMEUBILAIR_AFMEERCONSTRUCTIE,*,-,**,-,IE,-,MEUBILAIR,_,WATERWEGMEUBILAIR,_,AFMEERCONSTRUCTIE,,,,,,,,,-,G,,,,,*-**-IE-MEUBILAIR_WATERWEGMEUBILAIR_AFMEERCONSTRUCTIE-G,0.18,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,V-CONTINUOUS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,542,537,,
MEUBILAIR_WATERWEGMEUBILAIR_BOEI,*,-,**,-,IE,-,MEUBILAIR,_,WATERWEGMEUBILAIR,_,BOEI,,,,,,,,,-,G/S,,,,SIE-WATER_BOEI,*-**-IE-MEUBILAIR_WATERWEGMEUBILAIR_BOEI-G/S,0.18,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,V-CONTINUOUS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,3555,537,,
MEUBILAIR_WATERWEGMEUBILAIR_BOLDER,*,-,**,-,IE,-,MEUBILAIR,_,WATERWEGMEUBILAIR,_,BOLDER,,,,,,,,,-,G/S,,,,SIE-WATER_BOLDER,*-**-IE-MEUBILAIR_WATERWEGMEUBILAIR_BOLDER-G/S,0.18,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,V-CONTINUOUS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,541,537,,
MEUBILAIR_WATERWEGMEUBILAIR_DEBIETMETER,*,-,**,-,IE,-,MEUBILAIR,_,WATERWEGMEUBILAIR,_,DEBIETMETER,,,,,,,,,-,G/S,,,,SIE-WATER_DEBIETMETER,*-**-IE-MEUBILAIR_WATERWEGMEUBILAIR_DEBIETMETER-G/S,0.18,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,V-CONTINUOUS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,3556,537,,
MEUBILAIR_WATERWEGMEUBILAIR_DRIJFRAAM,*,-,**,-,IE,-,MEUBILAIR,_,WATERWEGMEUBILAIR,_,DRIJFRAAM,,,,,,,,,-,G,,,,,*-**-IE-MEUBILAIR_WATERWEGMEUBILAIR_DRIJFRAAM-G,0.18,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,V-CONTINUOUS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,538,537,,
MEUBILAIR_WATERWEGMEUBILAIR_DRINKBAK,*,-,**,-,IE,-,MEUBILAIR,_,WATERWEGMEUBILAIR,_,DRINKBAK,,,,,,,,,-,G/S,,,,SIE-WATER_DRINKBAK,*-**-IE-MEUBILAIR_WATERWEGMEUBILAIR_DRINKBAK-G/S,0.18,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,V-CONTINUOUS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,3557,537,,
