OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;ELEMENT;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;VERSIE;WIJZIGING;STATUS;ID;KIND_VAN;
AFSLUITINSTALLATIE;*;-;**;-;KL;-;AFSLUITINSTALLATIE;;;;;;;;;;;;;-;G;;;;;*-**-KL-AFSLUITINSTALLATIE-G;0.18;60;62;60;60;253;CONTINUOUS;0.35;60;62;60;60;253;CONTINUOUS;0.35;60;62;60;60;253;V-CONTINUOUS-SO;0.35;60;62;60;60;253;CONTINUOUS;;;3.0;;NIEUW;1416;0;
AFSLUITINSTALLATIE_KABEL;*;-;**;-;KL;-;AFSLUITINSTALLATIE;_;KABEL;;;;;;;;;;;-;G;;;;;*-**-KL-AFSLUITINSTALLATIE_KABEL-G;0.18;60;62;60;60;253;CONTINUOUS;0.35;60;62;60;60;253;CONTINUOUS;0.35;60;62;60;60;253;V-CONTINUOUS-SO;0.35;60;62;60;60;253;CONTINUOUS;;;3.0;;NIEUW;1417;1416;
BEWEGWIJZERING;*;-;**;-;KL;-;BEWEGWIJZERING;;;;;;;;;;;;;-;G;;;;;*-**-KL-BEWEGWIJZERING-G;0.18;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;V-CONTINUOUS-SO;0.35;210;212;210;210;253;CONTINUOUS;;;3.0;;NIEUW;1386;0;
BEWEGWIJZERING_KABEL;*;-;**;-;KL;-;BEWEGWIJZERING;_;KABEL;;;;;;;;;;;-;G;;;;;*-**-KL-BEWEGWIJZERING_KABEL-G;0.18;210;212;210;210;253;KL-BEWEGWIJZERING-SO;0.35;210;212;210;210;253;KL-BEWEGWIJZERING-SO;0.35;210;212;210;210;253;V-KL-BEWEGWIJZERING-SO;0.35;210;212;210;210;253;KL-BEWEGWIJZERING-SO;;;4.2;4.2:Lijnstijl toegevoegd;GEWIJZIGD;1387;1386;
BRANDSTOF;*;-;**;-;KL;-;BRANDSTOF;;;;;;;;;;;;;-;G;;;;;*-**-KL-BRANDSTOF-G;0.18;40;42;40;40;40;KL-BRANDSTOF-SO;0.35;40;42;40;40;40;KL-BRANDSTOF-SO;0.35;40;42;40;40;40;V-KL-BRANDSTOF-SO;0.35;40;42;40;40;40;KL-BRANDSTOF-SO;;;2.3;;;620;0;
BRANDSTOF_HULPSTUK;*;-;**;-;KL;-;BRANDSTOF;_;HULPSTUK;;;;;;;;;;;-;G/S;;;;SKL-WTB_HULP;*-**-KL-BRANDSTOF_HULPSTUK-G/S;0.18;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;V-CONTINUOUS-SO;0.35;40;42;40;40;40;CONTINUOUS;;;2.3;;;621;620;
BRANDSTOF_HULPSTUK_AANSLUITPUNT;*;-;**;-;KL;-;BRANDSTOF;_;HULPSTUK;_;AANSLUITPUNT;;;;;;;;;-;G/S;;;;SKL-WTB_HULP_AANSLUITPUNT;*-**-KL-BRANDSTOF_HULPSTUK_AANSLUITPUNT-G;0.18;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;V-CONTINUOUS-SO;0.35;40;42;40;40;40;CONTINUOUS;;;2.3;;;622;621;
BRANDSTOF_HULPSTUK_AFSLUITER;*;-;**;-;KL;-;BRANDSTOF;_;HULPSTUK;_;AFSLUITER;;;;;;;;;-;G/S;;;;SKL-WTB_HULP_AFSLUITER;*-**-KL-BRANDSTOF_HULPSTUK_AFSLUITER-G;0.18;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;V-CONTINUOUS-SO;0.35;40;42;40;40;40;CONTINUOUS;;;2.3;;;623;621;
BRANDSTOF_HULPSTUK_DRUKMEETPUNT;*;-;**;-;KL;-;BRANDSTOF;_;HULPSTUK;_;DRUKMEETPUNT;;;;;;;;;-;G;;;;;*-**-KL-BRANDSTOF_HULPSTUK_DRUKMEETPUNT-G;0.18;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;V-CONTINUOUS-SO;0.35;40;42;40;40;40;CONTINUOUS;;;2.3;;;624;621;
BRANDSTOF_HULPSTUK_ONTLUCHTING;*;-;**;-;KL;-;BRANDSTOF;_;HULPSTUK;_;ONTLUCHTING;;;;;;;;;-;G;;;;;*-**-KL-BRANDSTOF_HULPSTUK_ONTLUCHTING-G;0.18;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;V-CONTINUOUS-SO;0.35;40;42;40;40;40;CONTINUOUS;;;2.3;;;625;621;
