omschrijving;status;underscore;discipline;underscore2;hoofdgroep;underscore3;object;underscore4;subobject01;underscore5;subobject02;underscore6;subobject03;underscore7;subobject04;underscore8;subobject05;streepje;bewerking;streepje3;element;streepje2;schaal;aobject;sobject;laagnaam;lw_b;kl_b;kl_b_a;kl_b_gd;kl_b_gn;kl_b_v;lt_b;lw_n;kl_n;kl_n_a;kl_n_gd;kl_n_gn;kl_n_v;lt_n;lw_v;kl_v;kl_v_a;kl_v_gd;kl_v_gn;kl_v_v;lt_v;lw_t;kl_t;kl_t_a;kl_t_gd;kl_t_gn;kl_t_v;lt_t;vrkl_kort;vrkl_lang;id_nummer;kind_van;objectURI;kind_vanURI
BOB;*;-;**;-;RI;-;BOB;;;;;;;;;;;;;-;G/S;;;;SRI-BOB;*-**-RI-BOB-G/S;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;1634;0;;
DRAINAGE;*;-;**;-;RI;-;DRAINAGE;;;;;;;;;;;;;-;G;;;;;*-**-RI-DRAINAGE-G;0.18;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;V-RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;;;1635;0;;
DRAINAGE_ALGEMEEN;*;-;**;-;RI;-;DRAINAGE;_;ALGEMEEN;;;;;;;;;;;-;G;;;;;*-**-RI-DRAINAGE_ALGEMEEN-G;0.18;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;V-RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;;;1636;1635;;
DRAINAGE_BOB;*;-;**;-;RI;-;DRAINAGE;_;BOB;;;;;;;;;;;-;G/S;;;;SRI-BOB;*-**-RI-DRAINAGE_BOB-G/S;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;1637;1635;;
DRAINAGE_DRAIN;*;-;**;-;RI;-;DRAINAGE;_;DRAIN;;;;;;;;;;;-;G;;;;;*-**-RI-DRAINAGE_DRAIN-G;0.18;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;V-RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;;;1638;1635;;
DRAINAGE_DRAIN-DOORSPOELEN;*;-;**;-;RI;-;DRAINAGE;_;DRAIN;;;;;;;;;-;DOORSPOELEN;-;G;;;;;*-**-RI-DRAINAGE_DRAIN-DOORSPOELEN-G;0.18;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;V-RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;;;3580;1638;;
DRAINAGE_DRAIN_PP;*;-;**;-;RI;-;DRAINAGE;_;DRAIN;_;PP;;;;;;;;;-;G;;;;;*-**-RI-DRAINAGE_DRAIN_PP-G;0.18;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;V-RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;;;1639;1638;;
DRAINAGE_DRAIN_PP_100;*;-;**;-;RI;-;DRAINAGE;_;DRAIN;_;PP;_;100;;;;;;;-;G;;;;;*-**-RI-DRAINAGE_DRAIN_PP_100-G;0.18;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;V-RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;;;1640;1639;;
DRAINAGE_DRAIN_PP_125;*;-;**;-;RI;-;DRAINAGE;_;DRAIN;_;PP;_;125;;;;;;;-;G;;;;;*-**-RI-DRAINAGE_DRAIN_PP_125-G;0.18;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;V-RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;;;1641;1639;;
DRAINAGE_DRAIN_PP_160;*;-;**;-;RI;-;DRAINAGE;_;DRAIN;_;PP;_;160;;;;;;;-;G;;;;;*-**-RI-DRAINAGE_DRAIN_PP_160-G;0.18;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;V-RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;;;1642;1639;;
DRAINAGE_DRAIN_PP_200;*;-;**;-;RI;-;DRAINAGE;_;DRAIN;_;PP;_;200;;;;;;;-;G;;;;;*-**-RI-DRAINAGE_DRAIN_PP_200-G;0.18;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;V-RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;;;1643;1639;;
DRAINAGE_DRAIN_PP_65;*;-;**;-;RI;-;DRAINAGE;_;DRAIN;_;PP;_;65;;;;;;;-;G;;;;;*-**-RI-DRAINAGE_DRAIN_PP_65-G;0.18;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;V-RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;;;1644;1639;;
DRAINAGE_DRAIN_PP_80;*;-;**;-;RI;-;DRAINAGE;_;DRAIN;_;PP;_;80;;;;;;;-;G;;;;;*-**-RI-DRAINAGE_DRAIN_PP_80-G;0.18;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;V-RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;;;1645;1639;;
DRAINAGE_DRAIN_PVC;*;-;**;-;RI;-;DRAINAGE;_;DRAIN;_;PVC;;;;;;;;;-;G;;;;;*-**-RI-DRAINAGE_DRAIN_PVC-G;0.18;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;V-RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;;;1646;1638;;
DRAINAGE_DRAIN_PVC_100;*;-;**;-;RI;-;DRAINAGE;_;DRAIN;_;PVC;_;100;;;;;;;-;G;;;;;*-**-RI-DRAINAGE_DRAIN_PVC_100-G;0.18;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;0.35;90;92;90;90;253;V-RI-DRAINAGE-SO;0.35;90;92;90;90;253;RI-DRAINAGE-SO;;;1647;1646;;
