omschrijving;status;underscore;discipline;underscore2;hoofdgroep;underscore3;object;underscore4;subobject01;underscore5;subobject02;underscore6;subobject03;underscore7;subobject04;underscore8;subobject05;streepje;bewerking;streepje3;element;streepje2;schaal;aobject;sobject;laagnaam;lw_b;kl_b;kl_b_a;kl_b_gd;kl_b_gn;kl_b_v;lt_b;lw_n;kl_n;kl_n_a;kl_n_gd;kl_n_gn;kl_n_v;lt_n;lw_v;kl_v;kl_v_a;kl_v_gd;kl_v_gn;kl_v_v;lt_v;lw_t;kl_t;kl_t_a;kl_t_gd;kl_t_gn;kl_t_v;lt_t;vrkl_kort;vrkl_lang;id_nummer;kind_van;objectURI;kind_vanURI
BEDRIJFSVLOERPLAAT;*;-;**;-;VH;-;BEDRIJFSVLOERPLAAT;;;;;;;;;;;;;-;G/S/A;;;AVH-BETONPLAAT;SVH-BETONPLAAT;*-**-VH-BEDRIJFSVLOERPLAAT-G/S/A;0.18;170;172;170;170;254;CONTINUOUS;0.35;170;172;170;170;254;CONTINUOUS;0.25;170;172;170;170;254;ZZ-HIDDEN-SO;0.25;170;172;170;170;254;CONTINUOUS;;;2474;0;;
BEDRIJFSVLOERPLAAT_BETON;*;-;**;-;VH;-;BEDRIJFSVLOERPLAAT;_;BETON;;;;;;;;;;;-;G/S/A;;;AVH-BETONPLAAT;SVH-BETONPLAAT;*-**-VH-BEDRIJFSVLOERPLAAT_BETON-G;0.18;170;172;170;170;254;CONTINUOUS;0.35;170;172;170;170;254;CONTINUOUS;0.25;170;172;170;170;254;ZZ-HIDDEN-SO;0.25;170;172;170;170;254;CONTINUOUS;;;2475;2474;;
BEDRIJFSVLOERPLAAT_BETON_INDUSTRIE;*;-;**;-;VH;-;BEDRIJFSVLOERPLAAT;_;BETON;_;INDUSTRIE;;;;;;;;;-;G/S/A;;;AVH-BETONPLAAT;SVH-BETONPLAAT;*-**-VH-BEDRIJFSVLOERPLAAT_BETON_INDUSTRIE-G;0.18;170;172;170;170;254;CONTINUOUS;0.35;170;172;170;170;254;CONTINUOUS;0.25;170;172;170;170;254;ZZ-HIDDEN-SO;0.25;170;172;170;170;254;CONTINUOUS;;;2476;2475;;
BEDRIJFSVLOERPLAAT_HOUT;*;-;**;-;VH;-;BEDRIJFSVLOERPLAAT;_;HOUT;;;;;;;;;;;-;G;;;;;*-**-VH-BEDRIJFSVLOERPLAAT_HOUT-G;0.18;170;172;170;170;254;CONTINUOUS;0.35;170;172;170;170;254;CONTINUOUS;0.25;170;172;170;170;254;ZZ-HIDDEN-SO;0.25;170;172;170;170;254;CONTINUOUS;;;2477;2474;;
BEDRIJFSVLOERPLAAT_KUNSTSTOF;*;-;**;-;VH;-;BEDRIJFSVLOERPLAAT;_;KUNSTSTOF;;;;;;;;;;;-;G;;;;;*-**-VH-BEDRIJFSVLOERPLAAT_KUNSTSTOF-G;0.18;170;172;170;170;254;CONTINUOUS;0.35;170;172;170;170;254;CONTINUOUS;0.25;170;172;170;170;254;ZZ-HIDDEN-SO;0.25;170;172;170;170;254;CONTINUOUS;;;2478;2474;;
BEDRIJFSVLOERPLAAT_STAAL;*;-;**;-;VH;-;BEDRIJFSVLOERPLAAT;_;STAAL;;;;;;;;;;;-;G;;;;;*-**-VH-BEDRIJFSVLOERPLAAT_STAAL-G;0.18;170;172;170;170;254;CONTINUOUS;0.35;170;172;170;170;254;CONTINUOUS;0.25;170;172;170;170;254;ZZ-HIDDEN-SO;0.25;170;172;170;170;254;CONTINUOUS;;;2479;2474;;
BEDRIJFSVLOERPLAAT_STAAL_RIJPLAAT;*;-;**;-;VH;-;BEDRIJFSVLOERPLAAT;_;STAAL;_;RIJPLAAT;;;;;;;;;-;G;;;;;*-**-VH-BEDRIJFSVLOERPLAAT_STAAL_RIJPLAAT-G;0.18;170;172;170;170;254;CONTINUOUS;0.35;170;172;170;170;254;CONTINUOUS;0.25;170;172;170;170;254;ZZ-HIDDEN-SO;0.25;170;172;170;170;254;CONTINUOUS;;;2480;2479;;
BEDRIJFSVLOERPLAAT_STAAL_SCHEEPSHUID;*;-;**;-;VH;-;BEDRIJFSVLOERPLAAT;_;STAAL;_;SCHEEPSHUID;;;;;;;;;-;G;;;;;*-**-VH-BEDRIJFSVLOERPLAAT_STAAL_SCHEEPSHUID-G;0.18;170;172;170;170;254;CONTINUOUS;0.35;170;172;170;170;254;CONTINUOUS;0.25;170;172;170;170;254;ZZ-HIDDEN-SO;0.25;170;172;170;170;254;CONTINUOUS;;;2481;2479;;
DREMPEL;*;-;**;-;VH;-;DREMPEL;;;;;;;;;;;;;-;G;;;;;*-**-VH-DREMPEL-G;0.18;30;32;30;30;253;CONTINUOUS;0.35;30;32;30;30;253;CONTINUOUS;0.25;30;32;30;30;253;V-CONTINUOUS-SO;0.25;30;32;30;30;253;CONTINUOUS;;;2342;0;;
DREMPEL_ASFALT;*;-;**;-;VH;-;DREMPEL;_;ASFALT;;;;;;;;;;;-;G;;;;;*-**-VH-DREMPEL_ASFALT-G;0.18;30;32;30;30;253;CONTINUOUS;0.35;30;32;30;30;253;CONTINUOUS;0.25;30;32;30;30;253;V-CONTINUOUS-SO;0.25;30;32;30;30;253;CONTINUOUS;;;2343;2342;;
