"symboolURI","searchterm","sbibliotheek","fase","id","symbool","finalCleanName","optie"
"http://digitalbuildingdata.tech/nlcs/def/e4c18a4f-4807-44c6-85ae-c5c72bbfc6af","LEUNING","SBV","","3027","SBV-LEUNING_SIER900-DMM","LEUNING_SIER900","DMM"
"http://digitalbuildingdata.tech/nlcs/def/03a0a011-53e9-4f14-a80d-bf841a5f6b43","GELEIDECONSTRUCTIE","SBV","","3307","SBV-GELEIDECONSTRUCTIE_BARRIER_BC1-DMM","GELEIDECONSTRUCTIE_BARRIER_BC1","DMM"
"http://digitalbuildingdata.tech/nlcs/def/b5ba3b37-ea42-4331-989a-d4ec023f4163","GELEIDECONSTRUCTIE","SBV","","3308","SBV-GELEIDECONSTRUCTIE_BARRIER_ST1-DMM","GELEIDECONSTRUCTIE_BARRIER_ST1","DMM"
"http://digitalbuildingdata.tech/nlcs/def/2c8c55df-9c32-46df-80b3-b554b793be59","GELEIDECONSTRUCTIE","SBV","","3309","SBV-GELEIDECONSTRUCTIE_GELEIDERAIL_1DL13360-DMM","GELEIDECONSTRUCTIE_GELEIDERAIL_1DL13360","DMM"
"http://digitalbuildingdata.tech/nlcs/def/4b889823-a7b0-41eb-9554-64f112a32a2d","GELEIDECONSTRUCTIE","SBV","","3310","SBV-GELEIDECONSTRUCTIE_GELEIDERAIL_1LV13360-DMM","GELEIDECONSTRUCTIE_GELEIDERAIL_1LV13360","DMM"
"http://digitalbuildingdata.tech/nlcs/def/a293ef1b-824d-4cc3-aebd-72628f227fa0","GELEIDECONSTRUCTIE","SBV","","3311","SBV-GELEIDECONSTRUCTIE_GELEIDERAIL_1Z13360-DMM","GELEIDECONSTRUCTIE_GELEIDERAIL_1Z13360","DMM"
"http://digitalbuildingdata.tech/nlcs/def/8bd90c30-d456-4d31-9dd7-207c28af920f","GELEIDECONSTRUCTIE","SBV","","3312","SBV-GELEIDECONSTRUCTIE_GELEIDERAIL_2R13380-DMM","GELEIDECONSTRUCTIE_GELEIDERAIL_2R13380","DMM"
"http://digitalbuildingdata.tech/nlcs/def/e06c8895-954e-4364-a6a8-473029b97c80","GELEIDECONSTRUCTIE","SBV","","3313","SBV-GELEIDECONSTRUCTIE_GELEIDERAIL_2ZC13380-DMM","GELEIDECONSTRUCTIE_GELEIDERAIL_2ZC13380","DMM"
"http://digitalbuildingdata.tech/nlcs/def/68a1fde3-9f7e-4f13-addb-7dda72aad7b4","GELEIDECONSTRUCTIE","SBV","","3314","SBV-GELEIDECONSTRUCTIE_GELEIDERAIL_BAZ_13360-MM","GELEIDECONSTRUCTIE_GELEIDERAIL_BAZ_13360","MM"
"http://digitalbuildingdata.tech/nlcs/def/0ecdb766-5a1f-4762-9947-87b018d252ca","GELEIDECONSTRUCTIE","SBV","","3315","SBV-GELEIDECONSTRUCTIE_GELEIDERAIL_BAZ_13380-MM","GELEIDECONSTRUCTIE_GELEIDERAIL_BAZ_13380","MM"
