"symboolURI","searchterm","sbibliotheek","fase","id","symbool","finalCleanName","optie"
"http://digitalbuildingdata.tech/nlcs/def/8e7991ed-f1c3-4fae-b207-3d93b5fc4c9b","BOOM","SGR","B","3031","B-SGR-BOOM_1E GROOTTE","BOOM_1E GROOTTE",""
"http://digitalbuildingdata.tech/nlcs/def/3a785d46-620c-4372-9672-725fc874ce0b","BOOM","SGR","B","3032","B-SGR-BOOM_2E GROOTTE","BOOM_2E GROOTTE",""
"http://digitalbuildingdata.tech/nlcs/def/e440cbfb-8bdc-47d6-a4c7-9d03f0e8f9a1","BOOM","SGR","B","3033","B-SGR-BOOM_3E GROOTTE","BOOM_3E GROOTTE",""
"http://digitalbuildingdata.tech/nlcs/def/2d36caf8-7e35-4c93-86a3-9758e8679822","BOOM","SGR","","3035","SGR-BOOM_1E GROOTTE","BOOM_1E GROOTTE",""
"http://digitalbuildingdata.tech/nlcs/def/0fc47238-a16c-425d-a134-5887b6e7e260","BOOM","SGR","","3036","SGR-BOOM_2E GROOTTE","BOOM_2E GROOTTE",""
"http://digitalbuildingdata.tech/nlcs/def/13e7a2b4-5a5c-49da-a666-71e549f7d84f","BOOM","SGR","","3037","SGR-BOOM_3E GROOTTE","BOOM_3E GROOTTE",""
"http://digitalbuildingdata.tech/nlcs/def/610c4d53-8e93-4f3f-9fcf-844c242d7434","BODEMBEDEKKER","SGR","","3038","SGR-BODEMBEDEKKER-SO","BODEMBEDEKKER","SO"
"http://digitalbuildingdata.tech/nlcs/def/6ca73d0f-f0c1-4c0e-9f7d-9a2b741a5d96","BEPLANTING","SGR","","3039","SGR-BEPLANTING_MATERIAALGRENS","BEPLANTING_MATERIAALGRENS",""
"http://digitalbuildingdata.tech/nlcs/def/c536ba00-1564-473a-ba90-a23e6548d5f7","BLOEMBAK","SGR","","3040","SGR-BLOEMBAK-SO","BLOEMBAK","SO"
"http://digitalbuildingdata.tech/nlcs/def/125df176-50e3-4bb2-8e17-34206a7762b0","BOMENRIJ","SGR","","3041","SGR-BOMENRIJ","BOMENRIJ",""
"http://digitalbuildingdata.tech/nlcs/def/5ee2178b-1fea-4df1-adc5-5f92c0fba89c","BOOMGAARD","SGR","","3042","SGR-BOOMGAARD_HOOGSTAM-SO","BOOMGAARD_HOOGSTAM","SO"
"http://digitalbuildingdata.tech/nlcs/def/b47616df-d43d-4281-bf91-3143817ef8df","BOOMGAARD","SGR","","3043","SGR-BOOMGAARD_KLEINFRUIT-SO","BOOMGAARD_KLEINFRUIT","SO"
