"searchterm","arceringURI","id","abibliotheekURI","abibliotheek","fase","arcering","finalCleanName","optie","schaal","vrkl_kort","vrkl_lang","fileURL"
"GROND","http://digitalbuildingdata.tech/nlcs/def/483bb6cf-03fd-4c2c-8488-e505ee6b3ea6","254","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-GROND_SLIB-SO","GROND_SLIB","SO","1","slib","0,0,0,0,10,2,-3,1,-4 0,7,.25,0,10,2,-8 0,6,.75,0,10,1,-9 0,.5,1,0,10,.5,-7,.5,-2 0,4,1.5,0,10,2,-3,.5,-45 0,1.5,1.75,0,10,1.5,-8.5 0,4,2,0,10,3,-7 0,1,2.25,0,10,2,-8 0,5,205,0,10,5,-5 0,2,3,0,10,1,-3,2,-4 0,9,3.25,0,10,2,-8 0,7,3.5,0,10,1,-9 0,5,3.75,0,10,1,-9 0,0,4,0,10,2,-8 0,5,4.25,0,10,2,-8 0,5,4.75,0,10,2,-2,2,-4 0,3,5.25,0,10,1,-5,2,-2 0,5,5.5,0,10,3,-7 0,5,6,0,10,2,-8 0,1,6.25,0,10,3,-4,1,-2 0,1,6.75,0,10,5,-5 0,7,7,0,10,1,-9 0,4,7.25,0,10,2,-8 0,2,7.5,0,10,1,-4,1,-4 0,1,7.75,0,10,1,-3,2,-4 0,3,8,0,10,1,-5,1,-3 0,5,8.25,0,10,3,-7 0,1,8.75,0,10,2,-8 0,6,9,0,10,1,-9 0,8,9.25,0,10,1,-9 14.03624347,7,.75,9.701425001,-2.425356251,1.03,-40.20105526 14.03624347,8,3,9.701425001,-2.425356251,1.03,-40.20105526 14.03624347,7,9,9.701425001,-2.425356251,1.03,-40.20105526 14.03624347,4,5.25,9.701425001,-2.425356251,1.03,-40.20105526 14.03624347,6,6.75,9.701425001,-2.425356251,1.03,-40.20105526 14.03624347,7,6,9.701425001,-2.425356251,1.03,-40.20105526 14.03624347,2,7.75,9.701425001,-2.425356251,1.03,-40.20105526 14.03624347,6,7.25,9.701425001,-2.425356251,1.03,-40.20105526 14.03624347,8,3.5,9.701425001,-2.425356251,2.06,-39.17105526 14.03624347,7,4.25,9.701425001,-2.425356251,2.06,-39.17105526 14.03624347,7,4.75,9.701425001,-2.425356251,2.06,-39.17105526 165.96375653,4,1.5,9.701425001,2.425356251,1.03,-2.06,1.03,-37.11105526 165.96375653,2,3,9.701425001,2.425356251,1.03,-40.20105526 165.96375653,2,7.5,9.701425001,2.425356251,2.06,-39.17105526 194.03624347,7,.25,9.701425001,-2.425356251,1.03,-40.20105526 345.96375653,9,.25,9.701425001,2.425356251,1.03,-40.20105526 345.96375653,6,3.75,9.701425001,2.425356251,1.03,-40.20105526 345.96375653,8,5.5,9.701425001,2.425356251,1.03,-40.20105526 345.96375653,4,6.25,9.701425001,2.425356251,1.03,-40.20105526 345.96375653,3,7.5,9.701425001,2.425356251,1.03,-40.20105526 345.96375653,4,8,9.701425001,2.425356251,1.03,-40.20105526 345.96375653,4,6.25,9.701425001,2.425356251,1.03,-40.20105526 345.96375653,7,7.75,9.701425001,2.425356251,4.12,-37.11105526 345.96375653,1,1,9.701425001,2.425356251,4.12,-37.11105526 345.96375653,2,1.75,9.701425001,2.425356251,4.12,-37.11105526 345.96375653,3,2.25,9.701425001,2.425356251,1.03,-2.06,2.06,-36.08105526 345.96375653,3,3,9.701425001,2.425356251,2.06,-2.06,2.06,-35.05105526 345.96375653,2,4,9.701425001,2.425356251,4.12,-37.11105526 345.96375653,1,4.75,9.701425001,2.425356251,4.12,-37.11105526 345.96375653,1,5.25,9.701425001,2.425356251,4.12,-37.11105526 345.96375653,8,8.25,9.701425001,2.425356251,1.03,-40.20105526 345.96376753,9,9.25,9.701425001,2.425356251,2.06,-39.17105526 345.96376753,3,8.75,9.701425001,2.425356251,2.06,-39.17105526 345.96375753,2,0,9.701425001,2.425356251,4.12,-37.11105526 345.96375753,8,7,9.701425001,2.425356251,3.09,-38.14105526 345.96375753,9,6.25,9.701425001,2.425356251,6.18,-35.05105526","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-GROND_SLIB-SO.pat"
"BAGGERVAK","http://digitalbuildingdata.tech/nlcs/def/09faa71c-920e-4b17-81f5-9e760036efb4","283","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-BAGGERVAK-SO","BAGGERVAK","SO","1","baggervak","60,0,0,2.38125,4.124445,2.38125,-2.38125 120,0,0,2.38125,4.124445,2.38125,-2.38125 0,-1.190625,2.062225,2.38125,4.124445,2.38125,-2.38125","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-BAGGERVAK-SO.pat"
"NIETBAGGERVAK","http://digitalbuildingdata.tech/nlcs/def/16f7ec0b-735d-4b4a-a150-2dcb0f8a7515","284","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-NIETBAGGERVAK-SO","NIETBAGGERVAK","SO","1","nietbaggervak","45,0,0,0,5,1.5,-1.5 135,0,1,0,5,1.5,-1.5","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-NIETBAGGERVAK-SO.pat"
"GROND","http://digitalbuildingdata.tech/nlcs/def/2a33bd43-b8d9-491a-a3cc-fc3262162f27","353","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-GROND_AFVAL-SOD","GROND_AFVAL","SOD","1","afval","0,0,0,5.0,5.0,0.0625,-4.375 90,0,0,5.0,5.0,0.625,-4.375 135,0.625,0,3.5355534,3.535534,0.883388,-6.187185 0,0.625,2.8125,5.0,5.0,0.625,-4.375 45,0.9375,2.5,3.535534,3.535534,0.441942,-6.629126 135,0.9375,2.5,3.53554,3.53534,0.441942,-6.629126 0,2.5,4.0625,5.0,5.0,0.883884,-4.116117 45,2.5,4.0625,3.505339,3.505339,0.625,-6.446068 135,3.383884,4.0625,3.535534,3.535534,0.625,-6.446068 90,3.4375,1.25,5.0,5.0,0.625,-4.375 45,3.4375,1.25,3.535534,0.444193,-6.629126 135,3.75,1.5625,3.535534,3.535534,0.441942,-6.629126 0,0.625,1.25,5.0,5.0,0.3125,-4.1875 0,0.4375,2.5,5.0,5.0,0.3125,-4.1875 90,2.8125,3.125,5.0,5.0,0.3125,-4.1875 135,3.4375,0.3125,3.535534,3.535534,0.441942,-6.929126 135,1.25,3.75,3.535839,3.5358390,0.441942,-6.92926 45,2.34375,1.640625,3.535534,5.535534,0.441942,-6.629126 90,1.953125,0.625,5.0,5.0,0.078125,-4.921875 90,1.953125,2.734375,5.0,5.0,0.78125,-4.921875 90,4.296875,3.59375,5.0,5.0,0.78125,-4.921875 90,4.375,0.9375,5.0,5.0,0.07125,-4.921875","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-GROND_AFVAL-SOD.pat"
"GROND","http://digitalbuildingdata.tech/nlcs/def/4d72cdb9-63b4-48f1-aab3-cdecfbf39386","354","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-GROND_GRIND-SOD","GROND_GRIND","SOD","1","grind","0,4,1,10,10,.5,-3,.5,-6 0,9,1.5,10,10,.5,-9.5 0,3.5,2.5,10,10,1,-9 0,6.5,3,10,10,.5,-9.5 0,2,3.5,10,10,.5,-9.5 0,6,4.5,10,10,1,-9 0,2.5,5,10,10,1,-3.5,.5,-5 0,2.5,6,10,10,1,-5.5,1,-2.5 0,5.5,6.5,10,10,.5,-9.5 0,5.5,8,10,10,.5,-9.5 0,0,8.5,10,10,.5,-9.5 0,2.5,9,10,10,.5,-3.5,1,-5 90,1,2.5,10,10,.5,-4.5,.5,-4.5 90,1.5,4,10,10,.5,-9.5 90,2,9.5,10,10,.5,-9.5 90,2.5,6,10,10,1,-9 90,3,1.5,10,10,.5,-9.5 90,3.5,9.5,10,10,.5,-9.5 90,4,6.5,10,10,.5,-9.5 90,5.5,3.5,10,10,.5,-9.5 90,6,9.5,10,10,.5,-9.5 90,6.5,7,10,10,.5,-9.5 90,7,5,10,10,1,-9 90,7.5,3.5,10,10,.5,-9.5 90,8,5.5,10,10,.5,-9.5 90,8.5,0,10,10,.5,-6,1,-2.5 45,0,6,7.07106781,7.07106781,0.707,-3.5355,0.707,-4.9497,0.707,-3.535935623 45,3,2,7.07106781,7.07106781,0.707,-4.9497,0.707,-1.414,0.707,-5.657435623 45,.5,2,7.071067812,7.071067812,0.70710678,-9.19239,1.41421,-2.82842984 45,3.5,4,7.071067812,7.071067812,0.7071067,-2.828427,0.7071067,-9.899495223 45,3.5,6,7.071067812,7.071067812,0.7071067,-13.435028923 45,5.5,4,7.071067812,7.071067812,0.7071067,-13.435028923 45,7.5,5,7.071067812,7.071067812,0.7071067,-13.435028923 45,6,0,7.071067812,7.071067812,0.7071067,-13.435028923 135,3.5,0,7.071067812,7.071067812,0.7071067,-13.435028923 135,8.5,.5,7.071067812,7.071067812,0.707106,-9.899495,0.707106,-2.828428623 135,5.5,6.5,7.071067812,7.071067812,0.7071067,-13.435028923 135,2.5,9,7.071067812,7.071067812,0.7071067,-13.435028923 135,9,1.5,7.071067812,7.071067812,0.7071067,-13.435028923 135,5,2,7.071067812,7.071067812,0.7071067,-13.435028923 135,4,7,7.071067812,7.071067812,0.7071067,-13.435028923 135,9,6,7.071067812,7.071067812,0.7071067,-13.435028923 135,7.5,4,7.071067812,7.071067812,0.7071067,-13.435028923 135,4,4.5,7.071067812,7.071067812,0.7071067,-13.435028923 135,2,3.5,7.071067812,7.071067812,0.7071,-7.0710678,0.7071,-5.656867823 135,8,6,7.071067812,7.071067812,0.707106,-1.41421363,0.707106,-11.31371 26.5650512,6.5,.5,8.94427191,-4.472135955,1.118,-5.59,1.118,-14.53467977 26.5650512,9,3,8.94427191,-4.472135955,1.118,-10.062,1.118,-10.06267978 26.5650512,9.5,1.5,8.94427191,-4.472135955,1.1180339,-21.2426458 26.5650512,1.5,4.5,8.94427191,-4.472135955,1.1180339,-21.2426458 26.5650512,2.5,7,8.94427191,-4.472135955,1.1180339,-21.2426458 26.5650512,2,0,8.94427191,-4.472135955,1.1180339,-21.2426458 63.43494882,5,7,8.94427191,4.472135955,1.1180339,-21.2426458 63.43494882,4.5,1,8.94427191,4.472135955,1.1180339,-21.2426458 63.43494882,8.5,2,8.94427191,4.472135955,1.1180339,-21.2426458 63.43494882,.5,6.5,8.94427191,4.472135955,1.1180339,-21.2426458 153.43494882,6.5,3,8.94427191,4.472135955,1.1180339,-21.2426458 153.43494882,4,1,8.94427191,4.472135955,1.1180339,-21.2426458 153.43494882,1,3,8.94427191,4.472135955,1.1180339,-21.2426458","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-GROND_GRIND-SOD.pat"
"GROND","http://digitalbuildingdata.tech/nlcs/def/d1b89c3a-57d9-47e4-bb92-19c858c17896","355","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-GROND_KERNMATERIAAL-SOD","GROND_KERNMATERIAAL","SOD","1","kernmateriaal","45,0,0,0,2 45,1.412,0,0,1,.5,-0.25","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-GROND_KERNMATERIAAL-SOD.pat"
"GROND","http://digitalbuildingdata.tech/nlcs/def/102a7d1f-d268-45ff-a147-a3b61cababbd","356","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-GROND_KLEI-SOD","GROND_KLEI","SOD","1","klei","45,0.00000,0.00000,0.00000,2.5000","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-GROND_KLEI-SOD.pat"
"GROND","http://digitalbuildingdata.tech/nlcs/def/47639c3d-cfd5-4abe-ba70-201e27d250eb","357","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-GROND_SLIB-SOD","GROND_SLIB","SOD","1","slib","0,0,0,0,10,2,-3,1,-4 0,7,.25,0,10,2,-8 0,6,.75,0,10,1,-9 0,.5,1,0,10,.5,-7,.5,-2 0,4,1.5,0,10,2,-3,.5,-45 0,1.5,1.75,0,10,1.5,-8.5 0,4,2,0,10,3,-7 0,1,2.25,0,10,2,-8 0,5,205,0,10,5,-5 0,2,3,0,10,1,-3,2,-4 0,9,3.25,0,10,2,-8 0,7,3.5,0,10,1,-9 0,5,3.75,0,10,1,-9 0,0,4,0,10,2,-8 0,5,4.25,0,10,2,-8 0,5,4.75,0,10,2,-2,2,-4 0,3,5.25,0,10,1,-5,2,-2 0,5,5.5,0,10,3,-7 0,5,6,0,10,2,-8 0,1,6.25,0,10,3,-4,1,-2 0,1,6.75,0,10,5,-5 0,7,7,0,10,1,-9 0,4,7.25,0,10,2,-8 0,2,7.5,0,10,1,-4,1,-4 0,1,7.75,0,10,1,-3,2,-4 0,3,8,0,10,1,-5,1,-3 0,5,8.25,0,10,3,-7 0,1,8.75,0,10,2,-8 0,6,9,0,10,1,-9 0,8,9.25,0,10,1,-9 14.03624347,7,.75,9.701425001,-2.425356251,1.03,-40.20105526 14.03624347,8,3,9.701425001,-2.425356251,1.03,-40.20105526 14.03624347,7,9,9.701425001,-2.425356251,1.03,-40.20105526 14.03624347,4,5.25,9.701425001,-2.425356251,1.03,-40.20105526 14.03624347,6,6.75,9.701425001,-2.425356251,1.03,-40.20105526 14.03624347,7,6,9.701425001,-2.425356251,1.03,-40.20105526 14.03624347,2,7.75,9.701425001,-2.425356251,1.03,-40.20105526 14.03624347,6,7.25,9.701425001,-2.425356251,1.03,-40.20105526 14.03624347,8,3.5,9.701425001,-2.425356251,2.06,-39.17105526 14.03624347,7,4.25,9.701425001,-2.425356251,2.06,-39.17105526 14.03624347,7,4.75,9.701425001,-2.425356251,2.06,-39.17105526 165.96375653,4,1.5,9.701425001,2.425356251,1.03,-2.06,1.03,-37.11105526 165.96375653,2,3,9.701425001,2.425356251,1.03,-40.20105526 165.96375653,2,7.5,9.701425001,2.425356251,2.06,-39.17105526 194.03624347,7,.25,9.701425001,-2.425356251,1.03,-40.20105526 345.96375653,9,.25,9.701425001,2.425356251,1.03,-40.20105526 345.96375653,6,3.75,9.701425001,2.425356251,1.03,-40.20105526 345.96375653,8,5.5,9.701425001,2.425356251,1.03,-40.20105526 345.96375653,4,6.25,9.701425001,2.425356251,1.03,-40.20105526 345.96375653,3,7.5,9.701425001,2.425356251,1.03,-40.20105526 345.96375653,4,8,9.701425001,2.425356251,1.03,-40.20105526 345.96375653,4,6.25,9.701425001,2.425356251,1.03,-40.20105526 345.96375653,7,7.75,9.701425001,2.425356251,4.12,-37.11105526 345.96375653,1,1,9.701425001,2.425356251,4.12,-37.11105526 345.96375653,2,1.75,9.701425001,2.425356251,4.12,-37.11105526 345.96375653,3,2.25,9.701425001,2.425356251,1.03,-2.06,2.06,-36.08105526 345.96375653,3,3,9.701425001,2.425356251,2.06,-2.06,2.06,-35.05105526 345.96375653,2,4,9.701425001,2.425356251,4.12,-37.11105526 345.96375653,1,4.75,9.701425001,2.425356251,4.12,-37.11105526 345.96375653,1,5.25,9.701425001,2.425356251,4.12,-37.11105526 345.96375653,8,8.25,9.701425001,2.425356251,1.03,-40.20105526 345.96376753,9,9.25,9.701425001,2.425356251,2.06,-39.17105526 345.96376753,3,8.75,9.701425001,2.425356251,2.06,-39.17105526 345.96375753,2,0,9.701425001,2.425356251,4.12,-37.11105526 345.96375753,8,7,9.701425001,2.425356251,3.09,-38.14105526 345.96375753,9,6.25,9.701425001,2.425356251,6.18,-35.05105526","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-GROND_SLIB-SOD.pat"
"GROND","http://digitalbuildingdata.tech/nlcs/def/f62a4acd-12ed-4731-abea-74b014765197","358","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-GROND_STABILISATIE-SOD","GROND_STABILISATIE","SOD","1","stabilisatie","0,0,0,3.175,3.175,1.5875,-4.7625 90,0.79375,-0.79375,3.175,3.175,1.5875,-4.7625","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-GROND_STABILISATIE-SOD.pat"
"GROND","http://digitalbuildingdata.tech/nlcs/def/81af6441-2bc2-4aca-86b6-848970942b9a","359","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-GROND_STEEN-SOD","GROND_STEEN","SOD","1","steen","002.6026,1.600,0.100,210.23747,0.45400,1.78142,-218.44574 043.3634,3.380,0.181,14.13636,0.40390,1.21610,-246.37226 101.3099,4.264,1.016,41.18439,1.96116,1.39097,-49.59922 149.0362,3.991,2.380,22.29482,1.71499,1.51247,-56.79705 184.7636,2.694,3.158,110.45090,0.83045,1.55366,-118.86229 219.0939,1.146,3.029,142.12588,0.48507,1.34001,-204.81528 280.3048,0.106,2.184,50.98234,0.89443,1.30925,-110.49414 327.7244,0.340,0.896,94.33876,0.44499,1.49039,-223.23166 023.1986,4.800,3.500,22.32209,1.31306,1.73630,-74.42143 081.8699,6.395,4.184,9.89950,1.41421,1.81773,-68.89295 123.6901,6.652,5.983,13.86751,2.77350,2.11187,-33.94365 158.1986,5.481,7.740,31.56821,1.85695,3.35447,-50.49718 204.2270,2.366,8.986,120.82960,0.45596,1.54726,-217.76986 262.8750,0.955,8.351,9.92278,1.24035,1.35454,-79.26804 306.8699,0.787,7.007,14.00000,2.00000,3.54110,-46.45890 340.3462,2.912,4.174,31.61562,0.67267,2.00477,-146.65592 032.2756,8.900,3.400,130.38329,0.44499,1.21952,-223.50253 066.8013,9.931,4.051,53.83564,1.31306,1.34589,-74.81184 111.8014,0.461,5.289,22.28344,1.85695,1.12750,-52.72415 165.0686,0.043,6.335,41.22603,0.64416,0.99233,-154.24942 209.9816,9.084,6.591,219.54473,0.33315,1.24087,-298.92575 245.7730,8.009,5.971,98.48752,0.45596,1.48171,-217.83541 284.9314,7.401,4.619,114.01572,0.64416,1.00546,-154.23629 348.6901,7.660,3.648,9.80580,1.96116,1.26463,-49.72556 033.6901,8.300,7.700,13.86751,2.77350,1.64077,-34.41443 093.3665,9.665,8.610,160.31112,0.58722,1.69025,-168.60362 136.6366,9.566,0.297,233.45200,0.40390,1.99352,-245.59484 169.6952,8.117,1.666,60.82105,0.89443,1.89840,-109.90499 218.6598,6.249,2.006,14.05564,1.56174,1.62709,-62.40415 267.3974,4.978,0.989,9.98969,0.45400,1.63486,-218.59230 320.9061,4.904,9.356,64.02941,0.48507,2.32341,-203.83188 353.1572,6.707,7.891,171.17197,0.39715,1.60414,-250.18943","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-GROND_STEEN-SOD.pat"
