"symboolURI","searchterm","sbibliotheek","fase","id","symbool","finalCleanName","optie"
"http://digitalbuildingdata.tech/nlcs/def/41227298-2c1d-483d-94fd-f2f9f4840dc7","VRI","SIW","","","SIW-VRI_DETECTIE","VRI_DETECTIE",""
"http://digitalbuildingdata.tech/nlcs/def/a534315f-a1b4-406f-ac20-3cdd6f568f38","VRI","SIW","","","SIW-VRI_DRAAGCONSTRUCTIE_PORTAAL","VRI_DRAAGCONSTRUCTIE_PORTAAL",""
"http://digitalbuildingdata.tech/nlcs/def/0439d504-d60d-4055-90bf-cb9a5d379921","TDI","SIW","","2568","SIW-TDI_DETECTIELUS-SO","TDI_DETECTIELUS","SO"
"http://digitalbuildingdata.tech/nlcs/def/208e94ba-33a1-4f49-8ae4-6429ceecec64","TDI","SIW","","2569","SIW-TDI_DRAAGCONSTRUCTIE_PORTAAL-SO","TDI_DRAAGCONSTRUCTIE_PORTAAL","SO"
"http://digitalbuildingdata.tech/nlcs/def/b55b15f5-3102-4034-b81b-bbc0f6d7b6cd","TDI","SIW","","2570","SIW-TDI_DRAAGCONSTRUCTIE_UITHOUDER-SO","TDI_DRAAGCONSTRUCTIE_UITHOUDER","SO"
"http://digitalbuildingdata.tech/nlcs/def/4694c890-64a6-477f-b87c-272c210aa821","TDI","SIW","","2571","SIW-TDI_LANTAARN_DOSEERLICHT-SO","TDI_LANTAARN_DOSEERLICHT","SO"
"http://digitalbuildingdata.tech/nlcs/def/9fcdb568-3112-405a-b570-602771410a05","TDI","SIW","","2572","SIW-TDI_PUTSARMATUUR-SO","TDI_PUTSARMATUUR","SO"
"http://digitalbuildingdata.tech/nlcs/def/3f8195d0-50e0-48e5-80ec-957b16b0e8cd","TDI","SIW","","2573","SIW-TDI_ROODLICHTCAMERA-SO","TDI_ROODLICHTCAMERA","SO"
"http://digitalbuildingdata.tech/nlcs/def/b1843850-73fc-4a3d-af17-cf1d4bd63636","TDI","SIW","","2574","SIW-TDI_SELECTIEVE DETECTIELUS-SO","TDI_SELECTIEVE DETECTIELUS","SO"
"http://digitalbuildingdata.tech/nlcs/def/e8e4f092-97d0-482d-8717-382cb6252b33","TDI","SIW","","2575","SIW-TDI_VERKEERSREGELTOESTEL-SO","TDI_VERKEERSREGELTOESTEL","SO"
"http://digitalbuildingdata.tech/nlcs/def/7f993f48-8860-487b-8e03-fed2973950b2","TDI","SIW","","2576","SIW-TDI_VOORSEIN_BUS-SO","TDI_VOORSEIN_BUS","SO"
"http://digitalbuildingdata.tech/nlcs/def/b5dd3ce6-4d7f-494d-969e-5458f9e7972b","TDI","SIW","","2577","SIW-TDI_VOORSEIN_BUS_9OOG-SO","TDI_VOORSEIN_BUS_9OOG","SO"
"http://digitalbuildingdata.tech/nlcs/def/b9831b95-c502-4d69-b911-a29eee3b1cf8","TDI","SIW","","2578","SIW-TDI_VOORWAARSCHUWINGSSEIN-SO","TDI_VOORWAARSCHUWINGSSEIN","SO"
"http://digitalbuildingdata.tech/nlcs/def/9344b4d6-2d8f-41f6-95a8-a7e38adbf076","VRI","SIW","","2589","SIW-VRI_(MOTOR)FIETSGEVOELIGEDETECTIELUS-SO","VRI_(MOTOR)FIETSGEVOELIGEDETECTIELUS","SO"
"http://digitalbuildingdata.tech/nlcs/def/d400d92e-a333-4425-a9bb-f4c6989305b6","VRI","SIW","","2590","SIW-VRI_2LICHTVERKEERSLANTAARN_ROND_2X200mm-SO","VRI_2LICHTVERKEERSLANTAARN_ROND_2X200mm","SO"
"http://digitalbuildingdata.tech/nlcs/def/47dc9300-4fe6-4bfc-b723-511333aa3ca8","VRI","SIW","","2591","SIW-VRI_3LICHTVERKEERSLANTAARN_ROND_3X200mm-SO","VRI_3LICHTVERKEERSLANTAARN_ROND_3X200mm","SO"
"http://digitalbuildingdata.tech/nlcs/def/767bf645-28f0-4894-8208-7b452f52a1cd","VRI","SIW","","2592","SIW-VRI_3LICHTVERKEERSLANTAARN_ROND_3X300mm-SO","VRI_3LICHTVERKEERSLANTAARN_ROND_3X300mm","SO"
"http://digitalbuildingdata.tech/nlcs/def/b281f8e6-666c-4a15-bbf6-0a8fbd076290","VRI","SIW","","2593","SIW-VRI_3LICHTVERKEERSLANTAARN_ROND_3X80mm-SO","VRI_3LICHTVERKEERSLANTAARN_ROND_3X80mm","SO"
"http://digitalbuildingdata.tech/nlcs/def/2d39b1e9-4db6-4839-ac29-b227f52024f9","VRI","SIW","","2594","SIW-VRI_AUTOMAAT-SO","VRI_AUTOMAAT","SO"
"http://digitalbuildingdata.tech/nlcs/def/720b89d5-8596-4fe1-8094-4a7262e2f34a","VS","SIW","","2604","SIW-VS_KAST_BERMKAST-SO","VS_KAST_BERMKAST","SO"
"http://digitalbuildingdata.tech/nlcs/def/6ca97e53-394e-41fc-bf63-f267bf3d7273","VS","SIW","","2605","SIW-VS_KAST_DS-SO","VS_KAST_DS","SO"
"http://digitalbuildingdata.tech/nlcs/def/a0ec1866-a08c-44c4-b868-87e062dbdbec","VS","SIW","","2606","SIW-VS_KAST_LUSKOPPELKAST-SO","VS_KAST_LUSKOPPELKAST","SO"
"http://digitalbuildingdata.tech/nlcs/def/0a0f9677-57e1-4737-a4f3-d8f490483465","VS","SIW","","2607","SIW-VS_KAST_OS DS_LOSSEFUNDATIE-SO","VS_KAST_OS DS_LOSSEFUNDATIE","SO"
"http://digitalbuildingdata.tech/nlcs/def/29205b94-8cdf-435e-b08d-6b727c4d4c92","VS","SIW","","2608","SIW-VS_KAST_OS DS_TUSSEN A POOT PORTAAL-SO","VS_KAST_OS DS_TUSSEN A POOT PORTAAL","SO"
"http://digitalbuildingdata.tech/nlcs/def/e9ed046c-fe09-4d9d-9a4b-4226182fcf7c","VS","SIW","","2609","SIW-VS_KAST_OS_LOSSEFUNDATIE-SO","VS_KAST_OS_LOSSEFUNDATIE","SO"
"http://digitalbuildingdata.tech/nlcs/def/8bcbbf75-22b7-4387-9830-f79c565d65f5","TRAMSIGNALERING","SIW","","3299","SIW-TRAMSIGNALERING-SO","TRAMSIGNALERING","SO"
"http://digitalbuildingdata.tech/nlcs/def/88eab05f-0566-4d6b-b13d-7491e22acbae","TRAMSIGNALERING","SIW","","3300","SIW-TRAMSIGNALERING_DRAAGCONSTRUCTIE_PORTAAL-SO","TRAMSIGNALERING_DRAAGCONSTRUCTIE_PORTAAL","SO"
"http://digitalbuildingdata.tech/nlcs/def/dfbead4d-8a40-476a-a64a-f16abd55023a","TRAMSIGNALERING","SIW","","3301","SIW-TRAMSIGNALERING_PAAL-SO","TRAMSIGNALERING_PAAL","SO"
"http://digitalbuildingdata.tech/nlcs/def/44108e32-0d5f-4171-b12d-bddb9d980d05","TDI","SIW","V","3557","V-SIW-TDI_DETECTIELUS-SO","TDI_DETECTIELUS","SO"
"http://digitalbuildingdata.tech/nlcs/def/d6962afd-8f1d-43ac-bb6b-726bb51b3131","TDI","SIW","V","3558","V-SIW-TDI_DRAAGCONSTRUCTIE_PORTAAL-SO","TDI_DRAAGCONSTRUCTIE_PORTAAL","SO"
"http://digitalbuildingdata.tech/nlcs/def/a9f9d0ad-408e-4b9e-808e-c5bbbd11b31b","TDI","SIW","V","3559","V-SIW-TDI_DRAAGCONSTRUCTIE_UITHOUDER-SO","TDI_DRAAGCONSTRUCTIE_UITHOUDER","SO"
"http://digitalbuildingdata.tech/nlcs/def/a608f94e-06e4-4233-9d8a-33e6393f7305","TDI","SIW","V","3560","V-SIW-TDI_LANTAARN_DOSEERLICHT-SO","TDI_LANTAARN_DOSEERLICHT","SO"
"http://digitalbuildingdata.tech/nlcs/def/1b74d7fc-4117-45ba-a902-0e5129543b26","TDI","SIW","V","3561","V-SIW-TDI_PUTSARMATUUR-SO","TDI_PUTSARMATUUR","SO"
"http://digitalbuildingdata.tech/nlcs/def/d13e1488-59e1-4477-89a2-d50a96dd600f","TDI","SIW","V","3562","V-SIW-TDI_ROODLICHTCAMERA-SO","TDI_ROODLICHTCAMERA","SO"
"http://digitalbuildingdata.tech/nlcs/def/dcf30c59-e101-43f5-a24b-be72b1bc0e3c","TDI","SIW","V","3563","V-SIW-TDI_SELECTIEVE DETECTIELUS-SO","TDI_SELECTIEVE DETECTIELUS","SO"
"http://digitalbuildingdata.tech/nlcs/def/01c64aba-8137-4980-8be2-7188e28f2ea3","TDI","SIW","V","3564","V-SIW-TDI_VERKEERSREGELTOESTEL-SO","TDI_VERKEERSREGELTOESTEL","SO"
"http://digitalbuildingdata.tech/nlcs/def/a00162f0-4dfb-43f4-b8b6-f9750aecdc24","TDI","SIW","V","3565","V-SIW-TDI_VOORSEIN_BUS-SO","TDI_VOORSEIN_BUS","SO"
"http://digitalbuildingdata.tech/nlcs/def/6f925c7c-61e2-4c64-9a5e-6402ea7a56a9","TDI","SIW","V","3566","V-SIW-TDI_VOORSEIN_BUS_9OOG-SO","TDI_VOORSEIN_BUS_9OOG","SO"
"http://digitalbuildingdata.tech/nlcs/def/2a871ef9-38fe-417f-8d0a-c284950e9ff2","TDI","SIW","V","3567","V-SIW-TDI_VOORWAARSCHUWINGSSEIN-SO","TDI_VOORWAARSCHUWINGSSEIN","SO"
"http://digitalbuildingdata.tech/nlcs/def/1157d020-c1bc-4e0a-9a8f-f0e53be38db1","TRAMSIGNALERING","SIW","V","3568","V-SIW-TRAMSIGNALERING-SO","TRAMSIGNALERING","SO"
"http://digitalbuildingdata.tech/nlcs/def/465e9085-a536-4f72-b78d-c0d692d12dcd","TRAMSIGNALERING","SIW","V","3569","V-SIW-TRAMSIGNALERING_DRAAGCONSTRUCTIE_PORTAAL-SO","TRAMSIGNALERING_DRAAGCONSTRUCTIE_PORTAAL","SO"
"http://digitalbuildingdata.tech/nlcs/def/067869df-e96c-4bb8-9c6a-137577ee0a83","TRAMSIGNALERING","SIW","V","3570","V-SIW-TRAMSIGNALERING_PAAL-SO","TRAMSIGNALERING_PAAL","SO"
"http://digitalbuildingdata.tech/nlcs/def/f6ddd8e9-a6b1-4e95-a68a-57dbc4a15fa9","VRI","SIW","V","3576","V-SIW-VRI_AUTOMAAT-SO","VRI_AUTOMAAT","SO"
"http://digitalbuildingdata.tech/nlcs/def/dd6b5f20-b8e2-42a2-bde5-1f31530ea520","VS","SIW","V","3586","V-SIW-VS_KAST_BERMKAST-SO","VS_KAST_BERMKAST","SO"
"http://digitalbuildingdata.tech/nlcs/def/36420ee4-270c-42d8-bf66-ece7e0e6a2c9","VS","SIW","V","3587","V-SIW-VS_KAST_DS-SO","VS_KAST_DS","SO"
"http://digitalbuildingdata.tech/nlcs/def/2d159436-a4e0-4690-b5de-2a793152a2df","VS","SIW","V","3588","V-SIW-VS_KAST_LUSKOPPELKAST-SO","VS_KAST_LUSKOPPELKAST","SO"
"http://digitalbuildingdata.tech/nlcs/def/083b3786-90d2-4607-b388-eace970a68f7","VS","SIW","V","3589","V-SIW-VS_KAST_OS DS_LOSSEFUNDATIE-SO","VS_KAST_OS DS_LOSSEFUNDATIE","SO"
"http://digitalbuildingdata.tech/nlcs/def/14ef5d2e-cd6d-48a5-981a-3698a37efe99","VS","SIW","V","3590","V-SIW-VS_KAST_OS DS_TUSSEN A POOT PORTAAL-SO","VS_KAST_OS DS_TUSSEN A POOT PORTAAL","SO"
"http://digitalbuildingdata.tech/nlcs/def/75c9fb1d-0800-499f-9eb6-f3dae16638ce","VS","SIW","V","3591","V-SIW-VS_KAST_OS_LOSSEFUNDATIE-SO","VS_KAST_OS_LOSSEFUNDATIE","SO"
"http://digitalbuildingdata.tech/nlcs/def/e6db1510-2902-48ca-9d74-196b4c09f33c","POLLER","SIW","","4171","SIW-POLLER-SO","POLLER","SO"
