"symboolURI","searchterm","sbibliotheek","fase","id","symbool","finalCleanName","optie"
"http://digitalbuildingdata.tech/nlcs/def/39db515c-52e0-495a-918a-aed09f9e8720","DATA","SKL","","2017","SKL-DATA_SIGNAALGEVER_DETECTIELUS_SLIJPEN-SO","DATA_SIGNAALGEVER_DETECTIELUS_SLIJPEN","SO"
"http://digitalbuildingdata.tech/nlcs/def/34732e39-84f1-437f-a956-3900ab276515","DATA","SKL","","2018","SKL-DATA_GLASVEZEL_KAST_ABONNEEBOX-SO","DATA_GLASVEZEL_KAST_ABONNEEBOX","SO"
"http://digitalbuildingdata.tech/nlcs/def/971b79d0-ad16-411c-b19f-7c960fa5541f","DATA","SKL","","2019","SKL-DATA_GLASVEZEL_KAST_CVR RUIMTE-SO","DATA_GLASVEZEL_KAST_CVR RUIMTE","SO"
"http://digitalbuildingdata.tech/nlcs/def/2cd1e598-e15c-4f1a-961a-d0b5da42113d","DATA","SKL","","2020","SKL-DATA_GLASVEZEL_KAST_EINDPUNTKAST-SO","DATA_GLASVEZEL_KAST_EINDPUNTKAST","SO"
"http://digitalbuildingdata.tech/nlcs/def/3dfc05de-8af9-439d-8aa8-53a3ea45d9df","DATA","SKL","","2021","SKL-DATA_GLASVEZEL_KABELPUT_RECHTHOEKIG-SO","DATA_GLASVEZEL_KABELPUT_RECHTHOEKIG","SO"
"http://digitalbuildingdata.tech/nlcs/def/a939c3fa-8039-480e-b049-fe9c812ccd62","DATA","SKL","","2022","SKL-DATA_GLASVEZEL_KABELPUT_ROND-SO","DATA_GLASVEZEL_KABELPUT_ROND","SO"
"http://digitalbuildingdata.tech/nlcs/def/43ee0569-9755-4934-b25e-3bdd4bf148e3","DATA","SKL","","2023","SKL-DATA_GLASVEZEL_HULP_LASBOX-SO","DATA_GLASVEZEL_HULP_LASBOX","SO"
"http://digitalbuildingdata.tech/nlcs/def/5f86ea8f-934d-4967-9591-e1d26ea3c791","DATA","SKL","","2024","SKL-DATA_GLASVEZEL_HULP_MOF-SO","DATA_GLASVEZEL_HULP_MOF","SO"
"http://digitalbuildingdata.tech/nlcs/def/22e91c11-a1fe-4554-9465-cc628fd1fa80","DATA","SKL","","2025","SKL-DATA_GLASVEZEL_KAST_STERPUNTKAST-SO","DATA_GLASVEZEL_KAST_STERPUNTKAST","SO"
"http://digitalbuildingdata.tech/nlcs/def/40b62804-0480-49ea-a3e3-3e98b7bc41df","DATA","SKL","","2026","SKL-DATA_SIGNAALGEVER_DETECTIELUS-SO","DATA_SIGNAALGEVER_DETECTIELUS","SO"
"http://digitalbuildingdata.tech/nlcs/def/0450877e-0968-4640-b0b4-69bf61410a5e","DATA","SKL","","2027","SKL-DATA_SIGNAALGEVER_DRIP-SO","DATA_SIGNAALGEVER_DRIP","SO"
