"symboolURI","searchterm","sbibliotheek","fase","id","symbool","finalCleanName","optie"
"http://digitalbuildingdata.tech/nlcs/def/d7456ec8-a01d-412c-a950-4a35d89f40b4","BEBOUWING","SOG","","2955","SOG-BEBOUWING_ENTREE-SO","BEBOUWING_ENTREE","SO"
"http://digitalbuildingdata.tech/nlcs/def/299ff3fa-ddbd-4c09-acea-c6aa7f93ed61","BEBOUWING","SOG","","2957","SOG-BEBOUWING_FIETSENSTALLING-SO","BEBOUWING_FIETSENSTALLING","SO"
"http://digitalbuildingdata.tech/nlcs/def/77122b3d-ca84-45bc-9ccc-26b71fcb1beb","BEBOUWING","SOG","","2958","SOG-BEBOUWING_OPENBAAR_TOILET-SO","BEBOUWING_OPENBAAR_TOILET","SO"
"http://digitalbuildingdata.tech/nlcs/def/4f9a333c-1cd0-4b62-9409-15ffaeae9c10","BEBOUWING","SOG","","2959","SOG-BEBOUWING_TRAFO_LAGE-SO","BEBOUWING_TRAFO_LAGE","SO"
"http://digitalbuildingdata.tech/nlcs/def/98be82d7-9951-4dd2-a0cc-c8e4ef000908","RIJRICHTING","SOG","","2960","SOG-RIJRICHTING-SO","RIJRICHTING","SO"
"http://digitalbuildingdata.tech/nlcs/def/35052467-424b-4339-b0e6-42d73640939a","TAXISTANDPLAATS","SOG","","2961","SOG-TAXISTANDPLAATS-SO","TAXISTANDPLAATS","SO"
"http://digitalbuildingdata.tech/nlcs/def/17afcdb2-a94d-4b49-9441-0af3d85ab3d0","BEBOUWING","SOG","V","2962","V-SOG-BEBOUWING_FIETSENSTALLING-SO","BEBOUWING_FIETSENSTALLING","SO"
"http://digitalbuildingdata.tech/nlcs/def/6636421e-3e10-4fd1-a79c-6c52145f8176","BEBOUWING","SOG","V","2963","V-SOG-BEBOUWING_OPENBAAR_TOILET-SO","BEBOUWING_OPENBAAR_TOILET","SO"
"http://digitalbuildingdata.tech/nlcs/def/b2de728e-77d9-47a9-8d28-2023b298a175","BEBOUWING","SOG","V","2964","V-SOG-BEBOUWING_TRAFO_LAGE-SO","BEBOUWING_TRAFO_LAGE","SO"
"http://digitalbuildingdata.tech/nlcs/def/c0eef3e4-e8ae-41d7-825b-cf208552fd62","TAXISTANDPLAATS","SOG","V","2965","V-SOG-TAXISTANDPLAATS-SO","TAXISTANDPLAATS","SO"
"http://digitalbuildingdata.tech/nlcs/def/885d490b-970d-45cb-96bc-ba2cf5102d9f","WATER","SOG","","3139","SOG-WATER_BEEK-SO","WATER_BEEK","SO"
"http://digitalbuildingdata.tech/nlcs/def/2a9bec6a-3770-4c23-b2b6-3d22f86d7f06","WATER","SOG","","3140","SOG-WATER_BRON-SO","WATER_BRON","SO"
"http://digitalbuildingdata.tech/nlcs/def/e6e908ef-bb30-4bd0-8917-288398e77df4","WATER","SOG","","3141","SOG-WATER_GRACHT-SO","WATER_GRACHT","SO"
"http://digitalbuildingdata.tech/nlcs/def/4d95939e-9862-428b-b588-c505e2870e9d","WATER","SOG","","3142","SOG-WATER_GREPPEL-SO","WATER_GREPPEL","SO"
"http://digitalbuildingdata.tech/nlcs/def/494c7cd4-713c-4d15-9082-ba2fc0948f90","WATER","SOG","","3143","SOG-WATER_HAVEN-SO","WATER_HAVEN","SO"
"http://digitalbuildingdata.tech/nlcs/def/dd928124-f0d8-4f9a-9a58-1ba8ca93e009","WATER","SOG","","3144","SOG-WATER_KANAAL-SO","WATER_KANAAL","SO"
"http://digitalbuildingdata.tech/nlcs/def/2f58e622-c017-4a54-9bf2-80978e615351","WATER","SOG","","3145","SOG-WATER_MEER-SO","WATER_MEER","SO"
"http://digitalbuildingdata.tech/nlcs/def/f4bc36ff-9c55-438a-9d6a-708c54f394cb","WATER","SOG","","3146","SOG-WATER_RIVIER-SO","WATER_RIVIER","SO"
"http://digitalbuildingdata.tech/nlcs/def/3df61cd6-9640-4efc-aa50-6851a945dcab","WATER","SOG","","3147","SOG-WATER_SLOOT-SO","WATER_SLOOT","SO"
"http://digitalbuildingdata.tech/nlcs/def/d318bbbe-49ea-4c08-a7e6-735bd17c681b","STRAND","SOG","","3148","SOG-STRAND-SO","STRAND","SO"
