"symboolURI","searchterm","sbibliotheek","fase","id","symbool","finalCleanName","optie"
"http://digitalbuildingdata.tech/nlcs/def/0dd6176e-12f0-4f08-a679-3961b2e24784","ARMATUUR","SOV","","2040","SOV-ARMATUUR_COMPACT_FLUOR_1x24W-SO","ARMATUUR_COMPACT_FLUOR_1x24W","SO"
"http://digitalbuildingdata.tech/nlcs/def/0a371453-37b1-4056-9e2e-13594326ca56","ARMATUUR","SOV","","2041","SOV-ARMATUUR_COMPACT_FLUOR_1x36W-SO","ARMATUUR_COMPACT_FLUOR_1x36W","SO"
"http://digitalbuildingdata.tech/nlcs/def/4f0416e3-f357-40e6-801c-57e9d33c10c3","ARMATUUR","SOV","","2042","SOV-ARMATUUR_HD_NATRIUM_1x100W-SO","ARMATUUR_HD_NATRIUM_1x100W","SO"
"http://digitalbuildingdata.tech/nlcs/def/c1f49e35-718c-496b-a4cc-b854aebf3f23","ARMATUUR","SOV","","2043","SOV-ARMATUUR_HD_NATRIUM_1x150W-SO","ARMATUUR_HD_NATRIUM_1x150W","SO"
"http://digitalbuildingdata.tech/nlcs/def/ab531ef2-44d5-4285-9ffb-52807e30ad4b","ARMATUUR","SOV","","2044","SOV-ARMATUUR_HD_NATRIUM_1x250W-SO","ARMATUUR_HD_NATRIUM_1x250W","SO"
"http://digitalbuildingdata.tech/nlcs/def/ae77be0b-e61f-4f45-8776-9c0b666f75b5","ARMATUUR","SOV","","2045","SOV-ARMATUUR_HD_NATRIUM_1x400W-SO","ARMATUUR_HD_NATRIUM_1x400W","SO"
"http://digitalbuildingdata.tech/nlcs/def/5f56ff21-7584-477d-85b4-fee0de16d9c2","ARMATUUR","SOV","","2046","SOV-ARMATUUR_HD_NATRIUM_1x50W-SO","ARMATUUR_HD_NATRIUM_1x50W","SO"
"http://digitalbuildingdata.tech/nlcs/def/c9e3afcb-8a90-496a-a43c-78f8a4ede821","ARMATUUR","SOV","","2047","SOV-ARMATUUR_HD_NATRIUM_1x70W-SO","ARMATUUR_HD_NATRIUM_1x70W","SO"
"http://digitalbuildingdata.tech/nlcs/def/57132c05-cd77-4ca0-a906-c66d75e3973d","ARMATUUR","SOV","","2048","SOV-ARMATUUR_HD_NATRIUM_2x400W-SO","ARMATUUR_HD_NATRIUM_2x400W","SO"
"http://digitalbuildingdata.tech/nlcs/def/287cd878-8c01-4a3f-9812-2dc74f762dc4","ARMATUUR","SOV","","2049","SOV-ARMATUUR_HD_NATRIUM_2x100W-SO","ARMATUUR_HD_NATRIUM_2x100W","SO"
"http://digitalbuildingdata.tech/nlcs/def/2fb38bc4-d48f-417e-ac07-fb9b85bde16b","ARMATUUR","SOV","","2050","SOV-ARMATUUR_HD_NATRIUM_2x150W-SO","ARMATUUR_HD_NATRIUM_2x150W","SO"
"http://digitalbuildingdata.tech/nlcs/def/7299b1d5-da28-4b61-8297-08332a015f90","ARMATUUR","SOV","","2051","SOV-ARMATUUR_HD_NATRIUM_2x250W-SO","ARMATUUR_HD_NATRIUM_2x250W","SO"
"http://digitalbuildingdata.tech/nlcs/def/881ef1d6-5c76-48de-b9fc-dd106a5ea642","ARMATUUR","SOV","","2052","SOV-ARMATUUR_HD_NATRIUM_4x100W-SO","ARMATUUR_HD_NATRIUM_4x100W","SO"
"http://digitalbuildingdata.tech/nlcs/def/1001c1c5-0455-4519-8f6f-9645c1456e94","ARMATUUR","SOV","","2053","SOV-ARMATUUR_HD_NATRIUM_1x70W_SPECIAAL-SO","ARMATUUR_HD_NATRIUM_1x70W_SPECIAAL","SO"
"http://digitalbuildingdata.tech/nlcs/def/531e07d1-f0da-40cc-a1e0-53bed7a4bd90","ARMATUUR","SOV","","2054","SOV-ARMATUUR_LD_NATRIUM_1x131W-SO","ARMATUUR_LD_NATRIUM_1x131W","SO"
"http://digitalbuildingdata.tech/nlcs/def/1cc1388b-96da-4691-87ee-56a4064edc8b","ARMATUUR","SOV","","2055","SOV-ARMATUUR_LD_NATRIUM_1x135W-SO","ARMATUUR_LD_NATRIUM_1x135W","SO"
"http://digitalbuildingdata.tech/nlcs/def/8d104e67-5d5a-4c52-9f20-200ebf72d26e","ARMATUUR","SOV","","2056","SOV-ARMATUUR_LD_NATRIUM_1x135W_TUNNEL-SO","ARMATUUR_LD_NATRIUM_1x135W_TUNNEL","SO"
"http://digitalbuildingdata.tech/nlcs/def/beaedb81-dffb-451b-b3b6-779700d707da","ARMATUUR","SOV","","2057","SOV-ARMATUUR_LD_NATRIUM_1x180W-SO","ARMATUUR_LD_NATRIUM_1x180W","SO"
"http://digitalbuildingdata.tech/nlcs/def/d2ef56a4-7d73-4c24-8c9e-af1dfc69e193","ARMATUUR","SOV","","2058","SOV-ARMATUUR_LD_NATRIUM_1x180W_TUNNEL-SO","ARMATUUR_LD_NATRIUM_1x180W_TUNNEL","SO"
"http://digitalbuildingdata.tech/nlcs/def/c3ea0a48-48cc-4769-8cd4-bfce8c69202a","ARMATUUR","SOV","","2059","SOV-ARMATUUR_LD_NATRIUM_1x35W-SO","ARMATUUR_LD_NATRIUM_1x35W","SO"
"http://digitalbuildingdata.tech/nlcs/def/bfa46d4c-20d9-44de-8558-63c12429ba45","ARMATUUR","SOV","","2060","SOV-ARMATUUR_LD_NATRIUM_1x35W_TUNNEL-SO","ARMATUUR_LD_NATRIUM_1x35W_TUNNEL","SO"
"http://digitalbuildingdata.tech/nlcs/def/efbeddd1-2e02-43b9-8835-ae045b17fa1f","ARMATUUR","SOV","","2061","SOV-ARMATUUR_LD_NATRIUM_1x55W-SO","ARMATUUR_LD_NATRIUM_1x55W","SO"
"http://digitalbuildingdata.tech/nlcs/def/2a72bb03-2e7c-4b09-ac47-4a91862a8d11","ARMATUUR","SOV","","2062","SOV-ARMATUUR_LD_NATRIUM_1x55W_TUNNEL-SO","ARMATUUR_LD_NATRIUM_1x55W_TUNNEL","SO"
