"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"AL,""20"",""TEKENBLAD_SCHAALBALK"",""12"",""X"",""XX"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""G/S"","""""
"AL,""12"",""TEKENBLAD"","""",""X"",""XX"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""S"","""""
"AL,""3364"",""COORDINAATPUNT"","""",""X"",""XX"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""G/S"","""""
"AL,""27"",""VERWIJZING"","""",""X"",""XX"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""G/S"","""""
"AL,""10"",""ORIENTATIE"","""",""X"",""XX"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""S"","""""
"AL,""1"",""AANKLEDING"","""",""X"",""XX"",""0.35"",""2"",""2"",""2"",""2"",""253"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""G/S"","""""
"AL,""15"",""TEKENBLAD_KADER"",""12"",""X"",""XX"",""0.7"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""G"","""""
"AL,""25"",""TEKENBLAD_VIEWPORT"",""12"",""X"",""XX"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""G"","""""
"AL,""13"",""TEKENBLAD_DEELKADER"",""12"",""X"",""XX"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""G"","""""
"AL,""22"",""TEKENBLAD_TITELBLOK"",""12"",""X"",""XX"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""G"","""""
