"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"AM,""89"",""AS_WATERWEG"",""40"",""*"",""**"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""V-AM-AS-SO"",""G"","""""
"AM,""95"",""AS_KUNSTWERK"",""40"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""V-AM-AS-SO"",""G"","""""
"AM,""42"",""AS_WEG"",""40"",""*"",""**"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""V-AM-AS-SO"",""G"","""""
"AM,""41"",""AS_PUNTNUMMER"",""40"",""*"",""**"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""V-AM-AS-SO"",""G/S"","""""
"AM,""139"",""AS_WATERGANG"",""40"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""V-AM-AS-SO"",""G"","""""
"AM,""79"",""AS_PAD"",""40"",""*"",""**"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""V-AM-AS-SO"",""G"","""""
"AM,""137"",""AS_KADE"",""40"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""V-AM-AS-SO"",""G"","""""
"AM,""3090"",""AS_WATERKERING"",""40"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""V-AM-AS-SO"",""G"","""""
"AM,""87"",""AS_SPOOR"",""40"",""*"",""**"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""V-AM-AS-SO"",""G"","""""
"AM,""142"",""AS_WAL"",""40"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""V-AM-AS-SO"",""G"","""""
"AM,""143"",""AS_CUNET"",""40"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""V-AM-AS-SO"",""G"","""""
"AM,""133"",""AS_BERMBEVEILIGINGSVOORZIENING"",""40"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""V-AM-AS-SO"",""G"","""""
"AM,""3365"",""AS_KERING"",""40"",""*"",""**"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""10"",""10"",""10"",""253"",""V-AM-AS-SO"",""G"","""""
"AM,""134"",""AS_DIJK"",""40"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""AM-AS-SO"",""0.18"",""10"",""12"",""10"",""10"",""253"",""V-AM-AS-SO"",""G"","""""
